,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Clovis Total,,,"2,432","2,345","2,554","2,746",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,272,283,301,318,
,,Administration of Justice-210500,44,49,44,57,
,,"Biology, General-040100",27,26,15,29,
,,Business Administration-050500,119,133,157,153,
,,"Chemistry, General-190500",,1,9,,
,,Child Development/Early Care and Education-130500,34,14,15,18,
,,Environmental Science-030100,4,,2,1,
,,"Mathematics, General-170100",31,40,32,34,
,,"Nutrition, Foods, and Culinary Arts-130600",,,1,1,
,,"Physics, General-190200",13,20,26,24,
,,Plant Science-010300,,,,1,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,463,398,453,492,
,,Anthropology-220200,8,5,10,5,
,,Art-100200,35,27,33,38,
,,Child and Adolescent Development-130510,7,21,33,53,
,,Economics-220400,21,19,24,28,
,,English-150100,18,23,18,21,
,,"Fine Arts, General-100100",9,11,16,10,
,,Geography-220600,3,1,5,3,
,,History-220500,22,16,40,30,
,,Kinesiology-127000,28,15,24,10,
,,Liberal Studies-490120,59,55,55,52,
,,Music-100400,,,,1,
,,Philosophy-150900,,2,4,6,
,,Political Science-220700,14,15,16,20,
,,"Psychology, General-200100",163,127,126,154,
,,Social Justice Studies-220130,4,4,3,5,
,,Sociology-220800,28,23,20,31,
,,Spanish-110500,,,3,5,
,,Speech Communication-150600,44,34,23,20,
,Associate of Science (A.S.) degree                           Total,,336,327,347,399,
,,Accounting-050200,4,4,2,8,
,,Administration of Justice-210500,1,1,5,2,
,,"Biology, General-040100",184,163,168,176,
,,Business Administration-050500,8,8,7,9,
,,Business Management-050600,2,,1,1,
,,Child Development/Early Care and Education-130500,11,7,5,13,
,,Computer Networking-070810,4,9,13,12,
,,Computer Programming-070710,1,4,3,3,
,,Computer Science (Transfer)-070600,45,53,46,54,
,,Corrections-210510,1,,2,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",35,26,34,61,
,,Hospital and Health Care Administration-120200,,2,4,1,
,,Industrial Systems Technology and Maintenance-094500,,3,2,,
,,"Mathematics, General-170100",19,15,16,22,
,,Occupational Therapy Technology-121800,9,17,15,13,
,,"Physical Sciences, General-190100",6,12,19,14,
,,Small Business and Entrepreneurship-050640,1,,1,3,
,,Website Design and Development-061430,5,3,4,7,
,Associate of Arts (A.A.) degree                              Total,,368,433,448,459,
,,Art-100200,1,7,1,7,
,,Biological and Physical Sciences (and Mathematics)-490200,61,66,71,76,
,,English-150100,1,5,,3,
,,"Foreign Languages, General-110100",,,,2,
,,Humanities and Fine Arts-490310,5,3,2,5,
,,Liberal Studies-490120,125,165,172,171,
,,Physical Education-083500,45,36,39,27,
,,Sign Language-085000,,,8,7,
,,"Social Sciences, General-220100",124,148,150,158,
,,Speech Communication-150600,6,3,5,3,
,Certificate requiring 16 to fewer than 30 semester units     Total,,993,904,"1,005","1,078",
,,Accounting-050200,5,4,5,5,
,,Administration of Justice-210500,1,1,4,2,
,,Administrative Medical Assisting-120820,,,,1,
,,Business Management-050600,,,1,,
,,Child Development/Early Care and Education-130500,50,77,60,73,
,,Children with Special Needs-130520,,1,,,
,,Commercial Art-101300,,,,1,
,,Commercial Music-100500,,2,5,9,
,,Computer Information Systems-070200,1,1,2,6,
,,Computer Networking-070810,1,2,2,4,
,,Computer Programming-070710,,1,,1,
,,Computer Software Development-070700,3,5,1,6,
,,Computer Support-070820,1,3,3,4,
,,Corrections-210510,,,1,2,
,,"Engineering, General (requires Calculus) (Transfer)-090100",17,27,36,28,
,,Industrial Systems Technology and Maintenance-094500,3,3,3,1,
,,Liberal Studies-490120,,7,30,27,
,,Other Interdisciplinary Studies-499900,,,,22,
,,Plant Science-010300,,,,2,
,,Small Business and Entrepreneurship-050640,,1,2,1,
,,Speech Communication-150600,14,9,10,7,
,,The School Age Child-130550,,2,,,
,,Transfer Studies-490110,892,753,836,874,
,,Water and Wastewater Technology-095800,5,4,4,1,
,,Website Design and Development-061430,,1,,1,
