,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Columbia Total,,,379,505,468,837,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,36,42,53,40,
,,"Biology, General-040100",2,4,3,5,
,,Business Administration-050500,14,14,14,14,
,,"Chemistry, General-190500",1,,3,3,
,,Child Development/Early Care and Education-130500,6,4,7,4,
,,Environmental Science-030100,,1,,,
,,Geology-191400,1,,1,,
,,"Health Occupations, General-120100",4,2,1,1,
,,"Mathematics, General-170100",5,8,14,6,
,,"Nutrition, Foods, and Culinary Arts-130600",,2,,2,
,,"Physics, General-190200",3,7,10,5,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,57,68,63,93,
,,Anthropology-220200,3,2,,3,
,,Art-100200,1,5,6,4,
,,Economics-220400,,1,2,,
,,English-150100,2,6,8,13,
,,History-220500,5,5,2,1,
,,Kinesiology-127000,6,6,4,2,
,,Liberal Studies-490120,2,5,6,4,
,,Music-100400,1,,1,3,
,,Political Science-220700,3,,,,
,,"Psychology, General-200100",27,27,22,31,
,,Sociology-220800,7,8,11,28,
,,Speech Communication-150600,,3,1,4,
,Associate of Science (A.S.) degree                           Total,,121,144,138,196,
,,Accounting-050200,4,1,,6,
,,Automotive Technology-094800,3,,3,4,
,,Biological and Physical Sciences (and Mathematics)-490200,12,16,27,41,
,,"Business and Commerce, General-050100",,1,5,1,
,,Child Development/Early Care and Education-130500,5,8,9,8,
,,Computer Information Systems-070200,,1,,,
,,Computer Programming-070710,2,6,3,8,
,,Culinary Arts-130630,6,3,9,4,
,,Digital Media-061400,3,2,,1,
,,Emergency Medical Services-125000,3,2,1,4,
,,"Engineering, General (requires Calculus) (Transfer)-090100",1,2,4,2,
,,Fire Technology-213300,18,20,18,23,
,,Forestry-011400,5,11,11,16,
,,Geographic Information Systems-220610,2,3,5,3,
,,"Health Occupations, General-120100",39,45,21,37,
,,Human Services-210400,2,1,,,
,,Natural Resources-011500,14,12,14,20,
,,Restaurant and Food Services and Management-130710,,,,1,
,,Small Business and Entrepreneurship-050640,,2,,3,
,,Water and Wastewater Technology-095800,2,8,8,14,
,Associate of Arts (A.A.) degree                              Total,,85,102,117,220,
,,Art-100200,3,1,3,2,
,,Biological and Physical Sciences (and Mathematics)-490200,,,,1,
,,Humanities and Fine Arts-490310,18,18,28,79,
,,"Liberal Arts and Sciences, General-490100",51,81,85,136,
,,Liberal Studies-490120,8,1,,,
,,Music-100400,1,,,2,
,,Photography-101100,,1,,,
,,Physical Education-083500,4,,1,,
,Certificate requiring 30 to < 60 semester units              Total,,34,61,63,151,
,,Accounting-050200,1,,,2,
,,Automotive Technology-094800,3,3,2,2,
,,Culinary Arts-130630,1,1,1,2,
,,Forestry-011400,,4,,6,
,,Geographic Information Systems-220610,,,,1,
,,Natural Resources-011500,2,1,2,19,
,,Small Business and Entrepreneurship-050640,1,,,,
,,Transfer Studies-490110,26,50,57,110,
,,Water and Wastewater Technology-095800,,2,1,9,
,Certificate requiring 16 to fewer than 30 semester units     Total,,34,75,11,120,
,,Accounting-050200,,,,3,
,,Child Development/Early Care and Education-130500,6,2,2,11,
,,Emergency Medical Services-125000,,1,,1,
,,Fire Technology-213300,23,67,2,71,
,,Forestry-011400,2,2,3,3,
,,Human Services-210400,,,2,21,
,,Restaurant and Food Services and Management-130710,2,1,2,8,
,,Retail Store Operations and Management-050650,,,,2,
,,Small Business and Entrepreneurship-050640,,1,,,
,,Welding Technology-095650,1,1,,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,12,13,23,17,
,,Automotive Technology-094800,6,3,2,4,
,,Child Development/Early Care and Education-130500,3,6,6,6,
,,Fire Technology-213300,1,1,1,,
,,Human Services-210400,1,,,,
,,Welding Technology-095650,1,3,14,7,
