,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Copper Mountain College Total,,,310,260,294,253,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,35,39,47,44,
,,Administration of Justice-210500,10,9,12,7,
,,"Biology, General-040100",,1,2,5,
,,Business Administration-050500,13,15,11,7,
,,"Chemistry, General-190500",,1,1,3,
,,Child Development/Early Care and Education-130500,3,3,5,3,
,,Computer Science (Transfer)-070600,2,2,6,8,
,,Hospitality-130700,,,,1,
,,"Mathematics, General-170100",7,4,6,7,
,,"Physics, General-190200",,4,4,3,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,45,39,41,45,
,,Anthropology-220200,,1,1,2,
,,Art-100200,1,6,3,6,
,,Economics-220400,3,1,,,
,,English-150100,4,2,,,
,,"Fine Arts, General-100100",4,3,1,,
,,History-220500,1,2,2,2,
,,Kinesiology-127000,,,1,2,
,,Liberal Studies-490120,5,3,3,,
,,Political Science-220700,3,1,4,4,
,,"Psychology, General-200100",17,18,21,27,
,,Sociology-220800,3,1,2,2,
,,Speech Communication-150600,4,1,3,,
,Associate of Science (A.S.) degree                           Total,,57,59,53,55,
,,Administration of Justice-210500,4,3,3,3,
,,Automotive Technology-094800,3,1,2,1,
,,"Business and Commerce, General-050100",5,3,,,
,,Computer Information Systems-070200,3,3,,3,
,,Computer Programming-070710,6,4,2,2,
,,Computer Science (Transfer)-070600,,2,1,2,
,,Environmental Studies-030200,,,1,,
,,Fire Technology-213300,2,1,4,3,
,,Licensed Vocational Nursing-123020,13,12,12,11,
,,Registered Nursing-123010,21,30,28,30,
,Associate of Arts (A.A.) degree                              Total,,109,82,88,75,
,,Biological and Physical Sciences (and Mathematics)-490200,76,35,48,45,
,,Business Administration-050500,5,5,2,2,
,,"Business and Commerce, General-050100",1,,,,
,,Economics-220400,1,4,1,,
,,Humanities and Fine Arts-490310,6,14,13,10,
,,"Liberal Arts and Sciences, General-490100",19,23,20,16,
,,Liberal Studies-490120,,,1,,
,,Sociology-220800,1,1,3,2,
,Certificate requiring 30 to < 60 semester units              Total,,49,28,47,26,
,,Automotive Technology-094800,1,1,2,1,
,,Child Development/Early Care and Education-130500,,,1,,
,,Computer Programming-070710,3,1,2,4,
,,Licensed Vocational Nursing-123020,12,12,12,9,
,,Transfer Studies-490110,33,14,30,12,
,Certificate requiring 16 to fewer than 30 semester units     Total,,15,10,16,4,
,,Accounting-050200,4,1,,1,
,,Alternative Fuels and Advanced Transportation Technology-094840,2,,1,,
,,Automotive Technology-094800,6,,6,1,
,,Child Development/Early Care and Education-130500,,5,2,,
,,Computer Networking-070810,1,1,3,,
,,Construction Crafts Technology-095200,,,2,,
,,Culinary Arts-130630,1,,,2,
,,Fire Technology-213300,,1,1,,
,,Software Applications-070210,1,2,1,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,,3,2,4,
,,Drafting Technology-095300,,3,2,4,
