,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Cuesta Total,,,"4,216","4,460","4,398","3,836",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,294,277,236,277,
,,Administration of Justice-210500,28,21,15,20,
,,"Agriculture Business, Sales and Service-011200",18,20,12,17,
,,"Biology, General-040100",17,14,14,21,
,,Business Administration-050500,123,140,124,108,
,,Child Development/Early Care and Education-130500,21,6,8,12,
,,Environmental Science-030100,1,4,3,3,
,,Geology-191400,3,1,,1,
,,"Health Occupations, General-120100",12,10,7,6,
,,Hospitality-130700,4,9,4,9,
,,"Mathematics, General-170100",21,20,22,49,
,,"Nutrition, Foods, and Culinary Arts-130600",14,4,5,9,
,,"Physics, General-190200",2,4,3,8,
,,Plant Science-010300,17,7,7,6,
,,Television (including combined TV/Film/Video)-060420,13,17,12,8,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,428,371,408,400,
,,Anthropology-220200,15,4,7,4,
,,Art-100200,17,18,22,28,
,,Child and Adolescent Development-130510,39,22,26,22,
,,Dramatic Arts-100700,6,6,6,4,
,,Economics-220400,77,68,83,110,
,,English-150100,21,16,17,15,
,,"Fine Arts, General-100100",5,4,2,2,
,,Global Studies-221020,2,4,,2,
,,History-220500,19,16,19,17,
,,Human Services-210400,5,8,8,8,
,,Journalism-060200,,5,2,4,
,,Kinesiology-127000,24,14,13,11,
,,"Law, General-140100",5,1,3,4,
,,Liberal Studies-490120,17,11,9,8,
,,Music-100400,10,6,4,7,
,,Philosophy-150900,5,6,4,2,
,,Political Science-220700,14,12,11,15,
,,"Psychology, General-200100",61,67,84,69,
,,Social Justice Studies-220130,3,4,,3,
,,Sociology-220800,40,41,33,25,
,,Spanish-110500,8,4,2,,
,,Speech Communication-150600,35,34,53,40,
,Associate of Science (A.S.) degree                           Total,,334,294,258,284,
,,Architecture and Architectural Technology-020100,15,17,11,8,
,,Automotive Collision Repair-094900,1,,1,,
,,Automotive Technology-094800,6,7,4,4,
,,"Biology, General-040100",7,1,,1,
,,"Chemistry, General-190500",3,4,2,4,
,,Computer Information Systems-070200,7,10,11,15,
,,Computer Infrastructure and Support-070800,6,4,11,4,
,,Construction Crafts Technology-095200,5,3,4,5,
,,Culinary Arts-130630,1,3,7,6,
,,Electrical-095220,17,6,10,3,
,,Electronics and Electric Technology-093400,,1,,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",6,7,10,14,
,,Geology-191400,,1,,1,
,,"Health Professions, Transfer Core Curriculum-126000",164,134,118,107,
,,"Information Technology, General-070100",,,,1,
,,Library Technician (Aide)-160200,16,15,14,13,
,,Licensed Vocational Nursing-123020,8,17,5,3,
,,"Mathematics, General-170100",1,1,1,,
,,Medical Assisting-120800,5,2,1,4,
,,Paramedic-125100,7,1,8,7,
,,Physical Fitness and Body Movement-083510,,,1,,
,,"Physics, General-190200",,6,3,3,
,,Psychiatric Technician-123900,10,8,16,14,
,,Registered Nursing-123010,41,43,15,52,
,,Welding Technology-095650,8,3,5,15,
,Associate of Arts (A.A.) degree                              Total,,"1,573",849,"1,150",990,
,,Administration of Justice-210500,22,11,11,9,
,,Alcohol and Controlled Substances-210440,9,3,11,23,
,,Art-100200,14,10,12,8,
,,Biological and Physical Sciences (and Mathematics)-490200,3,,,,
,,Business Administration-050500,34,27,30,33,
,,Child and Adolescent Development-130510,,3,6,11,
,,Child Development/Early Care and Education-130500,20,17,16,20,
,,Dramatic Arts-100700,,,1,,
,,"Education, General-080100",3,4,1,4,
,,English-150100,,,1,,
,,Family Studies-130800,19,17,25,28,
,,"Fine Arts, General-100100",1,,2,1,
,,History-220500,4,3,1,4,
,,Humanities and Fine Arts-490310,439,208,267,234,
,,Journalism-060200,,,1,,
,,"Liberal Arts and Sciences, General-490100",880,473,662,540,
,,Manufacturing and Industrial Technology-095600,,1,,,
,,Music-100400,3,2,3,4,
,,Office Technology/Office Computer Applications-051400,3,2,3,6,
,,Paralegal-140200,7,8,9,5,
,,Political Science-220700,3,,,,
,,"Psychology, General-200100",62,32,50,35,
,,Radio and Television-060400,15,4,6,6,
,,Recreation-083600,4,1,2,1,
,,"Social Sciences, General-220100",21,20,21,16,
,,Sociology-220800,7,3,9,2,
,Certificate requiring 60+ semester units                     Total,,19,67,58,58,
,,Psychiatric Technician-123900,19,66,58,58,
,,Registered Nursing-123010,,1,,,
,Certificate requiring 30 to < 60 semester units              Total,,"1,249","1,107","1,110","1,012",
,,Aeronautical and Aviation Technology-095000,,,1,23,
,,Automotive Technology-094800,6,5,2,2,
,,"Chemistry, General-190500",,,,1,
,,Child Development Administration and Management-130580,2,1,3,1,
,,Child Development/Early Care and Education-130500,16,8,8,17,
,,Construction Crafts Technology-095200,5,2,2,,
,,Culinary Arts-130630,1,,,,
,,Electrical-095220,16,16,12,10,
,,Licensed Vocational Nursing-123020,,5,2,,
,,Music-100400,1,3,4,2,
,,Paralegal-140200,16,7,9,5,
,,Paramedic-125100,1,,11,,
,,Transfer Studies-490110,"1,182","1,060","1,053",951,
,,Welding Technology-095650,3,,3,,
,Certificate requiring 16 to fewer than 30 semester units     Total,,227,"1,002",787,528,
,,Accounting-050200,1,6,7,26,
,,Agricultural Power Equipment Technology-011600,1,,,,
,,Alcohol and Controlled Substances-210440,33,16,22,113,
,,Automotive Collision Repair-094900,1,5,5,4,
,,Automotive Technology-094800,1,4,2,5,
,,Business Administration-050500,2,130,96,55,
,,"Business and Commerce, General-050100",,702,428,147,
,,Business Management-050600,1,4,5,2,
,,Ceramics-100230,1,2,1,5,
,,Child Development/Early Care and Education-130500,29,15,21,25,
,,Children with Special Needs-130520,5,1,,,
,,Commercial Music-100500,10,11,19,6,
,,Computer Information Systems-070200,,,1,,
,,Construction Crafts Technology-095200,,5,1,2,
,,Culinary Arts-130630,2,1,1,4,
,,E-Commerce (Business emphasis)-050970,,5,1,2,
,,"Education, General-080100",92,36,127,77,
,,Electronics and Electric Technology-093400,7,2,2,3,
,,Family Studies-130800,3,,3,1,
,,Fitness Trainer-083520,,,1,,
,,Graphic Art and Design-103000,3,14,9,6,
,,Human Services-210400,,,,1,
,,Library Technician (Aide)-160200,13,19,12,17,
,,Medical Assisting-120800,,1,,2,
,,Music-100400,,,2,1,
,,"Nutrition, Foods, and Culinary Arts-130600",5,6,4,3,
,,Office Technology/Office Computer Applications-051400,3,2,2,1,
,,Paramedic-125100,12,,,,
,,Photography-101100,1,,2,2,
,,Physical Fitness and Body Movement-083510,,2,,,
,,Public Relations-060600,,,,1,
,,Sculpture-100220,1,2,,,
,,Small Business and Entrepreneurship-050640,,,,3,
,,Technical Theater-100600,,,1,1,
,,Welding Technology-095650,,11,12,13,
,Certificate requiring 8 to fewer than 16 semester units      Total,,84,86,146,139,
,,Aeronautical and Aviation Technology-095000,,,23,,
,,Child Development/Early Care and Education-130500,82,76,115,126,
,,Children with Special Needs-130520,1,7,5,6,
,,Family Studies-130800,,,,3,
,,Geographic Information Systems-220610,1,2,,4,
,,"Viticulture, Enology, and Wine Business-010400",,1,3,,
,Noncredit award requiring from 288 to < 480 hours            Total,,,,,12,
,,English as a Second Language - Integrated-493087,,,,12,
,Noncredit award requiring from 192 to < 288 hours            Total,,,,,3,
,,"Agriculture Technology and Sciences, General-010100",,,,3,
,Noncredit award requiring from 144 to < 192 hours            Total,,,35,21,13,
,,Job Seeking/Changing Skills-493012,,35,21,13,
,Noncredit award requiring from 48 to < 96 hours              Total,,7,346,217,116,
,,Automotive Collision Repair-094900,,23,7,3,
,,English as a Second Language - Integrated-493087,6,190,79,48,
,,English as a Second Language - Listening and Speaking-493086,,120,131,65,
,,English-150100,,2,,,
,,Job Seeking/Changing Skills-493012,1,11,,,
,Noncredit award requiring < 48 hours                         Total,,1,26,7,4,
,,English as a Second Language - Integrated-493087,1,26,7,4,
