,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Cuyamaca Total,,,"1,249","1,054","1,052","1,671",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,172,132,185,194,
,,"Biology, General-040100",25,19,35,40,
,,Business Administration-050500,82,58,74,81,
,,Computer Science (Transfer)-070600,2,14,28,24,
,,"Health Occupations, General-120100",13,6,6,4,
,,"Mathematics, General-170100",39,28,32,36,
,,"Physics, General-190200",11,7,10,9,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,138,118,106,166,
,,Anthropology-220200,,2,1,3,
,,Art-100200,2,5,4,8,
,,Child and Adolescent Development-130510,5,3,9,8,
,,Economics-220400,27,19,23,52,
,,English-150100,9,8,2,9,
,,"Fine Arts, General-100100",1,,,2,
,,History-220500,6,12,8,1,
,,Kinesiology-127000,7,6,7,8,
,,Liberal Studies-490120,1,5,2,1,
,,Philosophy-150900,1,,1,1,
,,Political Science-220700,15,6,8,7,
,,"Psychology, General-200100",36,31,26,50,
,,Sociology-220800,17,14,8,7,
,,Spanish-110500,2,2,1,2,
,,Speech Communication-150600,9,5,6,7,
,Associate of Science (A.S.) degree                           Total,,438,416,409,473,
,,Accounting-050200,5,13,6,9,
,,Architectural Drafting-095310,4,2,1,,
,,Automotive Technology-094800,9,5,13,8,
,,Biological and Physical Sciences (and Mathematics)-490200,104,106,124,154,
,,"Biology, General-040100",4,6,6,6,
,,Business Administration-050500,27,24,22,23,
,,"Business and Commerce, General-050100",2,3,5,2,
,,Business Management-050600,7,1,1,,
,,"Chemistry, General-190500",5,7,3,4,
,,Computer Networking-070810,7,3,2,3,
,,"Engineering, General (requires Calculus) (Transfer)-090100",15,9,13,17,
,,Environmental Technology-030300,13,12,11,13,
,,Floriculture / Floristry-010920,1,,3,1,
,,Graphic Art and Design-103000,7,8,3,10,
,,"Health Professions, Transfer Core Curriculum-126000",35,20,19,14,
,,Horticulture-010900,,2,2,3,
,,Industrial and Occupational Safety and Health-095670,2,3,6,7,
,,Infants and Toddlers-130590,3,4,2,1,
,,Landscape Design and Maintenance-010910,4,7,7,8,
,,"Liberal Arts and Sciences, General-490100",12,5,15,5,
,,"Mathematics, General-170100",31,23,16,28,
,,Mechanical Drafting-095340,4,1,2,2,
,,Nursery Technology-010930,1,3,2,5,
,,Office Technology/Office Computer Applications-051400,13,11,10,22,
,,Other Biological Sciences-049900,,,1,,
,,Paralegal-140200,16,21,15,15,
,,Physical Education-083500,1,,,,
,,"Physics, General-190200",2,3,1,3,
,,Preshool Age Children-130540,34,49,25,16,
,,Real Estate-051100,5,6,5,4,
,,Small Business and Entrepreneurship-050640,3,4,5,2,
,,Surveying-095730,4,4,9,5,
,,Transfer Studies-490110,45,39,47,72,
,,Turfgrass Technology-010940,,1,,,
,,Water and Wastewater Technology-095800,8,5,5,7,
,,Website Design and Development-061430,5,6,2,4,
,Associate of Arts (A.A.) degree                              Total,,261,225,209,241,
,,Arabic-111200,24,27,22,15,
,,English-150100,,2,,1,
,,Ethnic Studies-220300,4,2,4,1,
,,"Fine Arts, General-100100",,,1,2,
,,History-220500,3,4,1,,
,,Human Services-210400,69,35,38,29,
,,Humanities and Fine Arts-490310,18,25,18,37,
,,"Liberal Arts and Sciences, General-490100",132,112,114,141,
,,Liberal Studies-490120,1,2,,,
,,Music-100400,2,5,3,8,
,,Painting and Drawing-100210,4,3,3,3,
,,Sign Language-085000,3,8,3,1,
,,Spanish-110500,,,1,2,
,,Speech Communication-150600,1,,1,1,
,Certificate requiring 30 to < 60 semester units              Total,,176,112,93,502,
,,Accounting-050200,2,2,1,7,
,,Arabic-111200,1,,,4,
,,Automotive Technology-094800,5,3,4,11,
,,Business Administration-050500,8,2,6,23,
,,Business Management-050600,2,,1,,
,,Computer Networking-070810,,,1,3,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,,1,,
,,Environmental Technology-030300,,,,12,
,,Floriculture / Floristry-010920,1,,1,1,
,,Graphic Art and Design-103000,1,3,,8,
,,Horticulture-010900,,1,,2,
,,Industrial and Occupational Safety and Health-095670,,,,4,
,,Infants and Toddlers-130590,,3,,1,
,,Landscape Design and Maintenance-010910,3,2,,9,
,,"Mathematics, General-170100",6,,1,20,
,,Nursery Technology-010930,1,1,1,6,
,,Office Technology/Office Computer Applications-051400,,2,1,1,
,,Preshool Age Children-130540,21,22,11,14,
,,Spanish-110500,,,,1,
,,Surveying-095730,1,,,2,
,,Transfer Studies-490110,115,63,57,357,
,,Turfgrass Technology-010940,,,1,,
,,Water and Wastewater Technology-095800,8,7,6,13,
,,Website Design and Development-061430,1,1,,3,
,Certificate requiring 16 to fewer than 30 semester units     Total,,64,51,50,88,
,,Accounting-050200,3,3,,6,
,,Arabic-111200,21,21,18,14,
,,Architectural Drafting-095310,4,1,,,
,,"Business and Commerce, General-050100",1,,2,2,
,,English-150100,1,,,1,
,,Environmental Technology-030300,4,2,2,3,
,,Ethnic Studies-220300,,1,2,4,
,,Industrial and Occupational Safety and Health-095670,4,3,5,5,
,,"Mathematics, General-170100",1,1,2,3,
,,Mechanical Drafting-095340,5,2,1,2,
,,Office Technology/Office Computer Applications-051400,6,8,4,20,
,,Real Estate-051100,5,4,6,14,
,,Sign Language-085000,2,2,2,3,
,,Small Business and Entrepreneurship-050640,1,,2,3,
,,Spanish-110500,,,1,2,
,,Surveying-095730,,2,2,4,
,,Water and Wastewater Technology-095800,5,1,1,1,
,,Website Design and Development-061430,1,,,1,
,Certificate requiring 8 to fewer than 16 semester units      Total,,,,,7,
,,Behavioral Science-200300,,,,7,
