,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
San Joaquin Delta Total,,,"3,481","4,179","3,806","3,741","3,933",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,226,272,243,243,282,
,,Administration of Justice-210500,80,86,68,66,71,
,,"Agriculture Business, Sales and Service-011200",2,1,4,3,5,
,,Animal Science-010200,,2,,,,
,,Business Administration-050500,94,138,109,123,147,
,,Child Development/Early Care and Education-130500,8,13,22,9,17,
,,Computer Science (Transfer)-070600,10,7,10,17,10,
,,"Mathematics, General-170100",22,15,14,13,18,
,,"Physics, General-190200",10,9,15,8,12,
,,Plant Science-010300,,1,1,4,2,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,258,307,304,278,301,
,,Anthropology-220200,5,6,9,6,8,
,,Art-100200,4,3,5,14,13,
,,Dramatic Arts-100700,3,4,5,7,5,
,,English-150100,12,20,15,18,25,
,,"Fine Arts, General-100100",1,3,6,7,3,
,,History-220500,8,18,19,14,13,
,,Journalism-060200,4,3,1,4,2,
,,Kinesiology-127000,12,16,13,10,8,
,,"Law, General-140100",3,11,6,14,18,
,,Liberal Studies-490120,1,2,,4,4,
,,Music-100400,1,2,2,5,4,
,,Political Science-220700,13,10,12,4,20,
,,"Psychology, General-200100",161,187,157,143,158,
,,Social Justice Studies-220130,1,,5,6,4,
,,Spanish-110500,17,8,20,6,2,
,,Speech Communication-150600,12,14,29,16,14,
,Associate of Science (A.S.) degree                           Total,,991,"1,238","1,077",988,"1,048",
,,Accounting-050200,78,100,58,48,25,
,,Administration of Justice-210500,34,12,23,17,15,
,,"Agriculture Business, Sales and Service-011200",1,1,1,,,
,,Architecture and Architectural Technology-020100,2,,,4,2,
,,Art-100200,,1,,,,
,,Automotive Technology-094800,6,3,10,7,17,
,,Biological and Physical Sciences (and Mathematics)-490200,382,508,446,414,416,
,,"Business and Commerce, General-050100",70,63,66,63,59,
,,Computer Information Systems-070200,16,19,17,20,20,
,,Computer Networking-070810,18,23,5,1,18,
,,Corrections-210510,5,4,6,6,1,
,,Culinary Arts-130630,14,10,5,9,13,
,,Diesel Technology-094700,2,4,,3,1,
,,Drafting Technology-095300,2,8,3,10,9,
,,Electrical-095220,10,11,13,16,11,
,,Electro-Mechanical Technology-093500,2,2,2,3,2,
,,Electron Microscopy-093470,5,10,8,10,3,
,,"Engineering, General (requires Calculus) (Transfer)-090100",6,11,25,13,17,
,,Environmental Control Technology-094600,3,2,2,2,6,
,,"Family and Consumer Sciences, General-130100",14,9,9,3,4,
,,Fashion Merchandising-130320,3,2,2,1,1,
,,"Health Occupations, General-120100",89,155,116,96,106,
,,Heavy Equipment Maintenance-094720,27,14,28,31,27,
,,Horticulture-010900,,4,2,2,1,
,,Industrial Systems Technology and Maintenance-094500,1,,,,,
,,Logistics and Materials Transportation-051000,2,4,3,4,5,
,,Machining and Machine Tools-095630,,1,,,,
,,"Mathematics, General-170100",12,16,9,4,10,
,,Mechanical Drafting-095340,1,6,3,4,5,
,,Office Management-051440,8,7,3,7,12,
,,Paralegal-140200,1,4,6,2,4,
,,Physical Education-083500,3,1,1,4,2,
,,Police Academy-210550,10,12,5,8,2,
,,Psychiatric Technician-123900,4,62,28,13,21,
,,Real Estate-051100,8,10,18,15,17,
,,Registered Nursing-123010,123,122,126,115,146,
,,Retail Store Operations and Management-050650,13,3,3,4,5,
,,Speech/Language Pathology and Audiology-122000,16,14,24,29,44,
,,Transfer Studies-490110,,,1,,1,
,Associate of Arts (A.A.) degree                              Total,,"1,570","1,814","1,581","1,491","1,573",
,,Art-100200,8,16,13,10,18,
,,"Business and Commerce, General-050100",94,84,92,107,109,
,,Culinary Arts-130630,10,8,8,6,11,
,,Dance-100800,1,,,,,
,,Digital Media-061400,,,3,6,17,
,,Dramatic Arts-100700,,,3,3,3,
,,English-150100,16,19,15,12,5,
,,Fashion Design-130310,1,1,2,1,3,
,,"Foreign Languages, General-110100",,,6,2,1,
,,French-110200,1,,,,,
,,Graphic Art and Design-103000,12,11,15,13,11,
,,History-220500,,5,3,2,5,
,,Humanities-490300,"1,193","1,453","1,227","1,191","1,240",
,,Interior Design and Merchandising-130200,10,5,8,6,4,
,,Japanese-110800,1,,,,,
,,Liberal Studies-490120,7,2,,,,
,,Multimedia-061410,2,3,1,4,2,
,,Music-100400,1,1,,1,1,
,,Photography-101100,3,4,,1,4,
,,Preshool Age Children-130540,50,53,44,20,38,
,,"Psychology, General-200100",75,78,74,52,55,
,,Radio and Television-060400,7,4,2,1,,
,,Sign Language-085000,3,7,4,3,3,
,,"Social Sciences, General-220100",5,1,,,,
,,Spanish-110500,60,50,49,44,41,
,,Speech Communication-150600,10,7,10,6,2,
,,Technical Theater-100600,,2,2,,,
,Certificate requiring 30 to < 60 semester units              Total,,261,270,302,,,
,,Accounting-050200,3,9,5,,,
,,Administration of Justice-210500,1,2,8,,,
,,Agricultural Power Equipment Technology-011600,1,5,,,,
,,Alcohol and Controlled Substances-210440,4,12,8,,,
,,Architecture and Architectural Technology-020100,1,,1,,,
,,Automotive Collision Repair-094900,1,4,9,,,
,,Automotive Technology-094800,5,5,22,,,
,,"Business and Commerce, General-050100",28,14,15,,,
,,Child Development/Early Care and Education-130500,31,57,33,,,
,,Computer Networking-070810,15,19,16,,,
,,Computer Programming-070710,3,,1,,,
,,Corrections-210510,2,1,6,,,
,,Culinary Arts-130630,9,10,3,,,
,,Diesel Technology-094700,,,1,,,
,,Drafting Technology-095300,2,7,6,,,
,,Educational Aide (Teacher Assistant)-080200,1,,1,,,
,,Electronics and Electric Technology-093400,1,1,1,,,
,,Fashion Production-130330,,,2,,,
,,Fitness Trainer-083520,2,,4,,,
,,Heavy Equipment Maintenance-094720,28,13,39,,,
,,Interior Design and Merchandising-130200,7,,2,,,
,,Landscape Design and Maintenance-010910,1,2,2,,,
,,"Law, General-140100",27,26,11,,,
,,Logistics and Materials Transportation-051000,2,1,2,,,
,,Machining and Machine Tools-095630,4,2,,,,
,,Management Development and Supervision-050630,7,1,5,,,
,,Marketing and Distribution-050900,1,1,1,,,
,,Mass Communications-061000,,4,,,,
,,Medical Office Technology-051420,12,17,18,,,
,,Nursery Technology-010930,,,2,,,
,,Office Technology/Office Computer Applications-051400,17,10,9,,,
,,Real Estate-051100,4,9,9,,,
,,Retail Store Operations and Management-050650,,,1,,,
,,Sign Language-085000,4,2,,,,
,,Small Business and Entrepreneurship-050640,5,2,6,,,
,,Speech/Language Pathology and Audiology-122000,9,,16,,,
,,Tax Studies-050210,3,4,7,,,
,,Transfer Studies-490110,2,1,1,,,
,,Welding Technology-095650,18,29,29,,,
,Certificate requiring 16 to fewer than 30 semester units     Total,,175,278,299,741,729,
,,Accounting-050200,9,11,12,26,27,
,,Administration of Justice-210500,,,,4,5,
,,Agricultural Power Equipment Technology-011600,,,,1,1,
,,"Agriculture Business, Sales and Service-011200",,,,,1,
,,Alcohol and Controlled Substances-210440,,,,11,10,
,,Applied Photography-101200,,,,2,,
,,Architecture and Architectural Technology-020100,,,,3,1,
,,Automotive Collision Repair-094900,,1,2,2,12,
,,Automotive Technology-094800,6,15,50,88,81,
,,"Business and Commerce, General-050100",,,,25,22,
,,Child Development Administration and Management-130580,1,4,4,,3,
