,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Desert Total,,,"1,890","2,386","2,442","3,678","2,949",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,370,383,319,329,337,
,,Administration of Justice-210500,81,82,60,52,56,
,,"Biology, General-040100",11,18,16,16,14,
,,Business Administration-050500,159,169,138,167,168,
,,"Chemistry, General-190500",6,8,5,8,6,
,,Child Development/Early Care and Education-130500,60,58,29,27,41,
,,Computer Science (Transfer)-070600,4,13,24,17,11,
,,Environmental Science-030100,,,2,1,,
,,Geology-191400,1,2,,1,,
,,"Health Occupations, General-120100",2,,4,4,1,
,,"Mathematics, General-170100",19,7,11,11,7,
,,"Nutrition, Foods, and Culinary Arts-130600",,4,1,1,,
,,"Physics, General-190200",5,3,8,11,5,
,,Plant Science-010300,7,,5,5,5,
,,Television (including combined TV/Film/Video)-060420,15,19,16,8,23,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,506,488,368,388,411,
,,Anthropology-220200,10,5,7,7,8,
,,Art-100200,22,18,19,17,21,
,,Child and Adolescent Development-130510,7,18,17,19,25,
,,Dramatic Arts-100700,7,6,7,6,6,
,,Economics-220400,6,6,7,6,6,
,,English-150100,35,28,14,27,23,
,,"Fine Arts, General-100100",3,3,6,3,7,
,,Geography-220600,1,,,,3,
,,Global Studies-221020,1,2,1,2,1,
,,History-220500,35,29,11,17,19,
,,Journalism-060200,6,7,6,3,9,
,,Kinesiology-127000,44,45,21,21,16,
,,Liberal Studies-490120,10,12,13,10,14,
,,Music-100400,9,8,3,4,4,
,,Philosophy-150900,5,3,,4,4,
,,Political Science-220700,19,25,18,20,24,
,,"Psychology, General-200100",190,177,144,140,137,
,,Sociology-220800,55,61,45,54,58,
,,Spanish-110500,7,10,6,3,11,
,,Speech Communication-150600,34,25,23,25,15,
,Associate of Science (A.S.) degree                           Total,,283,325,354,397,400,
,,Accounting-050200,13,12,9,7,6,
,,Administration of Justice-210500,5,3,5,5,4,
,,"Agriculture Business, Sales and Service-011200",1,1,,,3,
,,Alcohol and Controlled Substances-210440,10,9,3,10,6,
,,Alternative Fuels and Advanced Transportation Technology-094840,,,,1,,
,,Architecture and Architectural Technology-020100,5,4,3,7,12,
,,Athletic Training and Sports Medicine-122800,2,3,2,5,,
,,Automotive Technology-094800,6,8,11,8,16,
,,"Biology, General-040100",,,,1,,
,,"Business and Commerce, General-050100",5,11,15,15,11,
,,"Chemistry, General-190500",1,2,,,,
,,Child Development/Early Care and Education-130500,7,13,14,9,12,
,,Civil and Construction Management Technology-095700,3,7,4,4,4,
,,Computer Graphics and Digital Imagery-061460,7,8,12,5,3,
,,Computer Information Systems-070200,8,3,6,6,12,
,,Computer Networking-070810,7,11,13,34,32,
,,Culinary Arts-130630,14,5,3,4,8,
,,Drafting Technology-095300,,1,1,,1,
,,Energy Systems Technology-094610,,1,2,,1,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,3,2,4,1,
,,Environmental Control Technology-094600,5,6,3,4,10,
,,Environmental Studies-030200,1,,,,,
,,Film Production-061220,,,3,,1,
,,Fire Technology-213300,5,13,9,3,8,
,,Graphic Art and Design-103000,,,,,1,
,,"Health Professions, Transfer Core Curriculum-126000",89,111,126,125,116,
,,Horticulture-010900,6,5,5,3,2,
,,Hospitality-130700,13,4,1,4,2,
,,Licensed Vocational Nursing-123020,16,1,6,11,9,
,,"Mathematics, General-170100",,2,1,,,
,,Natural Resources-011500,5,4,4,4,4,
,,Office Technology/Office Computer Applications-051400,3,,,1,1,
,,Physical Therapist Assistant-122200,,,,13,16,
,,Plant Science-010300,1,3,1,1,,
,,Police Academy-210550,1,,1,1,,
,,Registered Nursing-123010,40,64,83,97,98,
,,Turfgrass Technology-010940,4,7,6,5,,
