,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
East LA Total,,,"7,758","8,113","7,152","7,027","8,642",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,947,825,616,602,595,
,,Administration of Justice-210500,247,196,130,128,146,
,,"Biology, General-040100",27,33,28,23,27,
,,Business Administration-050500,391,309,256,241,197,
,,Child Development/Early Care and Education-130500,184,166,126,107,114,
,,Environmental Science-030100,,,,1,,
,,Geology-191400,,1,1,,,
,,"Health Occupations, General-120100",8,15,19,14,16,
,,"Mathematics, General-170100",55,64,28,55,57,
,,"Nutrition, Foods, and Culinary Arts-130600",18,21,16,15,14,
,,"Physics, General-190200",17,20,12,18,24,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,943,794,769,792,860,
,,Anthropology-220200,18,14,7,12,10,
,,Art-100200,33,47,52,50,42,
,,Child and Adolescent Development-130510,,,48,72,138,
,,Dramatic Arts-100700,13,10,10,8,10,
,,Economics-220400,109,76,62,60,57,
,,English-150100,31,29,33,31,41,
,,"Fine Arts, General-100100",4,7,13,9,11,
,,Geography-220600,6,1,2,4,6,
,,History-220500,23,28,21,14,20,
,,Human Services-210400,,,,,7,
,,Journalism-060200,10,5,11,6,5,
,,Kinesiology-127000,42,56,63,47,55,
,,"Law, General-140100",29,30,25,36,50,
,,Liberal Studies-490120,4,15,19,10,13,
,,Music-100400,6,1,2,2,3,
,,Philosophy-150900,5,3,9,4,1,
,,Political Science-220700,56,31,37,36,32,
,,"Psychology, General-200100",293,241,200,232,204,
,,Social Justice: Asian American Studies-220190,,,2,1,1,
,,Social Justice: Chicano Studies-220160,5,9,9,12,13,
,,Social Justice: Gender Studies-220170,2,4,4,1,2,
,,Sociology-220800,183,124,99,84,97,
,,Spanish-110500,20,26,16,18,12,
,,Speech Communication-150600,51,37,25,43,30,
,Associate of Science (A.S.) degree                           Total,,146,144,144,138,136,
,,Automotive Technology-094800,7,14,12,4,11,
,,Chemical Technology-095400,3,1,1,3,1,
,,Computer Electronics-093410,,3,,2,4,
,,Drafting Technology-095300,2,,3,2,2,
,,"Engineering Technology, General (requires Trigonometry)-092400",,,,3,,
,,"Forensics, Evidence, and Investigation-210540",1,21,42,38,41,
,,Health Information Technology-122300,41,17,14,3,10,
,,Logistics and Materials Transportation-051000,9,12,6,8,6,
,,"Mathematics, General-170100",3,7,2,2,1,
,,Medical Assisting-120800,,6,12,11,6,
,,Pharmacy Technology-122100,,2,1,1,,
,,Registered Nursing-123010,55,30,22,40,36,
,,Respiratory Care/Therapy-121000,25,31,29,21,18,
,Associate of Arts (A.A.) degree                              Total,,"2,018","1,923","1,794","1,697","1,869",
,,Accounting-050200,17,13,10,11,18,
,,Administration of Justice-210500,144,127,100,77,98,
,,Animation-061440,8,11,4,2,4,
,,Anthropology-220200,,2,,,,
,,Applied Photography-101200,1,,1,,7,
,,Architecture and Architectural Technology-020100,7,4,7,7,11,
,,Biological and Physical Sciences (and Mathematics)-490200,332,373,370,305,339,
,,Business Management-050600,15,15,14,19,15,
,,Child Development/Early Care and Education-130500,73,67,53,45,39,
,,Commercial Music-100500,1,,1,1,3,
,,Computer Information Systems-070200,12,9,15,28,27,
,,Dramatic Arts-100700,9,3,2,5,4,
,,Environmental Studies-030200,,,2,1,,
,,Ethnic Studies-220300,2,3,2,1,1,
,,Fire Technology-213300,21,20,21,14,13,
,,Graphic Art and Design-103000,5,6,8,4,10,
,,Humanities and Fine Arts-490310,213,205,207,181,197,
,,Journalism-060200,2,,1,,1,
,,Legal Office Technology-051410,1,,,,,
,,"Liberal Arts and Sciences, General-490100",1,,,,,
,,Marketing and Distribution-050900,8,3,5,5,3,
,,"Mathematics, General-170100",3,9,1,2,2,
,,Medical Office Technology-051420,1,,,,,
,,Multimedia-061410,,,,1,,
,,Music-100400,4,1,1,1,,
,,Office Technology/Office Computer Applications-051400,13,17,5,9,8,
,,Paralegal-140200,,,,,1,
,,Physical Education-083500,5,5,4,3,2,
,,Real Estate-051100,5,4,7,7,8,
,,Sign Language Interpreting-085010,1,5,9,6,8,
,,"Social Sciences, General-220100","1,114","1,020",943,962,"1,049",
,,Women's Studies-220110,,1,1,,1,
,Certificate requiring 60+ semester units                     Total,,15,13,14,7,,
,,Respiratory Care/Therapy-121000,15,13,14,7,,
,Certificate requiring 30 to < 60 semester units              Total,,"2,130","1,830","1,476","1,538","1,739",
,,Accounting-050200,6,13,,,,
,,Alcohol and Controlled Substances-210440,2,6,13,14,25,
,,Animation-061440,4,6,2,1,3,
,,Applied Photography-101200,,,,,2,
,,Architecture and Architectural Technology-020100,5,4,,,,
,,Automotive Technology-094800,3,5,5,,16,
,,Business Management-050600,2,3,4,,,
,,Child Development/Early Care and Education-130500,11,20,12,15,18,
,,Commercial Music-100500,,,2,,,
,,Computer Electronics-093410,,2,,3,6,
,,Drafting Technology-095300,5,3,1,4,,
,,"Engineering Technology, General (requires Trigonometry)-092400",1,,,,,
,,Graphic Art and Design-103000,3,,1,,,
,,Health Information Coding-122310,31,33,21,6,20,
,,Health Information Technology-122300,28,19,11,1,10,
,,International Business and Trade-050800,,,,1,,
,,Medical Assisting-120800,1,12,14,32,19,
,,Office Technology/Office Computer Applications-051400,25,17,4,12,17,
,,Transfer Studies-490110,"2,003","1,687","1,386","1,449","1,603",
,Certificate requiring 16 to fewer than 30 semester units     Total,,239,524,857,816,"1,971",
,,Accounting-050200,,,12,11,40,
,,Administration of Justice-210500,19,13,24,24,68,
,,Alcohol and Controlled Substances-210440,1,2,3,7,11,
,,Animation-061440,,,,1,9,
,,Applied Photography-101200,,,,,12,
,,Architecture and Architectural Technology-020100,,5,7,18,24,
,,Automotive Technology-094800,,,,11,68,
,,Biotechnology and Biomedical Technology-043000,7,4,,2,5,
,,Business Management-050600,,,,4,5,
,,Chemical Technology-095400,,1,,1,5,
,,Child Development/Early Care and Education-130500,,,,,16,
,,Commercial Music-100500,1,,3,1,9,
,,Computer Electronics-093410,,1,,2,5,
,,Computer Information Systems-070200,8,2,8,14,30,
,,Computer Programming-070710,1,,1,2,6,
,,Corrections-210510,4,28,164,60,126,
,,Customer Service-051800,,,2,4,9,
,,Drafting Technology-095300,,,,,4,
,,Dramatic Arts-100700,,,,,3,
,,E-Commerce (Technology emphasis)-070910,1,2,1,1,,
,,Fire Academy-213350,19,174,175,160,315,
,,Fitness Trainer-083520,,2,1,,2,
,,"Forensics, Evidence, and Investigation-210540",27,42,33,32,64,
,,Gerontology-130900,4,5,6,6,5,
,,Graphic Art and Design-103000,,,,,13,
,,Health Information Coding-122310,3,2,1,,1,
,,"Health Occupations, General-120100",,,,1,273,
,,Hospitality-130700,,2,,1,,
,,Infants and Toddlers-130590,,,,,35,
,,Journalism-060200,1,3,3,3,6,
,,"Law, General-140100",,2,7,4,21,
,,Logistics and Materials Transportation-051000,9,8,2,4,8,
,,Marketing and Distribution-050900,,3,2,2,5,
,,Medical Assisting-120800,,10,15,31,21,
,,Office Technology/Office Computer Applications-051400,5,5,7,18,28,
,,Other Fine and Applied Arts-109900,,2,2,5,8,
,,Paralegal-140200,14,19,20,23,75,
,,Physical Therapist Assistant-122200,4,13,11,1,4,
,,Police Academy-210550,89,116,270,290,523,
,,Probation and Parole-210520,14,48,74,60,77,
,,Real Estate-051100,3,2,2,3,10,
,,Surveying-095730,,,,1,1,
,,Tax Studies-050210,2,2,,,8,
,,Technical Theater-100600,3,6,1,8,13,
,Certificate requiring 8 to fewer than 16 semester units      Total,,42,44,51,20,10,
,,Administration of Justice-210500,10,5,12,8,8,
,,Applied Photography-101200,,,,1,2,
,,Architecture and Architectural Technology-020100,2,3,,1,,
,,Automotive Technology-094800,7,18,23,,,
,,Customer Service-051800,3,3,,,,
,,Fire Academy-213350,4,5,5,,,
,,Infants and Toddlers-130590,13,7,11,10,,
