,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
El Camino Total,,,"3,731","3,776","3,685","3,782","4,190",
,Baccalaureate of Science (B.S.) degree                       Total,,,,,,39,
,,Respiratory Care/Therapy-121000,,,,,39,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,537,506,386,461,472,
,,Administration of Justice-210500,87,81,64,75,55,
,,Business Administration-050500,306,296,241,263,247,
,,Child Development/Early Care and Education-130500,57,65,33,44,51,
,,Geology-191400,3,,2,,1,
,,"Mathematics, General-170100",52,42,31,49,78,
,,"Physics, General-190200",32,22,15,30,40,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,803,841,755,796,763,
,,Anthropology-220200,12,24,19,15,22,
,,Art-100200,50,74,70,63,53,
,,Dramatic Arts-100700,8,7,1,15,5,
,,Economics-220400,34,48,55,70,86,
,,English-150100,50,49,38,47,42,
,,"Fine Arts, General-100100",7,7,9,2,8,
,,Geography-220600,4,5,4,6,3,
,,History-220500,35,30,35,44,39,
,,Journalism-060200,10,8,10,11,11,
,,Kinesiology-127000,37,44,52,36,35,
,,Liberal Studies-490120,20,22,14,23,12,
,,Philosophy-150900,4,11,9,11,6,
,,Political Science-220700,40,54,48,64,40,
,,"Psychology, General-200100",252,250,207,217,241,
,,Sociology-220800,132,124,112,99,89,
,,Spanish-110500,7,12,11,4,8,
,,Speech Communication-150600,101,72,61,69,63,
,Associate of Science (A.S.) degree                           Total,,651,658,633,748,852,
,,Accounting-050200,9,15,12,12,10,
,,Administration of Justice-210500,,,,1,,
,,Applied Photography-101200,3,9,6,5,4,
,,Architecture and Architectural Technology-020100,3,12,10,5,17,
,,Astronomy-191100,,,,,2,
,,Automotive Collision Repair-094900,1,2,,3,8,
,,Automotive Technology-094800,11,9,9,14,17,
,,Biological and Physical Sciences (and Mathematics)-490200,56,63,59,67,65,
,,"Biology, General-040100",24,28,24,31,31,
,,Business Administration-050500,36,29,20,22,28,
,,Business Management-050600,34,14,28,19,22,
,,"Chemistry, General-190500",14,7,6,18,10,
,,Child Development/Early Care and Education-130500,,,,,1,
,,Computer Electronics-093410,8,6,12,7,14,
,,Computer Information Systems-070200,10,28,19,27,33,
,,Construction Crafts Technology-095200,1,6,4,5,12,
,,Cosmetology and Barbering-300700,7,3,14,11,11,
,,Drafting Technology-095300,5,5,5,4,4,
,,Economics-220400,,,,,1,
,,Electronics and Electric Technology-093400,1,1,2,4,9,
,,"Engineering, General (requires Calculus) (Transfer)-090100",33,16,13,22,29,
,,Environmental Control Technology-094600,1,13,8,11,14,
,,Fashion Merchandising-130320,5,,6,2,4,
,,Fashion-130300,4,5,5,1,8,
,,Fire Technology-213300,26,38,24,36,45,
,,"Health Professions, Transfer Core Curriculum-126000",93,115,112,152,148,
,,Horticulture-010900,3,4,2,,,
,,"Liberal Arts and Sciences, General-490100",,,1,2,,
,,Machining and Machine Tools-095630,2,9,7,8,16,
,,Manufacturing and Industrial Technology-095600,,2,1,,2,
,,Marketing and Distribution-050900,5,2,5,6,4,
,,"Mathematics, General-170100",64,40,26,46,62,
,,Mill and Cabinet Work-095250,,1,2,1,2,
,,Office Management-051440,1,,,,,
,,Office Technology/Office Computer Applications-051400,1,,1,1,1,
,,Paramedic-125100,8,5,4,5,5,
,,"Physical Sciences, General-190100",78,47,64,86,92,
,,"Physics, General-190200",12,7,7,6,11,
,,Radiologic Technology-122500,,19,23,17,22,
,,Real Estate-051100,,1,2,,,
,,Registered Nursing-123010,72,78,77,74,67,
,,Respiratory Care/Therapy-121000,19,12,11,9,12,
,,Welding Technology-095650,1,7,2,8,9,
,Associate of Arts (A.A.) degree                              Total,,"1,287","1,280","1,210","1,259","1,316",
,,Accounting-050200,1,,,,,
,,Administration of Justice-210500,18,18,11,5,10,
,,Anthropology-220200,1,2,,1,,
,,Applied Photography-101200,2,1,,,,
,,Architecture and Architectural Technology-020100,,1,,,,
,,Art-100200,11,17,13,8,16,
,,Biological and Physical Sciences (and Mathematics)-490200,265,246,223,236,233,
,,Child Development/Early Care and Education-130500,43,34,54,41,35,
,,Cosmetology and Barbering-300700,,,,,1,
,,Dance-100800,1,1,,2,5,
,,Dramatic Arts-100700,2,3,1,2,3,
,,Economics-220400,18,9,14,5,8,
,,English-150100,7,12,9,11,6,
,,Ethnic Studies-220300,4,3,3,3,4,
,,Fire Technology-213300,,,,,1,
,,French-110200,2,2,1,1,4,
,,"Health Professions, Transfer Core Curriculum-126000",,1,,,,
,,History-220500,2,1,1,1,,
,,Humanities and Fine Arts-490310,215,232,208,249,255,
,,Humanities-490300,37,34,36,42,49,
,,Japanese-110800,13,8,9,5,8,
,,Journalism-060200,1,,,,1,
,,"Liberal Arts and Sciences, General-490100",550,535,521,541,544,
,,Liberal Studies-490120,17,18,16,15,13,
,,Marketing and Distribution-050900,,,1,,,
,,"Mathematics, General-170100",,,,1,,
,,Music-100400,8,13,8,12,5,
,,Paralegal-140200,18,17,17,11,16,
,,Philosophy-150900,2,1,,,,
,,Physical Education-083500,2,2,,4,3,
,,"Physical Sciences, General-190100",1,,,,,
,,Political Science-220700,1,2,,,1,
,,Real Estate-051100,6,11,23,14,11,
,,Recreation-083600,2,,,,1,
,,Sign Language Interpreting-085010,7,9,4,5,7,
,,Spanish-110500,6,15,12,8,15,
,,Television (including combined TV/Film/Video)-060420,24,29,24,33,61,
,,Women's Studies-220110,,3,1,3,,
,Certificate requiring 60+ semester units                     Total,,,,2,,1,
,,Paralegal-140200,,,2,,,
,,Respiratory Care/Therapy-121000,,,,,1,
,Certificate requiring 30 to < 60 semester units              Total,,453,200,352,191,254,
,,Accounting-050200,5,,,,,
,,Administration of Justice-210500,7,,,1,,
,,Animation-061440,4,4,2,1,2,
,,Applied Photography-101200,2,,,,,
,,Architecture and Architectural Technology-020100,2,2,3,4,4,
,,Automotive Collision Repair-094900,5,,,,,
,,Automotive Technology-094800,24,7,5,11,9,
,,Business Management-050600,15,,,,1,
,,Child Development/Early Care and Education-130500,92,4,5,2,3,
,,Commercial Art-101300,,1,,,,
,,Computer Electronics-093410,2,,,,,
,,Computer Information Systems-070200,1,,,,,
,,Computer Science (Transfer)-070600,31,,2,,,
,,Construction Crafts Technology-095200,1,1,3,4,10,
,,Cosmetology and Barbering-300700,24,15,20,19,22,
,,Drafting Technology-095300,2,1,,,,
,,Electronics and Electric Technology-093400,4,,1,,2,
,,Environmental Control Technology-094600,4,11,14,10,16,
,,Fashion Design-130310,1,,,,,
,,Fashion Merchandising-130320,,,,,2,
,,Fashion-130300,2,1,1,,3,
,,Fire Academy-213350,37,28,9,11,31,
,,Fire Technology-213300,7,,,2,,
,,"Forensics, Evidence, and Investigation-210540",6,,,,,
,,Graphic Art and Design-103000,,,1,1,,
,,Horticulture-010900,3,,,,,
,,Liberal Studies-490120,67,92,249,103,118,
,,Machining and Machine Tools-095630,2,6,3,5,7,
,,Manufacturing and Industrial Technology-095600,,1,,,1,
,,Marketing and Distribution-050900,4,,,,,
,,Music-100400,3,,,,,
,,Office Technology/Office Computer Applications-051400,2,,,,,
,,Other Fine and Applied Arts-109900,4,,,,,
,,Paralegal-140200,24,22,19,14,20,
,,Paramedic-125100,18,1,,1,1,
,,Real Estate-051100,3,1,,,,
,,Respiratory Care/Therapy-121000,19,,5,,,
,,Retail Store Operations and Management-050650,2,,,,,
,,Sign Language Interpreting-085010,8,1,9,1,,
,,Television (including combined TV/Film/Video)-060420,3,,,,,
,,The School Age Child-130550,12,1,1,,2,
,,Welding Technology-095650,1,,,1,,
,Certificate requiring 16 to fewer than 30 semester units     Total,,,291,347,327,478,
,,Accounting-050200,,5,8,12,25,
,,Administration of Justice-210500,,5,3,4,3,
,,Animation-061440,,,,,5,
,,Applied Photography-101200,,,1,2,,
,,Automotive Collision Repair-094900,,2,2,4,12,
,,Automotive Technology-094800,,19,29,32,39,
,,Business Management-050600,,8,12,12,19,
,,Child Development/Early Care and Education-130500,,85,94,64,65,
,,Computer Electronics-093410,,3,6,7,7,
,,Computer Information Systems-070200,,,,,1,
,,Computer Infrastructure and Support-070800,,5,8,13,16,
,,Computer Science (Transfer)-070600,,32,19,31,45,
,,Computer Support-070820,,,1,1,1,
,,Construction Crafts Technology-095200,,,,,1,
,,Cosmetology and Barbering-300700,,,1,1,,
,,Drafting Technology-095300,,4,3,4,5,
,,Electronics and Electric Technology-093400,,1,4,4,7,
,,Environmental Control Technology-094600,,21,50,26,61,
,,Escrow-051110,,,6,4,11,
,,Fashion Design-130310,,1,,,2,
,,Fashion-130300,,,1,,1,
,,Fire Academy-213350,,11,1,3,9,
,,Fire Technology-213300,,8,2,7,14,
,,"Forensics, Evidence, and Investigation-210540",,10,4,8,3,
,,Graphic Art and Design-103000,,,,,1,
,,Horticulture-010900,,4,,,1,
,,Journalism-060200,,2,1,,2,
,,Liberal Studies-490120,,,3,1,2,
,,Machining and Machine Tools-095630,,11,13,21,23,
,,Manufacturing and Industrial Technology-095600,,1,1,,,
,,Marketing and Distribution-050900,,4,,1,2,
,,Mill and Cabinet Work-095250,,,2,2,2,
,,Music-100400,,1,1,2,1,
