,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Foothill Total,,,"2,362","1,998","2,178","2,384",
,Baccalaureate of Science (B.S.) degree                       Total,,76,54,59,50,
,,Dental Hygienist-124020,76,54,59,50,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,246,218,174,271,
,,"Biology, General-040100",14,16,10,14,
,,Business Administration-050500,99,93,72,106,
,,Child Development/Early Care and Education-130500,4,6,2,5,
,,Computer Science (Transfer)-070600,32,27,20,29,
,,Environmental Science-030100,,,2,,
,,"Health Occupations, General-120100",53,36,38,60,
,,"Mathematics, General-170100",29,29,18,33,
,,"Nutrition, Foods, and Culinary Arts-130600",,1,,2,
,,"Physics, General-190200",5,3,4,8,
,,Television (including combined TV/Film/Video)-060420,10,7,8,14,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,314,250,250,302,
,,Anthropology-220200,13,7,8,9,
,,Art-100200,4,7,5,6,
,,Child and Adolescent Development-130510,34,18,18,18,
,,Dramatic Arts-100700,2,4,1,3,
,,Economics-220400,25,24,24,42,
,,English-150100,11,12,5,10,
,,"Fine Arts, General-100100",3,2,5,2,
,,Geography-220600,2,4,1,2,
,,Global Studies-221020,3,4,1,2,
,,History-220500,4,5,6,4,
,,Kinesiology-127000,28,16,25,34,
,,Liberal Studies-490120,,,,1,
,,Philosophy-150900,4,3,1,4,
,,Political Science-220700,15,10,12,22,
,,"Psychology, General-200100",97,76,78,75,
,,Social Justice Studies-220130,9,8,2,10,
,,Sociology-220800,31,21,27,23,
,,Spanish-110500,1,,1,1,
,,Speech Communication-150600,28,29,30,34,
,Associate of Science (A.S.) degree                           Total,,190,152,206,208,
,,Athletic Training and Sports Medicine-122800,,2,2,5,
,,Biological and Physical Sciences (and Mathematics)-490200,14,8,8,3,
,,"Biology, General-040100",4,3,6,11,
,,"Chemistry, General-190500",8,3,4,10,
,,Computer Networking-070810,1,1,,3,
,,Computer Science (Transfer)-070600,18,18,11,18,
,,Dental Assistant-124010,10,4,8,17,
,,Diagnostic Medical Sonography-122700,,,11,,
,,Electrical-095220,,4,10,6,
,,"Engineering, General (requires Calculus) (Transfer)-090100",10,4,8,3,
,,Environmental Control Technology-094600,,1,2,4,
,,Geographic Information Systems-220610,6,3,8,7,
,,Geography-220600,1,2,2,1,
,,Horticulture-010900,5,7,12,9,
,,"Mathematics, General-170100",8,4,7,6,
,,Paramedic-125100,15,10,18,13,
,,Pharmacy Technology-122100,14,5,12,10,
,,"Physics, General-190200",3,3,1,1,
,,"Plumbing, Pipefitting and Steamfitting-095230",,4,5,6,
,,Radiologic Technology-122500,23,15,22,26,
