,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Fresno City Total,,,"3,917","5,098","5,160","6,677",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,484,445,451,498,
,,Administration of Justice-210500,130,108,129,119,
,,"Biology, General-040100",20,32,36,36,
,,Business Administration-050500,216,193,183,233,
,,"Chemistry, General-190500",,,1,,
,,Child Development/Early Care and Education-130500,55,44,45,50,
,,Geology-191400,,3,2,1,
,,"Health Occupations, General-120100",18,27,17,21,
,,"Mathematics, General-170100",31,29,32,26,
,,"Nutrition, Foods, and Culinary Arts-130600",3,3,,4,
,,"Physics, General-190200",11,6,6,8,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,578,609,604,687,
,,Anthropology-220200,8,17,17,10,
,,Art-100200,24,35,38,36,
,,Dramatic Arts-100700,13,7,8,21,
,,Economics-220400,9,12,10,6,
,,English-150100,32,27,27,38,
,,"Fine Arts, General-100100",4,3,4,6,
,,Geography-220600,1,1,,5,
,,Global Studies-221020,1,,,,
,,History-220500,21,21,31,37,
,,Human Services-210400,1,2,4,,
,,Journalism-060200,9,6,10,17,
,,Kinesiology-127000,66,107,84,109,
,,"Law, General-140100",12,17,16,19,
,,Liberal Studies-490120,70,56,81,74,
,,Music-100400,11,12,16,19,
,,Philosophy-150900,2,6,7,4,
,,Political Science-220700,15,18,10,12,
,,"Psychology, General-200100",159,167,156,184,
,,Social Justice Studies-220130,2,,,3,
,,Social Justice: Chicano Studies-220160,,1,,1,
,,Social Justice: Ethnic Studies-220150,,,7,,
,,Sociology-220800,68,51,37,49,
,,Spanish-110500,19,9,12,14,
,,Speech Communication-150600,31,34,29,23,
,Associate of Science (A.S.) degree                           Total,,"1,161","1,325","1,381","1,755",
,,Accounting-050200,15,15,15,28,
,,Administration of Justice-210500,9,17,9,6,
,,Alcohol and Controlled Substances-210440,24,25,16,30,
,,Applied Photography-101200,12,9,10,7,
,,Architecture and Architectural Technology-020100,3,6,7,3,
,,Automotive Collision Repair-094900,,2,2,7,
,,Automotive Technology-094800,10,9,7,8,
,,"Biology, General-040100",202,146,187,275,
,,Business Management-050600,6,11,17,16,
,,Child Development/Early Care and Education-130500,26,31,14,15,
,,Children with Special Needs-130520,2,7,1,3,
,,Clinical Medical Assisting-120810,27,48,43,55,
,,Commercial Music-100500,5,7,6,8,
,,Computer Information Systems-070200,15,18,31,31,
,,Computer Networking-070810,10,13,12,19,
,,Computer Software Development-070700,,,,9,
,,Construction Crafts Technology-095200,3,4,5,10,
,,Corrections-210510,4,8,7,6,
,,Dental Hygienist-124020,21,24,25,29,
,,Diesel Technology-094700,,,,6,
,,Digital Media-061400,,,2,4,
,,Drafting Technology-095300,11,6,10,8,
,,Electronics and Electric Technology-093400,12,13,31,49,
,,"Engineering, General (requires Calculus) (Transfer)-090100",23,17,15,26,
,,Environmental Control Technology-094600,5,10,11,12,
,,Fashion Merchandising-130320,,3,3,3,
,,Fire Technology-213300,18,17,18,9,
,,"Forensics, Evidence, and Investigation-210540",1,2,,,
,,Health Information Technology-122300,8,2,1,7,
,,"Health Professions, Transfer Core Curriculum-126000",276,424,441,556,
,,Human Services-210400,38,53,32,42,
,,Industrial Arts (Transfer)-083900,34,39,31,53,
,,Legal Office Technology-051410,,,3,9,
,,Library Technician (Aide)-160200,5,12,8,19,
,,Manufacturing and Industrial Technology-095600,1,1,3,3,
,,Marketing and Distribution-050900,6,5,9,12,
,,Medical Office Technology-051420,6,6,8,9,
,,"Nutrition, Foods, and Culinary Arts-130600",2,4,,3,
,,Office Technology/Office Computer Applications-051400,2,1,,5,
,,Other Business and Management-059900,,,,1,
,,Paralegal-140200,26,25,22,36,
,,Printing and Lithography-093600,7,1,1,1,
,,Radiologic Technology-122500,34,34,28,35,
,,Registered Nursing-123010,220,216,243,214,
,,Respiratory Care/Therapy-121000,19,16,25,24,
,,Restaurant and Food Services and Management-130710,2,3,1,2,
,,Retail Store Operations and Management-050650,2,4,4,15,
,,Welding Technology-095650,6,6,13,21,
,,World Wide Web Administration-070900,3,5,4,6,
,Associate of Arts (A.A.) degree                              Total,,163,169,169,216,
,,Anthropology-220200,1,,,1,
,,Art-100200,8,7,12,6,
,,Business Administration-050500,7,4,7,,
,,Dance-100800,4,4,4,3,
,,Dramatic Arts-100700,2,1,1,2,
,,Ethnic Studies-220300,13,12,7,16,
,,"Foreign Languages, General-110100",2,2,2,10,
,,Graphic Art and Design-103000,9,18,13,10,
,,Journalism-060200,,1,,,
,,Music-100400,,4,,3,
,,"Psychology, General-200100",11,18,12,16,
,,Recreation-083600,2,3,4,5,
,,Sign Language-085000,11,9,14,20,
,,"Social Sciences, General-220100",89,81,88,121,
,,Spanish-110500,1,,1,,
,,Technical Theater-100600,1,4,4,3,
,,Women's Studies-220110,2,1,,,
,Certificate requiring 60+ semester units                     Total,,3,2,2,4,
,,Automotive Technology-094800,3,2,2,4,
,Certificate requiring 30 to < 60 semester units              Total,,240,284,296,359,
,,Accounting-050200,15,19,11,22,
,,Administration of Justice-210500,10,4,13,5,
,,Alcohol and Controlled Substances-210440,20,28,17,39,
,,Applied Photography-101200,10,12,3,9,
,,Architecture and Architectural Technology-020100,4,8,7,2,
,,Automotive Collision Repair-094900,6,9,11,10,
,,Children with Special Needs-130520,4,7,1,1,
,,Computer Networking-070810,14,8,2,4,
,,Construction Crafts Technology-095200,,2,,,
,,Corrections-210510,,8,2,10,
,,Drafting Technology-095300,7,16,11,7,
,,Electronics and Electric Technology-093400,11,22,32,33,
,,Environmental Control Technology-094600,,,38,,
,,Fashion Merchandising-130320,,3,3,1,
,,Fire Technology-213300,19,19,18,11,
,,Graphic Art and Design-103000,7,13,2,14,
,,Human Services-210400,8,17,6,3,
,,Infants and Toddlers-130590,,,3,,
,,Manufacturing and Industrial Technology-095600,7,5,14,6,
,,"Nutrition, Foods, and Culinary Arts-130600",1,2,4,1,
,,Office Technology/Office Computer Applications-051400,1,1,,1,
,,Paralegal-140200,25,35,30,40,
,,Paramedic-125100,27,4,5,4,
,,Restaurant and Food Services and Management-130710,3,3,2,,
,,Retail Store Operations and Management-050650,37,36,53,121,
,,Special Education-080900,,1,,,
,,Welding Technology-095650,4,2,8,15,
,Certificate requiring 16 to fewer than 30 semester units     Total,,"1,071","1,953","2,180","2,868",
,,Accounting-050200,5,4,12,12,
,,Administration of Justice-210500,3,,1,,
,,Alternative Fuels and Advanced Transportation Technology-094840,,,,4,
,,Applied Photography-101200,,,12,,
,,Archaeology-220220,,3,9,1,
,,Art-100200,26,37,7,79,
,,Business Management-050600,13,17,32,20,
,,Child Development/Early Care and Education-130500,65,86,183,44,
,,Clinical Medical Assisting-120810,62,88,87,135,
,,Commercial Music-100500,,,2,,
,,Computer Information Systems-070200,6,9,25,28,
,,Computer Networking-070810,,1,4,11,
,,Computer Software Development-070700,,,,13,
,,Construction Crafts Technology-095200,36,52,42,19,
,,Culinary Arts-130630,,,6,5,
,,Dental Assistant-124010,,15,13,24,
,,Diesel Technology-094700,,1,1,4,
,,Dietetic Services and Management-130620,1,,,6,
,,Digital Media-061400,,,2,5,
,,Educational Aide (Teacher Assistant)-080200,,84,26,149,
,,Electro-Mechanical Technology-093500,,6,,1,
,,Electronics and Electric Technology-093400,60,81,111,86,
,,"Engineering, General (requires Calculus) (Transfer)-090100",31,39,26,24,
,,Fire Academy-213350,42,54,38,35,
,,Fitness Trainer-083520,,5,2,12,
,,"Forensics, Evidence, and Investigation-210540",1,1,,,
,,Foster and Kinship Care-130570,,,1,,
,,Gerontology-130900,4,6,4,,
,,Health Information Coding-122310,13,8,9,19,
,,"Health Occupations, General-120100",3,8,12,6,
,,Industrial Electronics-093420,9,4,6,15,
,,Industrial Systems Technology and Maintenance-094500,34,25,26,35,
,,Job Seeking/Changing Skills-493012,,2,1,1,
,,Laboratory Science Technology-095500,1,1,,11,
,,Legal Office Technology-051410,,,16,24,
,,Library Technician (Aide)-160200,19,16,11,25,
,,Marketing and Distribution-050900,1,8,13,8,
,,Medical Office Technology-051420,10,18,16,20,
,,Music-100400,,,,11,
,,Natural Resources-011500,5,4,11,4,
,,Office Technology/Office Computer Applications-051400,1,,1,6,
,,Other Business and Management-059900,,,1,1,
,,Other Interdisciplinary Studies-499900,27,54,33,41,
,,Paramedic-125100,,,,7,
,,Police Academy-210550,13,21,27,194,
,,Recreation-083600,3,7,9,3,
,,Sign Language Interpreting-085010,4,1,,3,
,,Small Business and Entrepreneurship-050640,,,,2,
,,Social Justice Studies-220130,,,1,1,
,,Special Education-080900,,3,2,5,
,,Telecommunications Technology-093430,7,8,8,16,
,,Transfer Studies-490110,563,"1,171","1,274","1,678",
,,Welding Technology-095650,2,1,48,9,
,,World Wide Web Administration-070900,1,4,9,6,
,Certificate requiring 8 to fewer than 16 semester units      Total,,185,263,,259,
,,Accounting-050200,2,2,,1,
,,Applied Photography-101200,41,30,,27,
,,Child Development/Early Care and Education-130500,53,139,,117,
,,Commercial Music-100500,18,16,,15,
,,Environmental Control Technology-094600,27,33,,39,
,,Industrial Electronics-093420,,2,,,
,,Industrial Systems Technology and Maintenance-094500,2,,,,
,,Infants and Toddlers-130590,9,16,,10,
,,Welding Technology-095650,33,25,,50,
,Noncredit award requiring from 480 to < 960 hours            Total,,32,48,76,31,
,,Automotive Collision Repair-094900,11,20,7,,
,,Manufacturing and Industrial Technology-095600,21,28,69,31,
,Noncredit award requiring from 192 to < 288 hours            Total,,,,1,,
,,Industrial Systems Technology and Maintenance-094500,,,1,,
