,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Golden West Total,,,"7,904","5,633","5,985","5,549",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,301,270,333,353,
,,Administration of Justice-210500,91,59,63,68,
,,"Biology, General-040100",,10,5,10,
,,Business Administration-050500,173,170,212,181,
,,"Chemistry, General-190500",,,2,12,
,,Computer Science (Transfer)-070600,,,8,12,
,,Geology-191400,2,,,2,
,,"Health Occupations, General-120100",,,4,,
,,"Mathematics, General-170100",25,21,28,44,
,,"Physics, General-190200",10,10,11,24,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,560,516,523,545,
,,Anthropology-220200,7,5,9,5,
,,Art-100200,,35,39,35,
,,Child and Adolescent Development-130510,43,39,19,27,
,,Dramatic Arts-100700,6,3,6,4,
,,Economics-220400,141,127,186,175,
,,English-150100,25,11,19,14,
,,"Fine Arts, General-100100",18,10,8,6,
,,Geography-220600,3,1,1,1,
,,Global Studies-221020,,2,,2,
,,History-220500,23,21,21,20,
,,Human Services-210400,,,1,1,
,,Kinesiology-127000,22,15,15,20,
,,"Law, General-140100",2,,4,3,
,,Liberal Studies-490120,28,29,24,14,
,,Music-100400,2,1,2,2,
,,Philosophy-150900,2,6,3,2,
,,Political Science-220700,16,12,10,9,
,,"Psychology, General-200100",119,107,87,116,
,,Social Justice Studies-220130,3,1,1,1,
,,Sociology-220800,40,32,23,27,
,,Spanish-110500,4,1,3,3,
,,Speech Communication-150600,56,58,42,58,
,Associate of Science (A.S.) degree                           Total,,75,87,109,135,
,,Automotive Technology-094800,,,,4,
,,Computer Science (Transfer)-070600,5,2,10,7,
,,Registered Nursing-123010,70,85,99,124,
,Associate of Arts (A.A.) degree                              Total,,"3,067","2,471","2,149","1,893",
,,Accounting-050200,8,11,14,16,
,,Administration of Justice-210500,3,6,2,1,
,,Art-100200,,,,26,
,,Automotive Technology-094800,19,12,28,18,
,,Biological and Physical Sciences (and Mathematics)-490200,584,472,374,342,
,,"Biology, General-040100",31,27,24,30,
,,Business Administration-050500,6,9,5,1,
,,Business Management-050600,3,5,6,7,
,,"Chemistry, General-190500",36,36,21,26,
,,Computer Software Development-070700,1,,,,
,,Corrections-210510,,1,,,
,,Cosmetology and Barbering-300700,10,28,33,22,
,,Dance-100800,,,2,2,
,,Drafting Technology-095300,1,1,1,4,
,,Dramatic Arts-100700,2,3,2,2,
,,"Fine Arts, General-100100",83,38,26,,
,,Floriculture / Floristry-010920,2,,,,
,,"Foreign Languages, General-110100",18,19,14,13,
,,Graphic Art and Design-103000,7,5,6,6,
,,Humanities and Fine Arts-490310,436,383,338,279,
,,"Liberal Arts and Sciences, General-490100","1,167",966,916,806,
,,Liberal Studies-490120,460,355,236,221,
,,Marketing and Distribution-050900,2,4,2,7,
,,"Mathematics, General-170100",32,26,9,,
,,Music-100400,1,,,,
,,"Physics, General-190200",17,10,9,18,
,,Police Academy-210550,14,7,62,28,
,,Political Science-220700,9,3,3,4,
,,"Psychology, General-200100",97,24,3,1,
,,Registered Nursing-123010,1,,,,
,,Sign Language Interpreting-085010,6,10,10,2,
,,"Social Sciences, General-220100",,1,,,
,,Sociology-220800,1,1,,,
,,Spanish-110500,7,2,3,3,
,,Vietnamese-111720,3,6,,8,
,Certificate requiring 30 to < 60 semester units              Total,,"1,711","1,285","1,376","1,407",
,,Automotive Technology-094800,,,,5,
,,Cosmetology and Barbering-300700,45,60,90,83,
,,Graphic Art and Design-103000,2,4,,2,
,,Transfer Studies-490110,"1,664","1,221","1,286","1,317",
,Certificate requiring 16 to fewer than 30 semester units     Total,,"1,901",826,962,866,
,,Accounting-050200,14,8,8,10,
,,Administration of Justice-210500,95,89,106,66,
,,Anatomy and Physiology-041000,142,101,130,102,
,,Automotive Technology-094800,38,22,56,44,
,,Business Administration-050500,7,4,24,35,
,,Business Management-050600,4,,2,5,
,,Computer Software Development-070700,3,1,1,1,
,,Cosmetology and Barbering-300700,,45,67,47,
,,Desktop Publishing-061450,,,1,3,
,,Drafting Technology-095300,1,2,1,,
,,Floriculture / Floristry-010920,,,1,,
,,General Studies-493000,"1,580",545,558,547,
,,Marketing and Distribution-050900,4,1,3,2,
,,Retail Store Operations and Management-050650,1,,,,
,,Sign Language Interpreting-085010,12,8,3,1,
,,Technical Theater-100600,,,1,3,
,Certificate requiring 8 to fewer than 16 semester units      Total,,9,8,32,34,
,,Accounting-050200,,,8,14,
,,Business Administration-050500,,,3,1,
,,Business Management-050600,6,5,,,
,,Drafting Technology-095300,,1,16,18,
,,Global Studies-221020,,,1,,
,,Small Business and Entrepreneurship-050640,3,2,,,
,,Tax Studies-050210,,,4,1,
,Noncredit award requiring from 144 to < 192 hours            Total,,,,,54,
,,Certified Nurse Assistant-123030,,,,54,
,Noncredit award requiring from 96 to < 144 hours             Total,,271,113,296,101,
,,Automotive Technology-094800,4,26,43,5,
,,English as a Second Language - Integrated-493087,267,87,253,96,
,Noncredit award requiring from 48 to < 96 hours              Total,,9,57,193,148,
,,Automotive Technology-094800,8,51,73,22,
,,Gerontology-130900,,,114,114,
,,Office Technology/Office Computer Applications-051400,,,4,3,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,1,6,2,9,
,Noncredit award requiring < 48 hours                         Total,,,,12,13,
,,Industrial and Transportation Security-210530,,,12,13,
