,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
LA City Total,,,"3,724","3,889","4,166","5,240",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,268,242,226,255,
,,Administration of Justice-210500,22,23,24,26,
,,"Biology, General-040100",11,4,6,7,
,,Business Administration-050500,112,104,76,117,
,,Child Development/Early Care and Education-130500,51,44,37,39,
,,"Health Occupations, General-120100",7,10,8,8,
,,"Mathematics, General-170100",19,15,17,23,
,,"Nutrition, Foods, and Culinary Arts-130600",4,1,6,5,
,,"Physics, General-190200",13,15,12,10,
,,Television (including combined TV/Film/Video)-060420,29,26,40,20,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,265,296,292,378,
,,Art-100200,20,23,20,21,
,,Dramatic Arts-100700,3,2,5,5,
,,Economics-220400,4,19,47,93,
,,English-150100,23,12,18,13,
,,"Fine Arts, General-100100",2,6,2,5,
,,Geography-220600,,1,,1,
,,Human Services-210400,,,,10,
,,Journalism-060200,2,3,2,3,
,,Kinesiology-127000,20,12,19,15,
,,"Law, General-140100",,,,7,
,,Music-100400,14,9,7,14,
,,Philosophy-150900,2,4,4,3,
,,Political Science-220700,12,16,21,13,
,,"Psychology, General-200100",134,145,97,117,
,,Social Justice Studies-220130,5,3,1,,
,,Sociology-220800,,18,26,31,
,,Spanish-110500,9,9,5,8,
,,Speech Communication-150600,15,14,18,19,
,Associate of Science (A.S.) degree                           Total,,172,201,244,218,
,,"Chemistry, General-190500",13,5,5,5,
,,Computer Electronics-093410,,,,1,
,,Computer Infrastructure and Support-070800,7,9,24,12,
,,Dental Laboratory Technician-124030,3,6,5,4,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,,2,4,
,,"Health Professions, Transfer Core Curriculum-126000",70,101,103,111,
,,"Mathematics, General-170100",4,13,17,24,
,,"Physics, General-190200",1,3,,3,
,,Radiologic Technology-122500,18,11,16,16,
,,Registered Nursing-123010,56,53,72,38,
,Associate of Arts (A.A.) degree                              Total,,966,989,"1,012","1,316",
,,Accounting-050200,13,11,10,16,
,,Administration of Justice-210500,3,9,2,5,
,,Alcohol and Controlled Substances-210440,10,1,8,6,
,,Applied Photography-101200,5,3,3,4,
,,Art-100200,8,5,12,14,
,,Banking and Finance-050400,2,2,5,3,
,,Biological and Physical Sciences (and Mathematics)-490200,223,250,229,267,
,,"Business and Commerce, General-050100",6,8,12,15,
,,Business Management-050600,5,4,9,7,
,,Child Development/Early Care and Education-130500,24,15,7,9,
,,Chinese-110700,1,,,,
,,Computer Information Systems-070200,3,4,14,12,
,,Computer Science (Transfer)-070600,13,11,17,24,
,,Dramatic Arts-100700,3,2,7,3,
,,English-150100,1,3,4,5,
,,Film Production-061220,35,29,29,17,
,,French-110200,1,2,2,,
,,Graphic Art and Design-103000,9,7,7,12,
,,Human Services-210400,7,2,4,,
,,Humanities and Fine Arts-490310,166,167,193,330,
,,Humanities-490300,5,2,1,,
,,Japanese-110800,3,5,9,,
,,Journalism-060200,1,,,1,
,,Korean-111730,9,11,11,12,
,,"Liberal Arts and Sciences, General-490100",337,368,369,485,
,,Marketing and Distribution-050900,7,3,5,11,
,,Music-100400,10,9,8,7,
,,Office Technology/Office Computer Applications-051400,6,3,,6,
,,Paralegal-140200,31,28,20,31,
,,Political Science-220700,3,3,4,,
,,Real Estate-051100,1,8,3,6,
,,Spanish-110500,11,10,5,3,
,,Television (including combined TV/Film/Video)-060420,4,4,3,5,
,Certificate requiring 60+ semester units                     Total,,7,9,12,11,
,,Dental Laboratory Technician-124030,6,7,7,4,
,,Dramatic Arts-100700,1,2,5,7,
,Certificate requiring 30 to < 60 semester units              Total,,935,944,891,861,
,,Accounting-050200,,1,,,
,,Administration of Justice-210500,3,5,3,2,
,,Alcohol and Controlled Substances-210440,5,3,10,5,
,,Child Development Administration and Management-130580,11,10,11,5,
,,Child Development/Early Care and Education-130500,7,6,4,4,
,,Commercial Music-100500,12,7,12,7,
,,Computer Infrastructure and Support-070800,5,10,26,20,
,,Computer Programming-070710,1,1,2,,
,,Dental Laboratory Technician-124030,12,16,14,12,
,,Dramatic Arts-100700,1,1,9,8,
,,Electronics and Electric Technology-093400,,1,,,
,,Film Production-061220,7,28,31,20,
,,Human Services-210400,3,3,1,2,
,,Office Technology/Office Computer Applications-051400,1,1,1,,
,,Paralegal-140200,7,5,10,33,
,,Real Estate-051100,,2,,,
,,Retail Store Operations and Management-050650,1,,,,
,,Software Applications-070210,,2,1,2,
,,Technical Theater-100600,,1,2,2,
,,Television (including combined TV/Film/Video)-060420,,,1,2,
,,Transfer Studies-490110,859,841,753,737,
,Certificate requiring 16 to fewer than 30 semester units     Total,,729,704,734,810,
,,Accounting-050200,6,6,7,6,
,,Animation-061440,2,2,7,9,
,,Applied Photography-101200,3,3,9,4,
,,Banking and Finance-050400,5,6,11,8,
,,"Business and Commerce, General-050100",54,49,44,81,
,,Business Management-050600,11,36,24,20,
,,Child Development/Early Care and Education-130500,109,102,97,106,
,,Children with Special Needs-130520,12,12,10,8,
,,Commercial Music-100500,13,4,7,6,
,,Computer Information Systems-070200,,,6,9,
,,Computer Programming-070710,8,18,27,25,
,,Computer Systems Analysis-070730,6,5,3,7,
,,Creative Writing-150700,,,1,1,
,,Dietetic Services and Management-130620,6,6,9,12,
,,Dramatic Arts-100700,10,18,23,25,
,,Electronic Game Design-061420,,,7,13,
,,English as a Second Language - Integrated-493087,,,,44,
,,English-150100,,,,5,
,,Film Production-061220,64,42,35,31,
,,Fitness Trainer-083520,2,3,1,5,
,,French-110200,,,6,,
,,Graphic Art and Design-103000,10,7,3,13,
,,"Health Professions, Transfer Core Curriculum-126000",223,200,214,188,
,,Infants and Toddlers-130590,31,28,20,23,
,,Japanese-110800,28,9,13,11,
,,Korean-111730,31,30,36,34,
,,"Law, General-140100",16,7,16,22,
,,Marketing and Distribution-050900,6,10,27,11,
,,Medical Office Technology-051420,,,,1,
,,Office Technology/Office Computer Applications-051400,9,,7,6,
,,Other Foreign Languages-119900,3,10,13,2,
,,Physical Therapist Assistant-122200,,,1,,
,,Real Estate-051100,11,15,10,21,
,,Retail Store Operations and Management-050650,,,1,5,
,,Russian-110600,14,39,23,21,
,,Sign Language-085000,5,4,1,,
,,Small Business and Entrepreneurship-050640,,3,3,3,
,,Spanish-110500,27,24,7,16,
,,Technical Theater-100600,4,6,5,8,
,Certificate requiring 8 to fewer than 16 semester units      Total,,4,8,4,31,
,,Film Production-061220,4,8,4,31,
,Noncredit award requiring from 288 to < 480 hours            Total,,11,2,52,69,
,,English as a Second Language - Integrated-493087,11,2,52,69,
,Noncredit award requiring from 192 to < 288 hours            Total,,49,28,10,52,
,,English as a Second Language - Integrated-493087,49,27,7,46,
,,Office Technology/Office Computer Applications-051400,,1,3,6,
,Noncredit award requiring from 144 to < 192 hours            Total,,17,81,153,222,
,,Academic Guidance-493013,,2,5,,
,,Administrative Medical Assisting-120820,,1,13,46,
,,Clinical Medical Assisting-120810,,,23,28,
,,Hospitality-130700,,,1,,
,,Office Technology/Office Computer Applications-051400,16,7,6,8,
,,Optical Technology-121900,,15,15,29,
,,Phlebotomy-120510,,14,37,38,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,1,42,52,73,
,,Vocational ESL-493100,,,1,,
,Noncredit award requiring from 96 to < 144 hours             Total,,211,218,362,627,
,,Academic Guidance-493013,1,,,,
,,English as a Second Language - Integrated-493087,68,33,28,178,
,,English as a Second Language - Listening and Speaking-493086,,29,54,172,
,,Home Health Aide-123080,132,125,262,232,
,,Hospitality-130700,8,,4,1,
,,Office Technology/Office Computer Applications-051400,2,31,14,34,
,,Other Health Occupations-129900,,,,10,
,Noncredit award requiring from 48 to < 96 hours              Total,,90,166,174,382,
,,Consumer Services-130110,7,,11,22,
,,E-Commerce (Business emphasis)-050970,,2,1,,
,,English as a Second Language - Listening and Speaking-493086,1,50,28,86,
,,"Health Occupations, General-120100",48,94,93,121,
,,Job Seeking/Changing Skills-493012,6,,6,39,
,,Other Business and Management-059900,21,4,12,18,
,,Other Health Occupations-129900,,,,53,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,,,10,
,,Small Business and Entrepreneurship-050640,7,16,23,33,
,Noncredit award requiring < 48 hours                         Total,,,1,,8,
,,Job Seeking/Changing Skills-493012,,1,,8,
