,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
LA Harbor Total,,,"3,123","2,953","2,881","2,684","3,210",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,203,178,166,154,163,
,,Administration of Justice-210500,49,26,24,40,24,
,,"Biology, General-040100",5,8,2,12,11,
,,Business Administration-050500,87,68,75,51,59,
,,Child Development/Early Care and Education-130500,28,32,26,16,18,
,,Computer Science (Transfer)-070600,,,,,6,
,,Environmental Science-030100,,,1,,,
,,Hospitality-130700,,,1,2,4,
,,"Mathematics, General-170100",20,25,20,17,24,
,,"Nutrition, Foods, and Culinary Arts-130600",,3,1,2,3,
,,"Physics, General-190200",14,16,16,14,14,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,172,207,229,213,247,
,,Anthropology-220200,3,3,1,2,7,
,,Art-100200,10,13,29,16,27,
,,Child and Adolescent Development-130510,,,,,7,
,,Economics-220400,5,16,33,21,30,
,,English-150100,14,17,12,8,9,
,,History-220500,11,15,9,8,13,
,,Journalism-060200,3,5,7,3,2,
,,Kinesiology-127000,18,24,28,24,22,
,,Liberal Studies-490120,,,1,4,4,
,,Music-100400,1,4,4,1,4,
,,Philosophy-150900,1,3,,2,2,
,,Political Science-220700,8,7,6,6,8,
,,"Psychology, General-200100",65,62,64,68,58,
,,Sociology-220800,9,23,13,22,19,
,,Spanish-110500,4,3,7,8,12,
,,Speech Communication-150600,20,12,15,20,23,
,Associate of Science (A.S.) degree                           Total,,104,133,168,192,227,
,,Accounting-050200,2,3,2,2,3,
,,Administration of Justice-210500,6,4,4,1,3,
,,Architecture and Architectural Technology-020100,1,2,,,2,
,,"Biology, General-040100",,40,104,118,127,
,,"Business and Commerce, General-050100",2,2,5,2,1,
,,"Chemistry, General-190500",7,6,,5,1,
,,Child Development/Early Care and Education-130500,3,7,4,4,2,
,,Computer Information Systems-070200,,1,,3,4,
,,Computer Infrastructure and Support-070800,1,1,,,,
,,Computer Programming-070710,1,2,6,1,4,
,,Culinary Arts-130630,5,3,9,6,8,
,,"Engineering, General (requires Calculus) (Transfer)-090100",1,,1,,1,
,,Fire Technology-213300,,,,,1,
,,"Mathematics, General-170100",1,,,,,
,,Medical Office Technology-051420,1,,,,,
,,Office Technology/Office Computer Applications-051400,3,6,,2,,
,,"Physics, General-190200",3,4,1,2,2,
,,Real Estate-051100,,1,1,1,,
,,Registered Nursing-123010,67,51,31,45,68,
,Associate of Arts (A.A.) degree                              Total,,"1,724","1,522","1,484","1,335","1,483",
,,Art-100200,2,1,1,1,1,
,,Biological and Physical Sciences (and Mathematics)-490200,378,337,306,273,317,
,,"Business and Commerce, General-050100",6,4,6,12,9,
,,French-110200,,,,1,1,
,,Humanities and Fine Arts-490310,397,360,388,316,358,
,,"Liberal Arts and Sciences, General-490100",924,803,758,702,768,
