,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Lake Tahoe Total,,,210,302,263,458,631,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,33,35,28,36,42,
,,Administration of Justice-210500,10,3,10,5,11,
,,Business Administration-050500,20,28,12,17,22,
,,Child Development/Early Care and Education-130500,,,,1,3,
,,Geology-191400,,,1,1,1,
,,Hospitality-130700,,,1,3,,
,,"Mathematics, General-170100",3,4,4,9,5,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,50,81,71,88,133,
,,Anthropology-220200,1,3,2,5,6,
,,Art-100200,,2,3,6,4,
,,English-150100,2,2,1,2,2,
,,Geography-220600,1,2,1,1,1,
,,Kinesiology-127000,2,3,7,2,2,
,,Liberal Studies-490120,1,2,2,2,4,
,,Political Science-220700,,2,3,2,3,
,,"Psychology, General-200100",20,26,15,24,37,
,,Sociology-220800,21,38,33,34,63,
,,Spanish-110500,2,1,4,10,11,
,Associate of Science (A.S.) degree                           Total,,,3,12,11,12,
,,Accounting-050200,,,6,,,
,,Computer Networking-070810,,3,3,8,7,
,,Environmental Technology-030300,,,2,,,
,,Forestry-011400,,,1,3,5,
,Associate of Arts (A.A.) degree                              Total,,111,131,102,138,185,
,,Accounting-050200,2,2,,,3,
,,Administration of Justice-210500,3,5,2,4,4,
,,Administrative Medical Assisting-120820,3,3,2,1,3,
,,Alcohol and Controlled Substances-210440,,,4,,3,
,,Art-100200,1,1,,,,
,,Biological and Physical Sciences (and Mathematics)-490200,33,27,19,35,42,
,,"Business and Commerce, General-050100",,2,,4,2,
,,Business Management-050600,1,1,,,1,
,,Child Development/Early Care and Education-130500,4,3,2,1,1,
,,Commercial Music-100500,1,,,1,1,
,,Culinary Arts-130630,,1,1,,1,
,,Environmental Studies-030200,1,1,3,3,2,
,,Environmental Technology-030300,2,1,,,,
,,Fire Academy-213350,3,8,3,1,2,
,,Fire Technology-213300,5,4,3,1,,
,,Humanities and Fine Arts-490310,7,12,8,16,22,
,,Marketing and Distribution-050900,1,,,2,,
,,Multimedia-061410,2,2,3,3,,
,,Other Education-089900,,2,,,,
,,Other Public and Protective Services-219900,1,,1,,,
,,Parks and Outdoor Recreation-011510,,,,,3,
,,Recreation-083600,3,,,,,
,,"Social Sciences, General-220100",38,55,51,66,95,
,,Spanish-110500,,1,,,,
,Certificate requiring 60+ semester units                     Total,,,,,37,69,
,,"Education, General-080100",,,,37,69,
,Certificate requiring 30 to < 60 semester units              Total,,16,35,35,64,105,
,,Accounting-050200,3,3,1,2,7,
,,Administration of Justice-210500,3,,12,10,18,
,,Administrative Medical Assisting-120820,2,1,1,2,7,
,,Alcohol and Controlled Substances-210440,,1,2,2,2,
,,Art-100200,1,,,,,
,,"Business and Commerce, General-050100",,,,1,1,
,,Business Management-050600,,,,2,5,
,,Ceramics-100230,,,,1,,
,,Child Development/Early Care and Education-130500,,,2,3,10,
,,Computer Networking-070810,,1,3,9,9,
,,Culinary Arts-130630,,,,4,,
,,Fire Academy-213350,2,25,3,13,19,
,,Fire Technology-213300,,,2,,2,
,,Forestry-011400,,,4,8,2,
,,Hospitality-130700,,,2,,,
,,Marketing and Distribution-050900,,,,,2,
,,Other Education-089900,,1,,,,
,,Other Public and Protective Services-219900,1,,,,,
,,Painting and Drawing-100210,2,,,2,,
,,Parks and Outdoor Recreation-011510,,,1,,3,
,,Photography-101100,,,,1,,
,,Recreation-083600,,1,,,,
,,Small Business and Entrepreneurship-050640,,1,,2,2,
,,Spanish-110500,1,1,2,2,16,
,,Website Design and Development-061430,1,,,,,
,Certificate requiring 16 to fewer than 30 semester units     Total,,,13,1,14,47,
,,Culinary Arts-130630,,2,1,,,
,,Dental Assistant-124010,,,,14,26,
,,Fire Academy-213350,,,,,21,
,,Natural Resources-011500,,11,,,,
,Certificate requiring 6 to < 18 semester units               Total,,,4,14,70,38,
,,Accounting-050200,,,,2,8,
,,Administrative Medical Assisting-120820,,,,5,,
,,Child Development/Early Care and Education-130500,,,,1,2,
,,Computer Information Systems-070200,,,,8,,
,,Culinary Arts-130630,,,,9,9,
,,Forestry-011400,,,,31,2,
,,Real Estate-051100,,4,14,14,17,
