,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Laney Total,,,"1,010","1,014","1,038","1,224","1,174",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,95,57,49,69,56,
,,Business Administration-050500,60,38,30,43,30,
,,"Mathematics, General-170100",23,14,17,19,14,
,,"Physics, General-190200",12,5,2,7,12,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,104,103,74,86,64,
,,Anthropology-220200,,2,1,4,1,
,,Art-100200,3,4,3,3,6,
,,Dramatic Arts-100700,6,1,4,4,1,
,,Economics-220400,12,12,6,10,6,
,,English-150100,3,6,1,3,2,
,,Geography-220600,1,1,,,,
,,Global Studies-221020,1,1,,,1,
,,History-220500,3,2,4,,2,
,,Journalism-060200,1,4,4,1,3,
,,Kinesiology-127000,6,3,4,6,2,
,,Music-100400,2,1,,,,
,,Philosophy-150900,,2,2,1,2,
,,Political Science-220700,8,4,7,5,7,
,,"Psychology, General-200100",25,17,12,25,18,
,,Social Justice: African American Studies-220180,3,3,4,3,2,
,,Social Justice: Chicano Studies-220160,2,2,1,1,1,
,,Social Justice: Ethnic Studies-220150,5,8,4,3,3,
,,Sociology-220800,15,19,14,10,5,
,,Spanish-110500,2,2,1,,1,
,,Speech Communication-150600,6,9,2,7,1,
,Associate of Science (A.S.) degree                           Total,,236,243,257,271,261,
,,Accounting-050200,15,16,22,14,10,
,,Architecture and Architectural Technology-020100,3,4,3,5,1,
,,Banking and Finance-050400,,5,3,3,3,
,,Biological and Physical Sciences (and Mathematics)-490200,9,84,70,99,74,
,,"Biology, General-040100",82,4,7,,,
,,Biotechnology and Biomedical Technology-043000,6,9,8,4,1,
,,Business Administration-050500,13,13,20,21,11,
,,Business Management-050600,9,6,7,19,11,
,,Carpentry-095210,1,3,7,8,4,
,,Civil and Construction Management Technology-095700,4,9,7,8,4,
,,Computer Information Systems-070200,5,6,5,,6,
,,Computer Programming-070710,19,14,17,5,24,
,,Cosmetology and Barbering-300700,,,,,18,
,,Culinary Arts-130630,15,12,8,9,11,
,,Database Design and Administration-070720,,,,,1,
,,Electronics and Electric Technology-093400,11,9,13,16,11,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,,,1,11,
,,Environmental Control Technology-094600,3,6,7,2,1,
,,Machining and Machine Tools-095630,5,8,6,4,4,
,,Marketing and Distribution-050900,1,4,5,2,1,
,,"Mathematics, General-170100",26,18,25,31,30,
,,Mill and Cabinet Work-095250,1,1,4,6,5,
,,Office Technology/Office Computer Applications-051400,2,1,3,1,1,
,,Restaurant and Food Services and Management-130710,,7,6,10,12,
,,Television (including combined TV/Film/Video)-060420,,,,,2,
,,Welding Technology-095650,6,4,4,3,4,
,Associate of Arts (A.A.) degree                              Total,,249,247,261,305,245,
,,Applied Photography-101200,4,4,,1,3,
,,Banking and Finance-050400,3,,,,,
,,Business Administration-050500,,,2,,3,
,,Ceramics-100230,1,1,1,2,1,
,,Chinese-110700,,2,5,4,3,
,,Commercial Music-100500,,,3,1,5,
,,Computer Programming-070710,1,1,1,,1,
,,Cosmetology and Barbering-300700,8,6,10,7,,
,,Dance-100800,,,1,1,1,
,,Dramatic Arts-100700,1,,,3,2,
,,Ethnic Studies-220300,8,9,6,10,5,
,,Graphic Art and Design-103000,3,4,6,5,1,
,,Humanities and Fine Arts-490310,32,25,36,,,
