,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
LA Pierce Total,,,"7,135","6,722","6,176","7,265","7,189",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,577,539,470,551,544,
,,Administration of Justice-210500,66,63,56,62,39,
,,Animal Science-010200,,,,1,,
,,"Biology, General-040100",56,52,48,45,57,
,,Business Administration-050500,249,257,211,221,231,
,,Child Development/Early Care and Education-130500,59,34,29,31,22,
,,Geology-191400,1,,,,,
,,Hospitality-130700,1,3,3,8,5,
,,"Mathematics, General-170100",77,66,56,97,102,
,,"Physics, General-190200",39,32,34,57,56,
,,Plant Science-010300,,1,2,1,1,
,,Television (including combined TV/Film/Video)-060420,29,31,31,28,31,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,833,793,696,775,722,
,,Anthropology-220200,26,26,21,15,16,
,,Art-100200,32,29,27,39,33,
,,Dramatic Arts-100700,10,8,5,10,5,
,,Economics-220400,219,238,191,248,247,
,,English-150100,34,27,19,20,13,
,,"Fine Arts, General-100100",13,11,12,22,13,
,,Geography-220600,4,,5,3,2,
,,History-220500,29,30,19,29,33,
,,Journalism-060200,6,10,13,6,14,
,,Kinesiology-127000,30,29,19,26,23,
,,"Law, General-140100",,,3,8,6,
,,Liberal Studies-490120,28,17,14,13,15,
,,Music-100400,3,3,4,12,4,
,,Philosophy-150900,9,10,3,5,13,
,,Political Science-220700,63,44,50,51,63,
,,"Psychology, General-200100",144,159,140,156,137,
,,Social Justice Studies-220130,7,6,6,6,3,
,,Sociology-220800,92,68,71,46,32,
,,Spanish-110500,12,12,12,8,4,
,,Speech Communication-150600,72,66,62,52,46,
,Associate of Science (A.S.) degree                           Total,,112,110,125,137,168,
,,"Agriculture Technology and Sciences, General-010100",,,,1,1,
,,Applied Photography-101200,1,1,4,2,4,
,,Automotive Technology-094800,7,6,12,18,23,
,,Biotechnology and Biomedical Technology-043000,,,,,3,
,,Computer Networking-070810,3,8,8,8,16,
,,Computer Programming-070710,3,3,2,4,4,
,,Drafting Technology-095300,4,1,4,,2,
,,Electronics and Electric Technology-093400,6,3,5,3,1,
,,"Engineering, General (requires Calculus) (Transfer)-090100",6,16,11,25,32,
,,Equine Science-010240,4,2,3,4,2,
,,Horticulture-010900,2,,3,4,5,
,,Landscape Design and Maintenance-010910,1,,,1,1,
,,Machining and Machine Tools-095630,1,,3,1,2,
,,Registered Nursing-123010,48,44,36,33,38,
,,Veterinary Technician (Licensed)-010210,25,23,34,33,33,
,,Welding Technology-095650,1,3,,,1,
,Associate of Arts (A.A.) degree                              Total,,"3,321","3,124","2,647","2,967","2,923",
,,Accounting-050200,8,7,9,13,13,
,,Administration of Justice-210500,20,27,18,21,17,
,,Alcohol and Controlled Substances-210440,10,10,10,10,11,
,,Architecture and Architectural Technology-020100,9,6,4,4,3,
,,Area Studies-221010,1,1,1,,,
,,Art-100200,4,1,,3,3,
,,Biological and Physical Sciences (and Mathematics)-490200,947,948,738,848,872,
,,Business Administration-050500,6,9,5,6,8,
,,Ceramics-100230,1,1,1,3,,
,,Child Development/Early Care and Education-130500,28,20,17,15,17,
,,Computer Programming-070710,1,2,2,2,2,
,,Dance-100800,1,,,,,
,,Dramatic Arts-100700,2,4,1,1,2,
,,Ethnic Studies-220300,2,1,5,,1,
,,French-110200,8,3,4,7,2,
,,Geographic Information Systems-220610,,2,2,1,1,
,,Graphic Art and Design-103000,6,12,6,10,4,
,,Humanities and Fine Arts-490310,340,291,255,319,324,
,,Japanese-110800,12,5,6,5,5,
