,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
LA Swest Total,,,"2,117","1,969","1,837","2,031","2,384",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,110,92,63,57,53,
,,Administration of Justice-210500,23,19,17,18,12,
,,Business Administration-050500,44,34,24,26,25,
,,Child Development/Early Care and Education-130500,28,21,10,6,9,
,,"Health Occupations, General-120100",2,4,3,2,1,
,,"Mathematics, General-170100",4,4,1,1,,
,,"Nutrition, Foods, and Culinary Arts-130600",2,2,4,1,4,
,,"Physics, General-190200",7,8,4,3,2,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,118,79,45,54,61,
,,Anthropology-220200,1,1,1,,1,
,,Art-100200,8,2,2,3,5,
,,Dramatic Arts-100700,2,2,1,3,2,
,,English-150100,8,4,2,2,1,
,,History-220500,2,2,,1,1,
,,Journalism-060200,,1,,1,,
,,Kinesiology-127000,,2,4,2,3,
,,Political Science-220700,6,4,4,4,,
,,"Psychology, General-200100",32,26,17,13,29,
,,Social Justice Studies-220130,1,,1,,1,
,,Sociology-220800,42,27,10,22,13,
,,Spanish-110500,4,3,1,1,2,
,,Speech Communication-150600,12,5,2,2,3,
,Associate of Science (A.S.) degree                           Total,,58,53,43,43,52,
,,Computer Programming-070710,2,2,3,3,6,
,,Electronics and Electric Technology-093400,,,1,1,,
,,Geology-191400,1,,,,,
,,"Mathematics, General-170100",6,1,3,,1,
,,Office Technology/Office Computer Applications-051400,,3,,,,
,,"Physics, General-190200",,,1,,,
,,"Psychology, General-200100",6,11,4,5,4,
,,Registered Nursing-123010,43,36,31,34,41,
,Associate of Arts (A.A.) degree                              Total,,781,787,472,462,512,
,,Administration of Justice-210500,6,9,7,7,,
,,Anthropology-220200,1,2,,,,
,,Art-100200,5,1,1,2,3,
,,Banking and Finance-050400,,,1,,,
,,Biological and Physical Sciences (and Mathematics)-490200,150,154,97,72,98,
,,"Biology, General-040100",5,9,2,2,2,
,,Business Administration-050500,1,1,1,,1,
,,"Business and Commerce, General-050100",26,23,11,5,8,
,,Child Development/Early Care and Education-130500,6,13,3,3,4,
,,Computer Science (Transfer)-070600,2,,,1,,
,,Dramatic Arts-100700,,1,,1,,
,,Electronics and Electric Technology-093400,,2,1,1,,
,,English-150100,6,2,2,,,
,,History-220500,,,,1,,
,,Humanities and Fine Arts-490310,2,3,,1,1,
,,"Liberal Arts and Sciences, General-490100",234,258,140,142,158,
,,Liberal Studies-490120,315,285,184,206,217,
,,Management Development and Supervision-050630,11,7,6,2,6,
,,Music-100400,,,,1,1,
,,Political Science-220700,1,1,3,2,,
,,"Psychology, General-200100",5,1,4,5,5,
,,Real Estate-051100,,,3,3,2,
,,Sociology-220800,2,8,3,4,2,
,,Software Applications-070210,,3,,,,
,,Spanish-110500,1,4,2,1,4,
,,Speech Communication-150600,2,,1,,,
,Certificate requiring 30 to < 60 semester units              Total,,440,354,240,250,247,
,,Alcohol and Controlled Substances-210440,6,3,3,4,1,
,,Banking and Finance-050400,,,2,,,
,,Transfer Studies-490110,434,351,235,246,246,
,Certificate requiring 16 to fewer than 30 semester units     Total,,10,17,9,10,14,
,,Administration of Justice-210500,1,1,2,,1,
,,Business Administration-050500,,3,1,,,
,,"Business and Commerce, General-050100",3,1,2,2,1,
,,Child Development/Early Care and Education-130500,,,,1,,
,,"Information Technology, General-070100",1,5,,2,1,
,,Kinesiology-127000,,,,,1,
,,Management Development and Supervision-050630,4,7,3,1,6,
,,Real Estate-051100,1,,1,4,3,
,,Sociology-220800,,,,,1,
,Certificate requiring 8 to fewer than 16 semester units      Total,,1,7,1,5,2,
,,"Information Technology, General-070100",1,7,1,5,2,
,Certificate requiring 6 to < 18 semester units               Total,,79,47,50,31,42,
,,Accounting-050200,2,1,1,,,
,,Administration of Justice-210500,6,2,4,3,5,
,,Alcohol and Controlled Substances-210440,5,6,13,2,5,
,,Child Development/Early Care and Education-130500,54,19,19,11,29,
,,"Education, General-080100",1,,,,,
,,Electronics and Electric Technology-093400,,2,4,3,,
,,Management Development and Supervision-050630,,7,1,,2,
,,Office Technology/Office Computer Applications-051400,6,6,1,1,,
,,Real Estate-051100,3,2,5,9,1,
,,Sociology-220800,2,2,2,2,,
,Noncredit award requiring from 288 to < 480 hours            Total,,5,1,1,1,,
,,English as a Second Language - Integrated-493087,,,1,1,,
,,English as a Second Language - Listening and Speaking-493086,5,1,,,,
,Noncredit award requiring from 192 to < 288 hours            Total,,79,36,96,163,106,
,,Construction Crafts Technology-095200,79,,75,97,104,
,,English-150100,,36,19,61,,
,,Vocational ESL-493100,,,2,5,2,
,Noncredit award requiring from 144 to < 192 hours            Total,,236,231,276,269,376,
,,English as a Second Language - Integrated-493087,200,146,233,229,346,
,,Other Health Occupations-129900,36,85,43,40,30,
,Noncredit award requiring from 96 to < 144 hours             Total,,17,27,33,28,22,
,,Academic Guidance-493013,1,,,,,
,,Computer Information Systems-070200,,21,20,10,,
,,Job Seeking/Changing Skills-493012,15,4,6,9,13,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,1,,,,,
,,Study Skills-493014,,2,7,9,9,
,Noncredit award requiring from 48 to < 96 hours              Total,,166,157,324,362,502,
,,Career Guidance and Orientation-493010,,,102,100,104,
,,Carpentry-095210,,23,9,,,
,,Community Health Care Worker-126100,,,,,45,
,,Drywall and Insulation-095280,,,9,,,
,,English as a Second Language - Integrated-493087,54,37,26,9,28,
,,English as a Second Language - Listening and Speaking-493086,,,,,7,
,,English-150100,,,,,56,
,,"Health Occupations, General-120100",,,,,5,
,,Industrial and Occupational Safety and Health-095670,,97,178,253,257,
,,Job Seeking/Changing Skills-493012,112,,,,,
,Noncredit award requiring < 48 hours                         Total,,17,81,184,296,395,
,,Construction Crafts Technology-095200,,23,,,,
,,Customer Service-051800,,,,,1,
,,Industrial and Occupational Safety and Health-095670,,20,131,279,292,
,,Job Seeking/Changing Skills-493012,17,38,29,,102,
,,Study Skills-493014,,,24,17,,
