,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
LA Valley Total,,,"3,962","4,500","4,478","6,393",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,377,335,373,427,
,,Administration of Justice-210500,34,31,38,37,
,,"Biology, General-040100",29,13,18,23,
,,Business Administration-050500,197,183,218,216,
,,Child Development/Early Care and Education-130500,37,34,24,24,
,,Geology-191400,,1,,1,
,,"Mathematics, General-170100",25,28,35,50,
,,"Physics, General-190200",11,15,17,29,
,,Television (including combined TV/Film/Video)-060420,44,30,23,47,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,438,397,426,450,
,,Anthropology-220200,16,12,9,12,
,,Art-100200,27,28,26,29,
,,Dramatic Arts-100700,6,6,5,3,
,,Economics-220400,24,21,28,36,
,,English-150100,21,19,18,18,
,,"Fine Arts, General-100100",8,12,8,3,
,,Geography-220600,1,1,,,
,,History-220500,8,8,10,12,
,,Journalism-060200,5,5,5,5,
,,Kinesiology-127000,37,28,19,23,
,,Liberal Studies-490120,13,18,12,14,
,,Music-100400,,3,4,9,
,,Philosophy-150900,4,4,8,6,
,,Political Science-220700,25,25,37,39,
,,"Psychology, General-200100",122,102,130,131,
,,Sociology-220800,73,71,62,66,
,,Spanish-110500,9,4,2,7,
,,Speech Communication-150600,39,30,43,37,
,Associate of Science (A.S.) degree                           Total,,176,358,368,404,
,,Biological and Physical Sciences (and Mathematics)-490200,,186,202,209,
,,"Biology, General-040100",29,29,30,33,
,,Biomedical Instrumentation-093460,13,8,9,3,
,,"Chemistry, General-190500",7,,1,4,
,,Civil and Construction Management Technology-095700,3,6,3,4,
,,Computer Programming-070710,5,11,9,14,
,,Earth Science-193000,1,4,2,3,
,,Electronics and Electric Technology-093400,12,9,7,7,
,,"Engineering, General (requires Calculus) (Transfer)-090100",2,1,1,1,
,,Fire Technology-213300,12,8,14,19,
,,Geology-191400,,,,1,
,,Machining and Machine Tools-095630,3,,,,
,,Manufacturing and Industrial Technology-095600,,2,1,3,
,,Mechanical Drafting-095340,,1,1,2,
,,"Physics, General-190200",1,5,4,10,
,,Registered Nursing-123010,63,64,64,71,
,,Respiratory Care/Therapy-121000,25,24,20,20,
,Associate of Arts (A.A.) degree                              Total,,"1,044",950,696,629,
,,Accounting-050200,32,25,28,11,
,,Administration of Justice-210500,3,2,,2,
,,Applied Photography-101200,2,6,3,4,
,,Art-100200,5,9,4,7,
,,Banking and Finance-050400,18,15,16,10,
,,Child Development/Early Care and Education-130500,73,107,61,54,
,,Children with Special Needs-130520,16,36,23,24,
,,Commercial Art-101300,8,7,10,14,
,,Commercial Music-100500,9,3,4,2,
,,Dramatic Arts-100700,2,7,3,1,
,,Economics-220400,109,98,141,175,
,,English-150100,,,,1,
,,Ethnic Studies-220300,7,12,16,10,
,,Film History and Criticism-061210,4,2,2,3,
,,Film Production-061220,34,29,26,51,
,,"Foreign Languages, General-110100",2,5,,1,
,,French-110200,6,3,5,3,
,,Geography-220600,,1,1,1,
,,German-110300,1,2,1,,
,,History-220500,3,,5,7,
,,Humanities-490300,1,2,1,3,
,,Italian-110400,1,2,,,
,,Journalism-060200,1,,1,,
,,"Liberal Arts and Sciences, General-490100",581,438,218,107,
,,Liberal Studies-490120,1,3,2,1,
,,Management Development and Supervision-050630,17,18,11,18,
,,Marketing and Distribution-050900,10,17,6,12,
