,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Long Beach Total,,,"5,392","5,346","5,481","5,970","6,901",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,604,568,564,609,727,
,,Administration of Justice-210500,121,106,103,103,121,
,,"Biology, General-040100",28,35,30,31,39,
,,Business Administration-050500,319,296,292,281,375,
,,Child Development/Early Care and Education-130500,15,18,19,33,29,
,,Geology-191400,5,2,6,2,,
,,"Health Occupations, General-120100",7,9,10,10,11,
,,Hospitality-130700,,2,5,30,33,
,,"Mathematics, General-170100",45,37,31,31,35,
,,"Nutrition, Foods, and Culinary Arts-130600",19,15,17,19,11,
,,"Physics, General-190200",4,3,12,12,15,
,,Television (including combined TV/Film/Video)-060420,41,45,39,57,58,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,950,913,934,942,"1,104",
,,Anthropology-220200,25,19,15,30,24,
,,Art-100200,53,58,80,79,85,
,,Dramatic Arts-100700,15,6,11,13,20,
,,Economics-220400,14,10,8,20,19,
,,English-150100,33,42,36,35,38,
,,"Fine Arts, General-100100",9,10,15,18,21,
,,Geography-220600,9,8,6,7,8,
,,Global Studies-221020,,,,,2,
,,History-220500,38,28,50,33,39,
,,Journalism-060200,10,15,14,9,12,
,,Kinesiology-127000,66,55,69,57,71,
,,Liberal Studies-490120,23,25,20,27,31,
,,Music-100400,6,9,14,9,16,
,,Philosophy-150900,9,13,9,9,10,
,,Political Science-220700,38,39,25,29,40,
,,"Psychology, General-200100",260,253,275,282,335,
,,Social Justice Studies-220130,,2,2,1,9,
,,Sociology-220800,187,188,158,157,177,
,,Spanish-110500,8,6,1,3,5,
,,Speech Communication-150600,147,127,126,124,142,
,Associate of Science (A.S.) degree                           Total,,686,768,599,635,774,
,,Aeronautical and Aviation Technology-095000,1,,,,,
,,Alternative Fuels and Advanced Transportation Technology-094840,10,2,1,2,2,
,,Architectural Drafting-095310,3,2,2,1,,
,,Architecture and Architectural Technology-020100,8,8,7,4,5,
,,Automotive Technology-094800,3,7,13,9,16,
,,"Biology, General-040100",244,262,175,168,209,
,,Computer Information Systems-070200,,,5,13,30,
,,Computer Networking-070810,34,34,42,20,31,
,,Computer Science (Transfer)-070600,27,22,16,21,24,
,,Computer Support-070820,10,5,6,2,8,
,,Construction Crafts Technology-095200,2,6,5,7,7,
,,Culinary Arts-130630,26,28,23,23,35,
,,Database Design and Administration-070720,3,4,3,6,7,
,,Electronics and Electric Technology-093400,16,39,27,37,35,
,,"Engineering Technology, General (requires Trigonometry)-092400",,,,1,3,
,,"Engineering, General (requires Calculus) (Transfer)-090100",1,5,5,4,8,
,,Fashion Design-130310,,,1,8,5,
,,Fashion Merchandising-130320,,,4,6,7,
,,Fire Technology-213300,36,56,41,29,42,
,,Horticulture-010900,2,13,7,7,8,
,,"Information Technology, General-070100",30,30,19,25,25,
,,Library Technician (Aide)-160200,3,18,8,18,26,
,,Licensed Vocational Nursing-123020,35,36,26,35,40,
,,"Mathematics, General-170100",7,11,4,7,10,
,,Mechanical Drafting-095340,4,1,1,1,5,
,,Medical Assisting-120800,13,11,16,21,21,
,,Nursing-123000,73,63,52,50,28,
,,"Nutrition, Foods, and Culinary Arts-130600",,1,3,3,7,
,,Office Technology/Office Computer Applications-051400,4,1,1,3,3,
,,"Physical Sciences, General-190100",39,33,34,37,37,
,,Radiologic Technology-122500,13,29,16,19,21,
,,Registered Nursing-123010,11,2,1,13,33,
,,Sheet Metal and Structural Metal-095640,10,11,6,5,6,
,,Welding Technology-095650,7,13,13,21,22,
,,World Wide Web Administration-070900,11,15,16,9,8,
,Associate of Arts (A.A.) degree                              Total,,320,305,267,283,314,
,,Accounting-050200,20,23,14,23,30,
,,Administration of Justice-210500,24,23,26,16,18,
,,Alcohol and Controlled Substances-210440,14,16,9,16,22,
,,Art-100200,8,9,4,6,3,
,,Broadcast Journalism-060430,,3,2,5,,
,,"Business and Commerce, General-050100",13,19,20,15,19,
,,Business Management-050600,18,11,16,20,19,
,,Child Development/Early Care and Education-130500,16,14,17,20,13,
,,Commercial Music-100500,1,,,,,
,,Creative Writing-150700,5,8,8,8,10,
,,Dance-100800,5,4,7,7,9,
,,Dietetic Services and Management-130620,7,3,3,4,4,
,,Dietetic Technology-130660,7,4,2,1,,
,,Digital Media-061400,,,,1,3,
,,Dramatic Arts-100700,8,2,2,3,3,
,,English-150100,2,4,2,1,2,
,,Ethnic Studies-220300,,,,,1,
,,"Family and Consumer Sciences, General-130100",,1,,,,
,,Fashion Design-130310,4,7,,,,
,,Fashion Merchandising-130320,15,4,1,2,,
,,Film Studies-061200,8,9,5,4,2,
,,Floriculture / Floristry-010920,,,,1,,
,,"Foreign Languages, General-110100",13,8,9,4,9,
,,Human Services-210400,26,25,27,18,30,
,,International Business and Trade-050800,2,3,2,4,3,
,,Japanese-110800,6,10,8,10,14,
,,Journalism-060200,,2,1,,,
,,Library Technician (Aide)-160200,5,,1,1,,
,,Licensed Vocational Nursing-123020,,1,,,,
,,Linguistics-150110,11,9,14,13,15,
,,Marketing and Distribution-050900,8,13,6,14,7,
,,Music-100400,,1,1,,1,
,,Physical Education-083500,8,15,6,8,22,
,,"Physical Sciences, General-190100",12,2,4,9,17,
,,Public Relations-060600,,1,1,,,
,,Radio and Television-060400,,5,2,10,4,
,,Sign Language-085000,7,7,13,8,10,
,,"Social Sciences, General-220100",13,,,,,
,,Special Education-080900,1,3,2,3,4,
,,Speech Communication-150600,33,34,31,21,20,
,,Television (including combined TV/Film/Video)-060420,,2,1,7,,
,Certificate requiring 60+ semester units                     Total,,11,16,19,12,7,
,,Radiologic Technology-122500,11,16,19,12,7,
,Certificate requiring 30 to < 60 semester units              Total,,"1,698","1,796","1,872","1,966","2,049",
,,Alcohol and Controlled Substances-210440,22,18,20,16,24,
,,Alternative Fuels and Advanced Transportation Technology-094840,,1,2,,1,
,,Architectural Drafting-095310,2,1,,,,
,,Architecture and Architectural Technology-020100,3,1,2,1,3,
,,Broadcast Journalism-060430,1,3,5,2,,
,,Business Management-050600,9,5,7,14,8,
,,Computer Networking-070810,11,11,20,13,9,
,,Computer Science (Transfer)-070600,3,5,9,9,6,
,,Computer Support-070820,2,3,1,,1,
,,Construction Crafts Technology-095200,,8,3,2,6,
,,Culinary Arts-130630,20,,1,4,10,
,,Database Design and Administration-070720,2,,,6,1,
,,Electronics and Electric Technology-093400,24,40,27,49,38,
,,Fashion Design-130310,,1,,1,,
,,Fashion Merchandising-130320,,,3,,,
,,Fashion Production-130330,,,,1,2,
,,Horticulture-010900,5,7,10,6,3,
,,"Information Technology, General-070100",3,3,5,4,8,
,,Licensed Vocational Nursing-123020,44,26,23,35,24,
,,Mechanical Drafting-095340,1,,,,,
,,Office Technology/Office Computer Applications-051400,1,1,2,2,1,
,,Radio and Television-060400,2,2,3,1,1,
,,Registered Nursing-123010,,,,4,1,
,,Sheet Metal and Structural Metal-095640,1,,5,3,,
,,Television (including combined TV/Film/Video)-060420,1,2,3,1,,
,,Transfer Studies-490110,"1,532","1,644","1,692","1,776","1,898",
,,Welding Technology-095650,6,5,20,13,,
,,World Wide Web Administration-070900,3,9,9,3,4,
,Certificate requiring 16 to fewer than 30 semester units     Total,,,,340,349,402,
,,Accounting-050200,,,12,18,17,
,,Administration of Justice-210500,,,19,10,12,
,,Administrative Medical Assisting-120820,,,9,5,4,
,,Alternative Fuels and Advanced Transportation Technology-094840,,,4,,2,
,,Animation-061440,,,1,,,
,,Archaeology-220220,,,,,2,
,,Architectural Drafting-095310,,,,1,,
,,Architecture and Architectural Technology-020100,,,,1,2,
,,Automotive Technology-094800,,,26,31,42,
,,"Business and Commerce, General-050100",,,10,7,10,
,,Child Development/Early Care and Education-130500,,,8,6,8,
,,Children with Special Needs-130520,,,,1,,
,,Clinical Medical Assisting-120810,,,15,8,12,
,,Commercial Music-100500,,,,1,3,
,,Computer Information Systems-070200,,,1,13,15,
,,Computer Infrastructure and Support-070800,,,2,8,13,
,,Construction Crafts Technology-095200,,,,1,,
,,Culinary Arts-130630,,,25,24,34,
,,Dietetic Services and Management-130620,,,4,10,9,
,,Dietetic Technology-130660,,,4,3,6,
,,Digital Media-061400,,,,4,5,
,,Economics-220400,,,11,16,16,
,,Educational Aide (Teacher Assistant)-080200,,,1,6,10,
,,Electronic Game Design-061420,,,2,2,4,
,,Ethnic Studies-220300,,,1,2,3,
,,Fashion Design-130310,,,,1,1,
,,Film Production-061220,,,3,3,4,
,,Fire Technology-213300,,,48,26,21,
,,Fitness Trainer-083520,,,5,25,24,
,,Floriculture / Floristry-010920,,,,1,,
,,"Foreign Languages, General-110100",,,3,,,
,,French-110200,,,3,,2,
,,Graphic Art and Design-103000,,,2,9,3,
,,Human Services-210400,,,36,11,14,
,,"Information Technology, General-070100",,,3,5,,
,,International Business and Trade-050800,,,,6,4,
,,Japanese-110800,,,3,7,9,
,,Library Technician (Aide)-160200,,,13,20,19,
,,Marketing and Distribution-050900,,,6,6,3,
,,Mechanical Drafting-095340,,,1,1,3,
,,Medical Assisting-120800,,,26,18,25,
,,Multimedia-061410,,,1,2,1,
,,Other Fine and Applied Arts-109900,,,2,2,2,
,,"Psychology, General-200100",,,,,4,
,,Radio and Television-060400,,,4,3,1,
,,Sheet Metal and Structural Metal-095640,,,4,,3,
,,Spanish-110500,,,8,7,9,
,,Special Education-080900,,,,2,,
,,Website Design and Development-061430,,,6,9,5,
,,Welding Technology-095650,,,8,7,16,
,Certificate requiring 8 to fewer than 16 semester units      Total,,,,77,162,190,
,,Architecture and Architectural Technology-020100,,,,,1,
,,Automotive Technology-094800,,,12,15,16,
,,Business Management-050600,,,,,3,
,,Computer Infrastructure and Support-070800,,,21,28,46,
,,Computer Networking-070810,,,4,4,3,
,,Construction Crafts Technology-095200,,,11,11,28,
,,Educational Aide (Teacher Assistant)-080200,,,3,9,14,
,,Electronics and Electric Technology-093400,,,15,27,27,
,,"Forensics, Evidence, and Investigation-210540",,,1,14,20,
,,Mass Communications-061000,,,5,5,3,
,,Office Technology/Office Computer Applications-051400,,,5,8,1,
,,Welding Technology-095650,,,,41,28,
,Certificate requiring 6 to < 18 semester units               Total,,805,732,585,585,695,
,,Accounting-050200,29,33,22,15,16,
,,Administration of Justice-210500,5,6,4,3,5,
,,Alcohol and Controlled Substances-210440,26,8,6,3,,
,,Alternative Fuels and Advanced Transportation Technology-094840,5,6,,,,
,,Automotive Technology-094800,38,59,43,52,62,
,,Banking and Finance-050400,3,1,5,5,1,
,,"Business and Commerce, General-050100",176,176,160,148,284,
,,Business Management-050600,17,12,3,9,8,
,,Child Development/Early Care and Education-130500,120,114,96,125,105,
,,Children with Special Needs-130520,3,5,2,5,5,
,,Computer Information Systems-070200,3,,,,,
,,Computer Infrastructure and Support-070800,8,2,1,1,,
,,Computer Networking-070810,3,7,4,2,1,
,,Computer Programming-070710,3,7,4,4,8,
,,Computer Support-070820,28,17,13,10,3,
,,Dietetic Technology-130660,10,,1,2,1,
,,Drafting Technology-095300,,,,1,,
,,E-Commerce (Business emphasis)-050970,7,5,1,4,1,
,,Economics-220400,2,,,,,
,,Electronics and Electric Technology-093400,2,,,,,
,,"Fine Arts, General-100100",1,1,1,,,
,,"Forensics, Evidence, and Investigation-210540",22,19,14,8,,
,,French-110200,1,,,,,
,,Geography-220600,,2,2,3,2,
,,Graphic Art and Design-103000,8,7,3,3,,
,,"Information Technology, General-070100",73,54,41,28,31,
,,International Business and Trade-050800,13,12,3,4,10,
,,Japanese-110800,3,,,,,
,,Licensed Vocational Nursing-123020,4,16,10,9,11,
,,Marketing and Distribution-050900,7,5,3,8,5,
,,Medical Assisting-120800,54,43,50,52,55,
,,Office Technology/Office Computer Applications-051400,32,25,12,9,6,
,,Parenting and Family Education-130560,11,10,5,9,9,
,,Physical Education-083500,26,21,1,4,,
,,Radiologic Technology-122500,1,,13,2,3,
,,Real Estate-051100,27,38,44,48,55,
,,Sheet Metal and Structural Metal-095640,,,1,,,
,,Small Business and Entrepreneurship-050640,2,,1,,1,
,,Spanish-110500,,,,4,3,
,,Study Skills-493014,,,,,3,
,,Unknown-999999,5,,2,1,,
,,Welding Technology-095650,7,1,,1,,
,,World Wide Web Administration-070900,20,20,14,3,1,
,"Other Credit Award, < 6 semester units                       Total",,69,79,78,56,79,
,,Database Design and Administration-070720,8,7,7,12,6,
,,Emergency Medical Services-125000,2,1,7,5,6,
,,Home Health Aide-123080,,,,1,,
,,"Information Technology, General-070100",,,,,1,
,,"Library Science, General-160100",,,,,1,
,,Mechanical Drafting-095340,2,3,2,1,,
,,Office Technology/Office Computer Applications-051400,51,65,54,36,51,
,,Phlebotomy-120510,3,,8,1,13,
,,Telecommunications Technology-093430,3,3,,,1,
,Noncredit award requiring from 288 to < 480 hours            Total,,,,,,21,
,,Library Technician (Aide)-160200,,,,,21,
,Noncredit award requiring from 192 to < 288 hours            Total,,155,22,25,173,197,
,,Automotive Technology-094800,1,,,,2,
,,Construction Crafts Technology-095200,13,,,,,
,,English as a Second Language - Integrated-493087,141,22,20,162,194,
,,Fashion Production-130330,,,,,1,
,,Library Technician (Aide)-160200,,,5,11,,
,Noncredit award requiring from 144 to < 192 hours            Total,,19,,4,5,18,
,,Architecture and Architectural Technology-020100,,,,,1,
,,Fashion Production-130330,,,1,,,
,,"Library Science, General-160100",,,,4,8,
,,Library Technician (Aide)-160200,,,,,9,
,,Vocational ESL-493100,19,,3,1,,
,Noncredit award requiring from 96 to < 144 hours             Total,,24,52,40,58,47,
,,Architecture and Architectural Technology-020100,,,,,2,
,,Child Development/Early Care and Education-130500,,,,4,,
,,Computer Support-070820,,8,2,,,
,,Construction Crafts Technology-095200,13,26,10,13,31,
,,English as a Second Language - Listening and Speaking-493086,1,,2,11,3,
,,English as a Second Language - Reading-493085,9,16,18,12,,
,,English as a Second Language - Writing-493084,1,2,,3,5,
,,Library Technician (Aide)-160200,,,3,9,,
,,Parenting and Family Education-130560,,,2,5,4,
,,Welding Technology-095650,,,3,1,2,
,Noncredit award requiring from 48 to < 96 hours              Total,,8,17,7,32,106,
,,English as a Second Language - Reading-493085,8,2,4,19,70,
,,"Information Technology, General-070100",,1,2,1,21,
,,Job Seeking/Changing Skills-493012,,14,,10,,
,,Reading-152000,,,,,12,
,,Real Estate-051100,,,1,1,,
,,Software Applications-070210,,,,1,1,
,,Study Skills-493014,,,,,2,
,Noncredit award requiring < 48 hours                         Total,,43,78,70,103,171,
,,Construction Crafts Technology-095200,11,,1,,,
,,Dietetic Services and Management-130620,1,20,,2,16,
,,"Health Occupations, General-120100",12,7,5,17,8,
,,"Information Technology, General-070100",,,3,,1,
,,"Mathematics, General-170100",18,36,11,31,25,
,,Other Health Occupations-129900,,,,,1,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,1,15,40,49,107,
,,Welding Technology-095650,,,10,4,13,
