,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Madera Total,,,850,752,837,"1,053",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,94,95,111,126,
,,Administration of Justice-210500,24,23,24,28,
,,"Agriculture Business, Sales and Service-011200",3,2,3,3,
,,"Biology, General-040100",3,5,5,2,
,,Business Administration-050500,46,39,51,68,
,,Child Development/Early Care and Education-130500,11,16,17,10,
,,"Mathematics, General-170100",4,5,6,6,
,,"Physics, General-190200",,1,1,3,
,,Plant Science-010300,3,4,4,6,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,130,88,104,168,
,,Art-100200,7,3,8,9,
,,Economics-220400,1,2,,1,
,,English-150100,2,2,7,5,
,,"Fine Arts, General-100100",1,,1,2,
,,History-220500,9,5,5,8,
,,Human Services-210400,,1,4,6,
,,Kinesiology-127000,13,11,12,9,
,,Liberal Studies-490120,20,22,13,22,
,,Philosophy-150900,2,3,1,4,
,,Political Science-220700,4,2,2,6,
,,"Psychology, General-200100",42,23,32,54,
,,Sociology-220800,20,10,13,31,
,,Spanish-110500,4,1,2,2,
,,Speech Communication-150600,5,3,4,9,
,Associate of Science (A.S.) degree                           Total,,155,201,211,254,
,,Accounting-050200,3,2,3,4,
,,Administration of Justice-210500,2,4,3,4,
,,Agricultural Power Equipment Technology-011600,,,,1,
,,"Agriculture Business, Sales and Service-011200",,,,1,
,,"Biology, General-040100",83,106,120,135,
,,Business Administration-050500,2,4,6,18,
,,Child Development/Early Care and Education-130500,10,10,9,2,
,,Computer Networking-070810,,,,3,
,,Computer Science (Transfer)-070600,,4,2,6,
,,Computer Support-070820,1,,1,,
,,Corrections-210510,3,2,,3,
,,"Engineering, General (requires Calculus) (Transfer)-090100",1,,1,3,
,,Industrial Systems Technology and Maintenance-094500,,1,1,1,
,,Licensed Vocational Nursing-123020,21,32,30,23,
,,Machining and Machine Tools-095630,2,4,,,
,,"Mathematics, General-170100",,,,2,
,,Medical Office Technology-051420,3,4,6,1,
,,Office Technology/Office Computer Applications-051400,3,2,4,2,
,,"Physical Sciences, General-190100",,,,1,
,,Registered Nursing-123010,11,12,11,16,
,,Speech/Language Pathology and Audiology-122000,8,12,11,25,
,,Welding Technology-095650,2,2,3,3,
,Associate of Arts (A.A.) degree                              Total,,30,48,53,43,
,,Art-100200,1,3,3,3,
,,Biological and Physical Sciences (and Mathematics)-490200,,8,7,1,
,,English-150100,1,,1,1,
,,Humanities and Fine Arts-490310,,1,1,,
,,Liberal Studies-490120,19,25,26,26,
,,Sign Language-085000,1,,1,,
,,"Social Sciences, General-220100",7,10,13,12,
,,Speech Communication-150600,1,1,1,,
,Certificate requiring 60+ semester units                     Total,,246,251,259,345,
,,Licensed Vocational Nursing-123020,9,9,6,3,
,,Transfer Studies-490110,237,242,253,342,
,Certificate requiring 30 to < 60 semester units              Total,,86,45,68,74,
,,Accounting-050200,1,1,1,3,
,,"Business and Commerce, General-050100",24,19,40,41,
,,Child Development/Early Care and Education-130500,21,6,15,11,
,,Industrial Systems Technology and Maintenance-094500,,1,1,1,
,,"Liberal Arts and Sciences, General-490100",5,3,,,
,,Manufacturing and Industrial Technology-095600,16,1,1,10,
,,Medical Office Technology-051420,8,2,6,2,
,,Office Technology/Office Computer Applications-051400,2,4,3,2,
,,Sign Language-085000,2,,,,
,,Welding Technology-095650,7,8,1,4,
,Certificate requiring 16 to fewer than 30 semester units     Total,,92,16,25,30,
,,Administration of Justice-210500,6,4,3,4,
,,Agricultural Power Equipment Technology-011600,,,,2,
,,Business Administration-050500,3,,,,
,,"Business and Commerce, General-050100",6,,1,,
,,Child Development/Early Care and Education-130500,9,7,4,5,
,,Children with Special Needs-130520,1,,,,
,,Corrections-210510,1,,1,3,
,,Horticulture-010900,,,1,,
,,Industrial Systems Technology and Maintenance-094500,1,,,,
,,Licensed Vocational Nursing-123020,1,,,,
,,Office Technology/Office Computer Applications-051400,9,2,3,1,
,,Speech/Language Pathology and Audiology-122000,11,3,12,15,
,,Transfer Studies-490110,44,,,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,17,8,5,12,
,,Business Administration-050500,13,6,5,10,
,,"Information Technology, General-070100",,,,1,
,,Speech Communication-150600,4,2,,1,
,Noncredit award requiring from 288 to < 480 hours            Total,,,,1,1,
,,English as a Second Language - Integrated-493087,,,1,1,
