,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Marin Total,,,443,417,470,582,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,56,40,59,56,
,,Administration of Justice-210500,7,6,5,8,
,,Business Administration-050500,40,30,43,34,
,,Child Development/Early Care and Education-130500,5,,2,4,
,,Geology-191400,2,,,,
,,"Mathematics, General-170100",,3,4,4,
,,"Physics, General-190200",1,1,4,3,
,,Television (including combined TV/Film/Video)-060420,1,,1,3,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,104,98,107,111,
,,Anthropology-220200,1,4,4,6,
,,Dramatic Arts-100700,2,,1,4,
,,Economics-220400,8,9,14,8,
,,English-150100,2,3,1,4,
,,"Fine Arts, General-100100",4,5,6,5,
,,Geography-220600,2,,,1,
,,Global Studies-221020,,,1,,
,,History-220500,1,2,5,5,
,,Kinesiology-127000,2,3,,1,
,,Philosophy-150900,3,3,3,4,
,,Political Science-220700,11,8,13,9,
,,"Psychology, General-200100",42,33,30,39,
,,Sociology-220800,10,10,11,13,
,,Spanish-110500,2,8,3,1,
,,Speech Communication-150600,14,10,15,11,
,Associate of Science (A.S.) degree                           Total,,83,86,83,110,
,,Administration of Justice-210500,2,2,1,2,
,,Administrative Medical Assisting-120820,12,7,4,1,
,,Applied Design-100900,,2,1,,
,,Architecture and Architectural Technology-020100,3,2,4,4,
,,Automotive Technology-094800,1,,2,2,
,,Biological and Physical Sciences (and Mathematics)-490200,2,8,4,14,
,,"Biology, General-040100",2,2,,4,
,,"Business and Commerce, General-050100",7,13,13,18,
,,Child Development/Early Care and Education-130500,,1,2,3,
,,Clinical Medical Assisting-120810,,,,1,
,,Computer Information Systems-070200,1,4,1,2,
,,Computer Science (Transfer)-070600,3,,,7,
,,Court Reporting-051430,,,2,,
,,Dental Assistant-124010,4,2,3,3,
,,Geology-191400,,,,1,
,,Graphic Art and Design-103000,,,,1,
,,Landscape Design and Maintenance-010910,1,,,,
,,Machining and Machine Tools-095630,,,1,1,
,,Multimedia-061410,1,1,1,4,
,,Real Estate-051100,3,,2,2,
,,Registered Nursing-123010,41,42,42,40,
,Associate of Arts (A.A.) degree                              Total,,133,110,138,176,
,,Art-100200,7,11,11,13,
,,Biological and Physical Sciences (and Mathematics)-490200,51,43,45,57,
,,Dance-100800,1,,,2,
,,Dramatic Arts-100700,2,,2,,
,,Film Production-061220,1,,,,
,,Film Studies-061200,,,,1,
,,French-110200,,1,1,,
,,Graphic Art and Design-103000,1,1,1,1,
,,Humanities-490300,5,1,5,9,
,,"Liberal Arts and Sciences, General-490100",58,47,63,78,
,,Mass Communications-061000,,1,,,
,,Music-100400,2,1,1,2,
,,Other Public and Protective Services-219900,,2,4,2,
,,Physical Education-083500,2,1,1,3,
,,Spanish-110500,3,1,4,8,
,Certificate requiring 60+ semester units                     Total,,2,6,3,6,
,,Automotive Technology-094800,2,5,3,6,
,,Court Reporting-051430,,1,,,
,Certificate requiring 30 to < 60 semester units              Total,,38,41,44,52,
,,Administrative Medical Assisting-120820,8,10,17,8,
,,Automotive Collision Repair-094900,,1,,2,
,,Automotive Technology-094800,2,6,4,6,
,,Child Development/Early Care and Education-130500,2,,2,3,
,,Court Reporting-051430,,1,7,6,
,,Dental Assistant-124010,22,19,13,19,
,,Machining and Machine Tools-095630,1,,,7,
,,Natural History-040800,3,4,1,1,
,Certificate requiring 16 to fewer than 30 semester units     Total,,27,32,32,37,
,,Accounting-050200,7,6,10,3,
,,Administration of Justice-210500,1,,,,
,,Automotive Collision Repair-094900,,2,,2,
,,Automotive Technology-094800,4,10,10,14,
,,"Business and Commerce, General-050100",3,3,2,5,
,,Clinical Medical Assisting-120810,4,2,1,2,
,,Computer Information Systems-070200,,1,2,,
,,Court Reporting-051430,,3,5,2,
,,Graphic Art and Design-103000,3,1,1,4,
,,Landscape Design and Maintenance-010910,1,1,,,
,,Medical Assisting-120800,2,1,,,
,,Multimedia-061410,1,,,1,
,,Real Estate-051100,1,2,1,2,
,,Welding Technology-095650,,,,2,
,Certificate requiring 8 to fewer than 16 semester units      Total,,,4,4,34,
,,Court Reporting-051430,,4,4,2,
,,Emergency Medical Services-125000,,,,28,
,,Truck and Bus Driving-094750,,,,4,
