,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Mendocino Total,,,569,555,411,409,491,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,48,43,32,54,45,
,,Administration of Justice-210500,5,8,10,9,9,
,,"Biology, General-040100",5,4,4,4,4,
,,Business Administration-050500,25,16,9,28,21,
,,"Chemistry, General-190500",,,1,,2,
,,Child Development/Early Care and Education-130500,2,3,4,5,3,
,,Computer Science (Transfer)-070600,4,3,1,2,1,
,,Geology-191400,,1,,,,
,,"Mathematics, General-170100",7,8,3,6,5,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,67,60,45,46,53,
,,Art-100200,4,3,,2,,
,,Dramatic Arts-100700,2,3,1,1,3,
,,Economics-220400,4,2,2,2,3,
,,English-150100,3,8,6,2,4,
,,"Fine Arts, General-100100",2,,,,,
,,History-220500,5,4,3,4,2,
,,Kinesiology-127000,,1,5,2,4,
,,Music-100400,,,1,1,2,
,,Political Science-220700,2,1,2,2,3,
,,"Psychology, General-200100",32,23,18,23,23,
,,Social Justice Studies-220130,,1,1,,,
,,Social Justice: Ethnic Studies-220150,,1,1,,,
,,Sociology-220800,4,6,3,3,2,
,,Spanish-110500,1,,,1,1,
,,Speech Communication-150600,8,7,2,3,6,
,Associate of Science (A.S.) degree                           Total,,225,244,203,200,228,
,,Accounting-050200,22,24,25,25,25,
,,Administration of Justice-210500,5,7,5,5,7,
,,Alcohol and Controlled Substances-210440,,,2,6,,
,,Automotive Technology-094800,2,1,4,2,,
,,"Biology, General-040100",1,2,2,1,,
,,Business Management-050600,40,34,32,29,27,
,,Child Development/Early Care and Education-130500,20,21,24,16,19,
,,Computer Information Systems-070200,,1,,1,,
,,Culinary Arts-130630,,1,,2,3,
,,Earth Science-193000,1,1,,,,
,,Fire Technology-213300,2,,,3,4,
,,"Health Professions, Transfer Core Curriculum-126000",92,97,63,58,74,
,,Horticulture-010900,2,1,4,2,5,
,,Human Services-210400,11,10,11,7,12,
,,"Information Technology, General-070100",1,1,1,,2,
,,Natural Resources-011500,1,1,,,,
,,Physical Therapist Assistant-122200,,16,3,15,18,
,,Real Estate-051100,2,2,4,4,10,
,,Registered Nursing-123010,23,24,23,24,22,
,Associate of Arts (A.A.) degree                              Total,,51,36,23,26,31,
,,Ceramics-100230,1,1,,,,
,,Commercial Music-100500,2,4,2,1,1,
,,Dance-100800,1,,,,,
,,Dramatic Arts-100700,1,1,,1,1,
,,Ethnic Studies-220300,,1,1,,,
,,"Liberal Arts and Sciences, General-490100",43,25,13,17,24,
,,Painting and Drawing-100210,,1,,2,,
,,"Psychology, General-200100",3,3,5,5,5,
,,Spanish-110500,,,2,,,
,Certificate requiring 30 to < 60 semester units              Total,,124,113,59,25,48,
,,"Agriculture Technology and Sciences, General-010100",1,,1,,,
,,Alcohol and Controlled Substances-210440,,2,,3,1,
,,Business Management-050600,1,,,,,
,,Ceramics-100230,,,1,2,,
,,Commercial Music-100500,1,2,,1,,
,,Construction Crafts Technology-095200,,,,,3,
,,Energy Systems Technology-094610,,1,,,2,
,,Human Services-210400,1,,,,1,
,,Mill and Cabinet Work-095250,,2,1,,23,
,,Retail Store Operations and Management-050650,1,2,,,,
,,Transfer Studies-490110,119,104,56,19,18,
,Certificate requiring 16 to fewer than 30 semester units     Total,,45,48,41,42,57,
,,Accounting-050200,10,16,9,8,13,
,,Administration of Justice-210500,1,1,1,,,
,,Automotive Technology-094800,3,7,10,1,8,
,,Business Management-050600,16,11,11,13,6,
,,Child Development/Early Care and Education-130500,7,3,7,8,11,
,,Digital Media-061400,,2,,,,
,,Fashion-130300,,,,1,1,
,,Human Services-210400,6,2,2,3,2,
,,Landscape Design and Maintenance-010910,,,,1,2,
,,Nursery Technology-010930,,,,1,3,
,,Office Technology/Office Computer Applications-051400,,1,1,1,,
,,Real Estate-051100,,2,,4,5,
,,Restaurant and Food Services and Management-130710,1,,,,4,
,,Small Business and Entrepreneurship-050640,,1,,,,
,,Software Applications-070210,1,,,,,
,,Technical Theater-100600,,1,,1,2,
,,Website Design and Development-061430,,1,,,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,5,6,,,,
,,Computer Networking-070810,1,,,,,
,,Digital Media-061400,,1,,,,
,,Small Business and Entrepreneurship-050640,4,5,,,,
,Certificate requiring 6 to < 18 semester units               Total,,,,7,10,9,
,,Computer Networking-070810,,,1,1,3,
,,Digital Media-061400,,,2,4,3,
,,Small Business and Entrepreneurship-050640,,,3,5,3,
,,Website Design and Development-061430,,,1,,,
,Noncredit award requiring from 192 to < 288 hours            Total,,4,4,1,3,1,
,,English as a Second Language - Integrated-493087,4,4,1,3,1,
,Noncredit award requiring from 144 to < 192 hours            Total,,,,,2,14,
,,English as a Second Language - Integrated-493087,,,,2,14,
,Noncredit award requiring from 96 to < 144 hours             Total,,,1,,1,5,
,,English as a Second Language - Listening and Speaking-493086,,,,,2,
,,"Information Technology, General-070100",,1,,1,,
,,Job Seeking/Changing Skills-493012,,,,,3,
