,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Merced Total,,,"2,749","2,719","3,013","3,103",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,322,281,323,366,
,,Administration of Justice-210500,64,52,51,65,
,,"Agriculture Business, Sales and Service-011200",9,11,17,11,
,,Animal Science-010200,,9,10,9,
,,"Biology, General-040100",15,14,20,18,
,,Business Administration-050500,99,100,107,151,
,,"Chemistry, General-190500",5,5,7,10,
,,Child Development/Early Care and Education-130500,45,34,36,35,
,,Computer Science (Transfer)-070600,30,23,23,15,
,,Geology-191400,,,1,,
,,"Mathematics, General-170100",29,18,27,24,
,,"Nutrition, Foods, and Culinary Arts-130600",5,2,4,2,
,,"Physics, General-190200",21,9,14,17,
,,Plant Science-010300,,4,6,9,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,498,465,536,563,
,,Anthropology-220200,2,10,4,4,
,,Art-100200,17,15,15,19,
,,Dramatic Arts-100700,4,5,10,,
,,Economics-220400,8,1,15,8,
,,English-150100,22,24,28,19,
,,Geography-220600,1,,3,,
,,History-220500,31,24,30,30,
,,Kinesiology-127000,25,27,32,31,
,,Liberal Studies-490120,50,45,47,38,
,,Music-100400,5,1,5,8,
,,Philosophy-150900,2,2,2,4,
,,Political Science-220700,3,7,8,14,
,,"Psychology, General-200100",214,196,227,248,
,,Social Justice: Ethnic Studies-220150,,,1,2,
,,Sociology-220800,93,92,81,115,
,,Spanish-110500,7,3,4,2,
,,Speech Communication-150600,14,13,24,21,
,Associate of Science (A.S.) degree                           Total,,131,141,173,180,
,,Agricultural Power Equipment Technology-011600,4,7,2,2,
,,"Agriculture Business, Sales and Service-011200",12,9,17,13,
,,"Agriculture Technology and Sciences, General-010100",3,1,6,5,
,,Animal Science-010200,9,3,14,8,
,,Automotive Technology-094800,6,4,10,5,
,,Computer Electronics-093410,,5,2,,
,,Computer Information Systems-070200,3,11,19,28,
,,Culinary Arts-130630,1,2,1,2,
,,Electrical-095220,1,6,8,5,
,,"Engineering Technology, General (requires Trigonometry)-092400",2,2,2,3,
,,"Engineering, General (requires Calculus) (Transfer)-090100",4,6,5,9,
,,Environmental Control Technology-094600,,1,2,,
,,Equine Science-010240,,,1,3,
,,Fire Technology-213300,8,2,5,5,
,,Horticulture-010900,2,5,1,2,
,,Instrumentation Technology-094300,,,,1,
,,Marketing and Distribution-050900,7,5,4,2,
,,Mechanical Drafting-095340,2,,,,
,,Paramedic-125100,,,,7,
,,Plant Science-010300,,4,6,9,
,,Radiologic Technology-122500,12,11,15,14,
,,Registered Nursing-123010,53,54,49,51,
,,Small Business and Entrepreneurship-050640,2,3,4,6,
,Associate of Arts (A.A.) degree                              Total,,664,629,636,534,
,,Accounting-050200,9,17,25,23,
,,Administration of Justice-210500,19,20,10,23,
,,"Agriculture Technology and Sciences, General-010100",3,5,10,1,
,,Alcohol and Controlled Substances-210440,1,,,,
,,Art-100200,2,11,6,1,
,,"Business and Commerce, General-050100",13,28,25,17,
,,Child Development/Early Care and Education-130500,48,31,38,31,
,,Computer Electronics-093410,7,3,3,,
,,Culinary Arts-130630,3,2,,,
,,Digital Media-061400,2,7,5,8,
,,Dramatic Arts-100700,,1,1,,
,,Electrical-095220,2,1,1,,
,,Electronics and Electric Technology-093400,2,1,,,
,,Environmental Control Technology-094600,4,1,3,3,
,,French-110200,,,,1,
,,"Health Professions, Transfer Core Curriculum-126000",61,74,99,79,
,,History-220500,,1,,,
,,Horticulture-010900,,1,,,
,,Human Services-210400,8,2,2,5,
,,Industrial Systems Technology and Maintenance-094500,1,,1,,
,,International Studies-221000,1,,,,
