,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Merritt Total,,,775,758,792,801,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,46,38,36,31,
,,Administration of Justice-210500,20,14,18,11,
,,Business Administration-050500,18,12,10,11,
,,Child Development/Early Care and Education-130500,5,11,5,5,
,,"Mathematics, General-170100",2,1,2,4,
,,"Nutrition, Foods, and Culinary Arts-130600",1,,1,,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,52,29,37,32,
,,Anthropology-220200,2,2,1,1,
,,Economics-220400,,,,1,
,,"Psychology, General-200100",28,18,23,20,
,,Sociology-220800,12,6,4,10,
,,Speech Communication-150600,10,3,9,,
,Associate of Science (A.S.) degree                           Total,,240,209,210,203,
,,Biological and Physical Sciences (and Mathematics)-490200,27,34,33,34,
,,Computer Information Systems-070200,9,14,9,5,
,,Dietetic Technology-130660,1,5,1,2,
,,Fire Technology-213300,5,4,4,1,
,,"Health Professions, Transfer Core Curriculum-126000",131,131,113,120,
,,Horticulture-010900,1,,,6,
,,Landscape Design and Maintenance-010910,2,2,8,8,
,,"Mathematics, General-170100",8,3,6,12,
,,Nursery Technology-010930,,,,1,
,,Radiologic Technology-122500,15,,15,10,
,,Registered Nursing-123010,41,16,21,4,
,Associate of Arts (A.A.) degree                              Total,,191,199,189,178,
,,Accounting-050200,17,12,8,14,
,,Administration of Justice-210500,3,3,3,1,
,,Alcohol and Controlled Substances-210440,3,8,2,3,
,,Business Administration-050500,21,16,10,16,
,,"Business and Commerce, General-050100",6,1,3,,
,,Child Development/Early Care and Education-130500,26,34,38,34,
,,Corrections-210510,2,4,1,1,
,,Economics-220400,14,7,5,6,
,,Ethnic Studies-220300,4,5,7,2,
,,Humanities and Fine Arts-490310,1,,,1,
,,Landscape Design and Maintenance-010910,8,14,15,19,
,,Office Technology/Office Computer Applications-051400,2,,,,
,,Paralegal-140200,9,12,20,22,
,,Real Estate-051100,15,7,9,1,
,,"Social Sciences, General-220100",60,76,68,58,
,Certificate requiring 60+ semester units                     Total,,16,,14,10,
,,Radiologic Technology-122500,16,,14,10,
,Certificate requiring 30 to < 60 semester units              Total,,142,121,144,130,
,,Administration of Justice-210500,2,3,2,1,
,,Alcohol and Controlled Substances-210440,4,5,3,3,
,,Child Development/Early Care and Education-130500,26,28,25,28,
,,Computer Information Systems-070200,7,,,,
,,Corrections-210510,3,4,1,1,
,,Horticulture-010900,,,,3,
,,Landscape Design and Maintenance-010910,3,2,3,6,
,,Medical Laboratory Technology-120500,,,17,11,
,,Nursery Technology-010930,,1,2,1,
,,Transfer Studies-490110,97,78,91,76,
,Certificate requiring 16 to fewer than 30 semester units     Total,,78,111,100,135,
,,Accounting-050200,2,1,1,6,
,,Administrative Medical Assisting-120820,,,3,6,
,,Business Management-050600,,,1,,
,,Clinical Medical Assisting-120810,9,17,14,32,
,,Community Health Care Worker-126100,,5,,,
,,Computer Information Systems-070200,6,25,14,14,
,,Dietetic Services and Management-130620,7,7,1,4,
,,"Fine Arts, General-100100",,1,,,
,,Fire Technology-213300,5,4,3,3,
,,Horticulture-010900,2,2,5,5,
,,Human Services-210400,,1,,,
,,Industrial and Transportation Security-210530,,,1,,
,,Landscape Design and Maintenance-010910,11,14,7,15,
,,Natural Resources-011500,4,3,12,10,
,,Office Technology/Office Computer Applications-051400,1,,,,
,,Other Agriculture and Natural Resources-019900,1,,,,
,,Paralegal-140200,15,20,27,32,
,,Real Estate-051100,15,11,11,8,
,Certificate requiring 8 to fewer than 16 semester units      Total,,,13,33,30,
,,Biotechnology and Biomedical Technology-043000,,13,33,28,
,,Horticulture-010900,,,,2,
,Noncredit award requiring from 288 to < 480 hours            Total,,,16,,,
,,English as a Second Language - Integrated-493087,,16,,,
,Noncredit award requiring from 48 to < 96 hours              Total,,10,,,,
,,Infants and Toddlers-130590,9,,,,
,,Preshool Age Children-130540,1,,,,
,Noncredit award requiring < 48 hours                         Total,,,22,29,52,
,,"Information Technology, General-070100",,1,,,
,,Study Skills-493014,,21,29,52,
