,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
MiraCosta Total,,,"3,333","3,210","4,362","3,701",
,Baccalaureate of Science (B.S.) degree                       Total,,23,19,17,22,
,,Biotechnology and Biomedical Technology-043000,23,19,17,22,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,256,262,352,347,
,,Administration of Justice-210500,28,19,43,32,
,,"Biology, General-040100",33,16,23,32,
,,Business Administration-050500,154,160,208,191,
,,Child Development/Early Care and Education-130500,5,7,6,5,
,,Computer Science (Transfer)-070600,19,21,26,30,
,,"Health Occupations, General-120100",4,3,1,8,
,,Hospitality-130700,,1,3,1,
,,"Mathematics, General-170100",1,19,27,31,
,,"Nutrition, Foods, and Culinary Arts-130600",4,5,2,,
,,Television (including combined TV/Film/Video)-060420,8,11,13,17,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,289,261,323,338,
,,Anthropology-220200,4,4,9,13,
,,Art-100200,18,17,23,20,
,,Child and Adolescent Development-130510,29,32,20,21,
,,Dramatic Arts-100700,5,5,6,6,
,,English-150100,23,14,21,14,
,,"Fine Arts, General-100100",1,3,4,5,
,,History-220500,27,11,19,19,
,,Human Services-210400,,,10,17,
,,"Law, General-140100",1,2,4,6,
,,Political Science-220700,8,12,12,18,
,,"Psychology, General-200100",111,110,121,117,
,,Social Justice: Chicano Studies-220160,1,,1,1,
,,Social Justice: Gender Studies-220170,,1,,,
,,Sociology-220800,50,38,56,47,
,,Spanish-110500,11,12,10,3,
,,Speech Communication-150600,,,7,31,
,Associate of Science (A.S.) degree                           Total,,89,93,109,116,
,,Biotechnology and Biomedical Technology-043000,15,12,16,11,
,,Computer Information Systems-070200,3,4,1,1,
,,Computer Infrastructure and Support-070800,10,13,21,25,
,,Computer Support-070820,2,1,,2,
,,Drafting Technology-095300,2,1,,,
,,E-Commerce (Technology emphasis)-070910,2,1,,,
,,"Engineering Technology, General (requires Trigonometry)-092400",,,,2,
,,Horticulture-010900,3,1,2,2,
,,"Information Technology, General-070100",7,8,7,10,
,,Office Technology/Office Computer Applications-051400,1,,,,
,,Registered Nursing-123010,43,50,62,60,
,,Software Applications-070210,,2,,1,
,,"Viticulture, Enology, and Wine Business-010400",1,,,2,
,Associate of Arts (A.A.) degree                              Total,,"1,119","1,030","1,149",954,
,,Accounting-050200,42,30,25,33,
,,Administration of Justice-210500,3,3,6,5,
,,Administrative Medical Assisting-120820,23,23,25,21,
,,Applied Photography-101200,3,2,2,4,
,,Architecture and Architectural Technology-020100,2,5,6,7,
,,Automotive Technology-094800,10,8,8,7,
