,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Mission Total,,,"1,835","1,603","2,052","1,687",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,162,154,163,135,
,,Administration of Justice-210500,18,9,12,8,
,,"Biology, General-040100",10,7,11,14,
,,Business Administration-050500,83,97,87,68,
,,Child Development/Early Care and Education-130500,21,12,15,13,
,,"Health Occupations, General-120100",,,1,5,
,,"Mathematics, General-170100",17,21,22,9,
,,"Nutrition, Foods, and Culinary Arts-130600",4,2,4,9,
,,"Physics, General-190200",9,6,11,9,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,203,177,185,194,
,,Anthropology-220200,,,2,4,
,,Art-100200,5,5,2,6,
,,Economics-220400,31,43,48,51,
,,English-150100,11,5,5,5,
,,"Fine Arts, General-100100",3,,1,4,
,,History-220500,8,6,5,7,
,,Kinesiology-127000,14,8,6,11,
,,Political Science-220700,6,5,3,3,
,,"Psychology, General-200100",66,56,53,57,
,,Social Justice Studies-220130,1,4,5,3,
,,Sociology-220800,38,23,33,27,
,,Spanish-110500,4,3,3,5,
,,Speech Communication-150600,16,19,19,11,
,Associate of Science (A.S.) degree                           Total,,288,297,315,306,
,,Accounting-050200,14,12,16,9,
,,"Biology, General-040100",81,62,91,91,
,,Business Management-050600,7,13,8,13,
,,Child Development/Early Care and Education-130500,11,15,7,7,
,,Computer Information Systems-070200,23,27,37,33,
,,Computer Networking-070810,22,25,17,21,
,,Culinary Arts-130630,,4,1,5,
,,Electro-Mechanical Technology-093500,,2,1,6,
,,"Engineering, General (requires Calculus) (Transfer)-090100",14,15,15,7,
,,Fire Technology-213300,40,41,24,22,
,,Graphic Art and Design-103000,12,11,14,8,
,,Hospitality-130700,11,8,7,3,
,,Licensed Vocational Nursing-123020,20,24,38,37,
,,"Mathematics, General-170100",1,5,9,5,
,,Office Technology/Office Computer Applications-051400,2,4,1,2,
,,Psychiatric Technician-123900,2,1,,,
,,Registered Nursing-123010,27,28,27,30,
,,Restaurant and Food Services and Management-130710,1,,2,7,
,Associate of Arts (A.A.) degree                              Total,,363,322,411,383,
,,Art-100200,5,1,6,4,
,,Biological and Physical Sciences (and Mathematics)-490200,149,146,165,166,
,,"Fine Arts, General-100100",1,1,,1,
,,Humanities and Fine Arts-490310,68,56,85,80,
,,Humanities-490300,4,2,4,6,
,,"Liberal Arts and Sciences, General-490100",136,116,151,126,
,Certificate requiring 30 to < 60 semester units              Total,,594,411,457,373,
,,Alternative Fuels and Advanced Transportation Technology-094840,4,,,,
,,Child Development/Early Care and Education-130500,15,13,8,3,
,,Culinary Arts-130630,,3,4,3,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,2,1,1,
,,Graphic Art and Design-103000,11,4,7,4,
,,Licensed Vocational Nursing-123020,4,17,26,19,
,,Psychiatric Technician-123900,1,,,1,
,,Restaurant and Food Services and Management-130710,6,3,8,8,
,,Transfer Studies-490110,553,369,403,334,
,Certificate requiring 16 to fewer than 30 semester units     Total,,168,169,431,161,
,,Accounting-050200,14,5,29,17,
,,Alternative Fuels and Advanced Transportation Technology-094840,13,,143,1,
,,"Business and Commerce, General-050100",,3,,2,
,,Business Management-050600,21,21,29,9,
,,Child Development/Early Care and Education-130500,31,30,37,19,
,,Children with Special Needs-130520,3,,1,,
,,Computer Graphics and Digital Imagery-061460,,,,1,
,,Computer Information Systems-070200,25,34,62,32,
,,Computer Networking-070810,20,31,48,25,
,,Computer Systems Analysis-070730,31,27,44,12,
,,Digital Media-061400,,,,2,
,,Electro-Mechanical Technology-093500,,2,1,4,
,,Fire Academy-213350,,1,18,2,
,,Music-100400,,1,1,,
,,Office Technology/Office Computer Applications-051400,2,6,2,2,
,,Other Health Occupations-129900,,,,19,
,,Other Information Technology-079900,,,,1,
,,Restaurant and Food Services and Management-130710,2,,,,
,,Spanish-110500,,,,3,
,,Website Design and Development-061430,2,6,8,7,
,,World Wide Web Administration-070900,4,2,8,3,
,Certificate requiring 8 to fewer than 16 semester units      Total,,12,13,20,22,
,,Art-100200,1,4,2,1,
,,Computer Graphics and Digital Imagery-061460,2,1,,,
,,Computer Networking-070810,6,1,,,
,,Restaurant and Food Services and Management-130710,3,7,7,1,
,,Speech Communication-150600,,,11,20,
,Noncredit award requiring from 192 to < 288 hours            Total,,1,24,26,64,
,,English as a Second Language - Integrated-493087,1,24,26,64,
,Noncredit award requiring from 144 to < 192 hours            Total,,14,16,26,25,
,,Community Health Care Worker-126100,8,,,,
,,English as a Second Language - Integrated-493087,6,14,22,13,
,,Vocational ESL-493100,,2,4,12,
,Noncredit award requiring from 96 to < 144 hours             Total,,30,18,16,24,
,,English as a Second Language - Integrated-493087,30,18,16,24,
,Noncredit award requiring from 48 to < 96 hours              Total,,,2,2,,
,,English as a Second Language - Integrated-493087,,2,2,,
