,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Monterey Total,,,"1,415","1,197","1,309","1,663","1,696",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,179,155,149,191,176,
,,Administration of Justice-210500,25,26,16,21,18,
,,"Biology, General-040100",17,9,14,11,10,
,,Business Administration-050500,85,66,80,95,81,
,,"Chemistry, General-190500",7,5,5,9,,
,,Child Development/Early Care and Education-130500,10,10,6,9,13,
,,Computer Science (Transfer)-070600,2,5,7,2,10,
,,Geology-191400,,,1,1,,
,,Hospitality-130700,,,,1,1,
,,"Mathematics, General-170100",16,21,12,25,26,
,,"Nutrition, Foods, and Culinary Arts-130600",1,1,4,1,,
,,"Physics, General-190200",16,12,4,16,17,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,207,157,171,212,152,
,,Anthropology-220200,4,5,5,6,6,
,,Art-100200,,4,,1,6,
,,Dramatic Arts-100700,,1,1,1,3,
,,Economics-220400,20,13,20,14,,
,,English-150100,11,8,7,17,9,
,,"Fine Arts, General-100100",1,3,,,,
,,"Gay, Lesbian, Bisexual and Transgender Studies-220140",,,,,1,
,,Global Studies-221020,1,,2,,,
,,History-220500,11,14,12,11,10,
,,Kinesiology-127000,18,19,20,16,16,
,,"Law, General-140100",,,,,2,
,,Liberal Studies-490120,8,9,10,6,5,
,,Music-100400,,,2,2,,
,,Philosophy-150900,1,1,,1,1,
,,Political Science-220700,7,10,4,6,7,
,,"Psychology, General-200100",74,47,75,83,62,
,,Social Justice: Ethnic Studies-220150,3,,,2,1,
,,Social Justice: Gender Studies-220170,2,,,2,1,
,,Sociology-220800,25,6,9,14,6,
,,Spanish-110500,5,7,3,8,2,
,,Speech Communication-150600,16,10,1,22,14,
,Associate of Science (A.S.) degree                           Total,,158,182,219,265,264,
,,Accounting-050200,4,4,9,9,12,
,,Administration of Justice-210500,7,,7,7,7,
,,Astronomy-191100,12,4,1,2,,
,,Automotive Technology-094800,6,2,5,5,9,
,,Biological and Physical Sciences (and Mathematics)-490200,,50,52,60,61,
,,"Biology, General-040100",16,8,9,11,7,
,,Business Administration-050500,5,5,11,13,8,
,,"Chemistry, General-190500",7,3,1,4,,
,,Child Development/Early Care and Education-130500,15,9,9,9,11,
,,Computer Information Systems-070200,3,2,3,,1,
,,Computer Networking-070810,2,3,5,4,6,
,,Dental Assistant-124010,5,6,10,8,7,
,,"Engineering, General (requires Calculus) (Transfer)-090100",8,5,4,10,12,
,,Environmental Science-030100,,,,1,1,
,,Fashion-130300,1,2,1,1,1,
,,Fire Technology-213300,6,7,2,7,5,
,,Fitness Trainer-083520,2,,2,1,2,
,,Graphic Art and Design-103000,,,,,2,
,,Health Information Coding-122310,6,4,7,15,11,
,,"Health Professions, Transfer Core Curriculum-126000",1,23,23,30,42,
,,Horticulture-010900,,2,1,2,3,
,,Hospitality-130700,3,,4,,,
,,Human Services-210400,1,,,,,
,,Massage Therapy-126200,,3,1,1,,
,,Medical Assisting-120800,7,11,13,13,13,
,,Medical Office Technology-051420,5,1,5,7,3,
,,Office Technology/Office Computer Applications-051400,,1,,,1,
,,Paramedic-125100,,,,,3,
,,Real Estate-051100,1,,,6,1,
,,Registered Nursing-123010,30,27,32,36,34,
,,Restaurant and Food Services and Management-130710,5,,2,3,1,
,Associate of Arts (A.A.) degree                              Total,,338,215,253,360,359,
,,Applied Design-100900,1,,,,,
,,Art-100200,,1,,,,
,,Astronomy-191100,4,,,,,
,,Biological and Physical Sciences (and Mathematics)-490200,65,,,,3,
,,"Biology, General-040100",8,,,,1,
,,Business Administration-050500,1,4,3,1,1,
,,Ceramics-100230,,,,1,2,
,,"Chemistry, General-190500",1,,,,1,
,,Creative Writing-150700,,4,7,5,1,
,,Dramatic Arts-100700,1,1,,,1,
,,Economics-220400,3,1,3,1,12,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,,,,1,
,,Ethnic Studies-220300,2,,,1,2,
,,"Family and Consumer Sciences, General-130100",,,16,,,
,,"Fine Arts, General-100100",,,,,2,
,,"Foreign Languages, General-110100",2,,,,,
,,French-110200,,1,,,,
,,Graphic Art and Design-103000,7,3,3,6,,
,,"Health Professions, Transfer Core Curriculum-126000",17,1,1,,2,
,,Hospitality-130700,,,,1,,
,,Humanities and Fine Arts-490310,33,49,44,57,47,
,,Jewelry-100910,1,3,,,,
,,Kinesiology-127000,,,,,2,
,,"Liberal Arts and Sciences, General-490100",181,136,162,265,239,
,,Linguistics-150110,6,2,6,9,9,
,,Music-100400,1,,,1,,
,,Other Fine and Applied Arts-109900,1,,,,,
,,Other Library Science-169900,,1,,,,
,,Painting and Drawing-100210,,,,,2,
,,Philosophy-150900,,,,,1,
,,Photography-101100,1,5,1,1,3,
,,Political Science-220700,,1,,,,
,,"Psychology, General-200100",,,,,16,
,,Sculpture-100220,1,,1,,,
,,Sign Language-085000,,1,4,1,3,
,,Spanish-110500,,,1,7,5,
,,Transfer Studies-490110,,,,,2,
,,Women's Studies-220110,1,1,1,3,1,
,Certificate requiring 60+ semester units                     Total,,,,4,,,
,,"Business and Commerce, General-050100",,,4,,,
,Certificate requiring 30 to < 60 semester units              Total,,179,165,170,266,246,
,,Accounting-050200,,,,,2,
,,Automotive Technology-094800,3,3,8,14,11,
,,Business Administration-050500,,,,2,,
,,"Business and Commerce, General-050100",,1,,1,,
,,Child Development/Early Care and Education-130500,15,12,6,8,13,
,,Computer Networking-070810,,,,2,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,3,,1,,
,,Graphic Art and Design-103000,1,2,2,3,3,
,,Health Information Coding-122310,,,3,12,4,
,,Massage Therapy-126200,,2,,,,
,,Medical Assisting-120800,8,9,12,14,14,
,,Medical Office Technology-051420,,,,,1,
,,Paramedic-125100,,,,,7,
,,Spanish-110500,,,,,1,
,,Transfer Studies-490110,152,133,139,209,190,
,Certificate requiring 16 to fewer than 30 semester units     Total,,313,212,181,221,290,
,,Accounting-050200,2,1,4,6,,
,,Administration of Justice-210500,143,120,84,102,199,
,,Art-100200,1,,1,,,
,,Automotive Technology-094800,2,6,5,13,4,
,,"Business and Commerce, General-050100",,,,1,,
,,Ceramics-100230,,,,1,3,
,,Community Health Care Worker-126100,1,,,,1,
,,Computer Networking-070810,1,,,,1,
,,Computer Science (Transfer)-070600,1,1,2,1,1,
,,Computer Support-070820,,,,2,1,
,,Dental Assistant-124010,23,13,12,5,7,
,,Dramatic Arts-100700,,1,,,1,
,,Emergency Medical Services-125000,64,,,,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",1,1,1,2,2,
,,Fire Academy-213350,34,30,31,37,42,
,,Fire Technology-213300,,,4,6,5,
,,Fitness Trainer-083520,2,,1,,,
,,Health Information Coding-122310,,4,,,,
,,Horticulture-010900,1,1,2,1,2,
,,Humanities-490300,1,,,2,,
,,Jewelry-100910,4,4,,,,
,,Linguistics-150110,5,3,4,6,2,
,,Massage Therapy-126200,1,,,1,,
,,Medical Office Technology-051420,1,1,1,3,,
,,Music-100400,1,,1,,,
,,Office Technology/Office Computer Applications-051400,1,1,,,,
,,Painting and Drawing-100210,,,2,,1,
,,Photography-101100,1,2,,1,,
,,Physical Education-083500,1,2,2,3,2,
,,Reading-152000,5,4,2,1,,
,,Real Estate-051100,,2,7,9,,
,,Restaurant and Food Services and Management-130710,6,4,6,6,9,
,,Sign Language-085000,3,3,3,3,2,
,,Social Justice: Chicano Studies-220160,,1,,1,,
,,Spanish-110500,6,7,5,7,5,
,,Speech Communication-150600,1,,1,1,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,39,108,157,143,163,
,,Accounting-050200,1,3,7,7,9,
,,Administration of Justice-210500,,2,,,,
,,Business Administration-050500,3,6,,,,
,,Business Management-050600,2,5,3,4,3,
,,Computer Networking-070810,1,9,17,3,4,
,,Computer Support-070820,,2,3,,,
,,Computer Systems Analysis-070730,,,3,2,1,
,,Corrections-210510,,3,,1,1,
,,Creative Writing-150700,7,1,4,3,1,
,,Culinary Arts-130630,3,3,10,7,6,
,,Dietetic Services and Management-130620,,,,1,1,
,,Educational Aide (Teacher Assistant)-080200,13,14,6,12,12,
,,Emergency Medical Services-125000,,47,78,82,86,
,,Fashion-130300,1,1,2,1,3,
,,Fire Technology-213300,,,1,,,
,,Fitness Trainer-083520,1,,3,2,2,
,,"Health Professions, Transfer Core Curriculum-126000",1,,,3,4,
,,Horticulture-010900,,4,7,3,13,
,,Japanese-110800,,6,3,5,3,
,,Marketing and Distribution-050900,,,2,2,,
,,"Nutrition, Foods, and Culinary Arts-130600",4,,3,3,5,
,,Office Technology/Office Computer Applications-051400,1,,2,,,
,,Real Estate-051100,,,,,6,
,,Small Business and Entrepreneurship-050640,1,2,3,2,1,
,,Social Justice Studies-220130,,,,,1,
,,Social Justice: African American Studies-220180,,,,,1,
,"Other Credit Award, < 6 semester units                       Total",,,,1,,,
,,English as a Second Language - Integrated-493087,,,1,,,
,Noncredit award requiring from 480 to < 960 hours            Total,,,1,1,3,,
,,English as a Second Language - Integrated-493087,,1,1,3,,
,Noncredit award requiring from 288 to < 480 hours            Total,,2,2,3,2,,
,,English as a Second Language - Integrated-493087,2,2,3,2,,
,Noncredit award requiring from 192 to < 288 hours            Total,,,,,,9,
,,Emergency Medical Services-125000,,,,,3,
,,English as a Second Language - Integrated-493087,,,,,6,
,Noncredit award requiring from 144 to < 192 hours            Total,,,,,,37,
,,English as a Second Language - Integrated-493087,,,,,37,
