,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Moorpark Total,,,"5,344","5,101","4,925","5,601","6,260",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,580,577,466,529,602,
,,Administration of Justice-210500,72,54,46,38,42,
,,"Biology, General-040100",42,53,42,34,41,
,,Business Administration-050500,215,253,161,223,260,
,,"Chemistry, General-190500",4,2,4,3,4,
,,Child Development/Early Care and Education-130500,27,34,10,15,22,
,,Computer Science (Transfer)-070600,23,28,42,45,46,
,,Environmental Science-030100,,2,4,8,7,
,,Geology-191400,,4,1,1,,
,,Hospitality-130700,,4,7,8,13,
,,"Mathematics, General-170100",74,54,55,68,66,
,,"Nutrition, Foods, and Culinary Arts-130600",11,4,7,4,11,
,,"Physics, General-190200",68,49,43,46,49,
,,Television (including combined TV/Film/Video)-060420,44,36,44,36,41,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,809,807,703,814,929,
,,Anthropology-220200,23,18,21,21,20,
,,Art-100200,28,24,28,32,31,
,,Child and Adolescent Development-130510,75,65,35,83,87,
,,Dramatic Arts-100700,18,11,17,17,21,
,,Economics-220400,123,157,162,177,219,
,,English-150100,26,28,18,17,27,
,,"Fine Arts, General-100100",7,10,12,17,10,
,,Geography-220600,2,1,,4,5,
,,History-220500,26,31,28,28,22,
,,Human Services-210400,,,,,1,
,,Journalism-060200,19,17,9,5,18,
,,Kinesiology-127000,47,47,41,38,41,
,,"Law, General-140100",5,5,6,9,13,
,,Liberal Studies-490120,18,19,18,14,20,
,,Music-100400,11,13,9,3,12,
,,Philosophy-150900,11,7,6,14,12,
,,Political Science-220700,25,28,23,36,30,
,,"Psychology, General-200100",188,188,170,188,227,
,,Social Justice Studies-220130,,2,2,2,,
,,Sociology-220800,84,68,47,50,40,
,,Spanish-110500,1,3,1,1,2,
,,Speech Communication-150600,72,65,50,58,71,
