,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Napa Total,,,"1,228","1,005",933,884,816,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,127,106,109,123,118,
,,Administration of Justice-210500,25,15,14,10,12,
,,Business Administration-050500,51,41,52,58,53,
,,Child Development/Early Care and Education-130500,4,6,7,6,6,
,,Computer Science (Transfer)-070600,,4,1,9,5,
,,Environmental Science-030100,,,,,1,
,,Hospitality-130700,1,1,1,2,4,
,,"Mathematics, General-170100",22,19,18,23,21,
,,"Physics, General-190200",24,20,15,15,13,
,,Television (including combined TV/Film/Video)-060420,,,1,,3,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,149,130,93,107,90,
,,Anthropology-220200,5,1,,4,5,
,,Art-100200,10,9,6,2,11,
,,Dramatic Arts-100700,2,3,,1,2,
,,Economics-220400,,,,,3,
,,English-150100,8,4,7,6,2,
,,"Fine Arts, General-100100",3,1,3,2,2,
,,History-220500,10,9,5,1,2,
,,Human Services-210400,,,,1,1,
,,Kinesiology-127000,6,2,4,7,6,
,,Liberal Studies-490120,2,2,,5,,
,,Music-100400,1,3,,1,,
,,Political Science-220700,15,8,9,7,10,
,,"Psychology, General-200100",38,33,30,32,20,
,,Social Justice Studies-220130,5,5,1,2,3,
,,Sociology-220800,27,24,17,23,12,
,,Spanish-110500,3,2,1,1,1,
,,Speech Communication-150600,14,24,10,12,10,
,Associate of Science (A.S.) degree                           Total,,387,304,277,234,201,
,,Accounting-050200,13,13,13,6,11,
,,Administration of Justice-210500,16,20,9,6,8,
,,Biological and Physical Sciences (and Mathematics)-490200,129,78,49,27,28,
,,"Biology, General-040100",82,60,76,73,50,
,,Business Administration-050500,,,,14,11,
,,"Business and Commerce, General-050100",8,13,18,,,
,,Child Development/Early Care and Education-130500,9,6,6,3,2,
,,Computer Information Systems-070200,,3,,,,
,,Drafting Technology-095300,6,5,1,2,3,
,,Hospitality-130700,,1,,,,
,,Human Services-210400,10,12,12,10,5,
,,Licensed Vocational Nursing-123020,1,1,,,,
,,Machining and Machine Tools-095630,4,2,3,4,1,
,,Other Social Sciences-229900,2,2,,1,1,
,,Paramedic-125100,4,4,4,3,1,
,,Photography-101100,2,1,2,,,
,,Psychiatric Technician-123900,12,20,12,3,3,
,,Registered Nursing-123010,42,30,46,35,46,
,,Respiratory Care/Therapy-121000,24,20,16,18,21,
,,Small Business and Entrepreneurship-050640,1,2,3,5,4,
,,"Viticulture, Enology, and Wine Business-010400",18,10,5,18,3,
,,Welding Technology-095650,4,1,2,6,3,
,Associate of Arts (A.A.) degree                              Total,,69,72,79,79,67,
,,Art-100200,,,,2,4,
,,Culinary Arts-130630,,,,3,3,
,,Dance-100800,4,,1,,1,
,,Dramatic Arts-100700,1,,,4,1,
,,Ethnic Studies-220300,1,2,,,,
,,"Fine Arts, General-100100",,1,2,4,3,
,,Graphic Art and Design-103000,9,10,13,10,20,
,,Humanities-490300,2,1,,,,
,,Music-100400,1,1,,,2,
,,"Psychology, General-200100",18,26,32,20,13,
,,"Social Sciences, General-220100",,1,,,,
,,Spanish-110500,3,5,6,7,4,
,,Transfer Studies-490110,30,25,25,29,16,
,Certificate requiring 30 to < 60 semester units              Total,,458,378,342,308,295,
,,Accounting-050200,8,3,,,,
,,Alcohol and Controlled Substances-210440,4,2,9,,4,
,,Computer Information Systems-070200,,1,,,,
,,Drafting Technology-095300,,1,,,3,
,,Family Studies-130800,5,1,3,,,
,,Licensed Vocational Nursing-123020,15,,13,,14,
,,Machining and Machine Tools-095630,1,,3,1,1,
,,Psychiatric Technician-123900,40,19,28,14,12,
,,Software Applications-070210,,1,,,,
,,Transfer Studies-490110,379,344,283,291,260,
,,"Viticulture, Enology, and Wine Business-010400",6,5,2,,1,
,,Welding Technology-095650,,1,1,2,,
,Certificate requiring 16 to fewer than 30 semester units     Total,,27,1,15,18,22,
,,Accounting-050200,,,7,7,14,
,,Administration of Justice-210500,21,,3,1,1,
,,Children with Special Needs-130520,,,,,1,
,,Culinary Arts-130630,,,,2,1,
,,Human Services-210400,5,1,1,,2,
,,Police Academy-210550,1,,,,,
,,"Viticulture, Enology, and Wine Business-010400",,,2,4,1,
,,Welding Technology-095650,,,2,4,2,
,Certificate requiring 6 to < 18 semester units               Total,,11,14,18,15,23,
,,Administration of Justice-210500,,,,,1,
,,Architectural Drafting-095310,,,,,4,
,,Child Development/Early Care and Education-130500,,,1,,,
,,Educational Aide (Teacher Assistant)-080200,5,8,8,6,4,
,,Family Studies-130800,3,4,3,,,
,,Hospitality-130700,1,2,,,2,
,,Industrial and Occupational Safety and Health-095670,,,4,6,4,
,,Marketing and Distribution-050900,,,,1,1,
,,Mechanical Drafting-095340,,,,1,5,
,,Restaurant and Food Services and Management-130710,,,2,,,
,,Small Business and Entrepreneurship-050640,2,,,1,2,
