,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Ohlone Total,,,"1,914","1,678","1,793","1,731",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,184,171,227,197,
,,Administration of Justice-210500,11,14,26,17,
,,"Biology, General-040100",7,2,4,7,
,,Business Administration-050500,78,83,84,92,
,,Child Development/Early Care and Education-130500,4,2,3,5,
,,Computer Science (Transfer)-070600,33,22,37,19,
,,"Health Occupations, General-120100",,1,2,,
,,"Mathematics, General-170100",40,34,51,39,
,,"Physics, General-190200",6,4,5,6,
,,Television (including combined TV/Film/Video)-060420,5,9,15,12,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,196,205,191,207,
,,Anthropology-220200,2,3,3,1,
,,Art-100200,1,5,,3,
,,Dramatic Arts-100700,5,6,4,3,
,,Economics-220400,56,52,42,50,
,,English-150100,12,7,3,7,
,,"Fine Arts, General-100100",,1,1,2,
,,Geography-220600,,1,2,,
,,Global Studies-221020,,1,,1,
,,History-220500,6,8,6,10,
,,Kinesiology-127000,8,12,16,14,
,,Music-100400,2,2,2,1,
,,Philosophy-150900,1,1,3,1,
,,Political Science-220700,14,11,6,12,
,,"Psychology, General-200100",57,48,59,57,
,,Social Justice Studies-220130,3,,2,3,
,,Sociology-220800,19,28,21,32,
,,Spanish-110500,,1,,,
,,Speech Communication-150600,10,18,21,10,
,Associate of Science (A.S.) degree                           Total,,111,94,92,85,
,,"Biology, General-040100",5,6,6,7,
,,Biotechnology and Biomedical Technology-043000,1,4,1,1,
,,"Chemistry, General-190500",2,1,,,
,,Computer Networking-070810,1,6,2,1,
,,Computer Programming-070710,1,2,2,,
,,Computer Science (Transfer)-070600,,1,,,
,,Computer Support-070820,1,1,,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",5,3,1,,
,,"Health Professions, Transfer Core Curriculum-126000",,,,16,
,,"Information Technology, General-070100",5,5,6,3,
,,Manufacturing and Industrial Technology-095600,1,,1,,
,,Physical Therapist Assistant-122200,18,20,21,17,
,,"Physics, General-190200",4,,4,3,
,,Registered Nursing-123010,51,32,30,25,
,,Respiratory Care/Therapy-121000,16,13,18,12,
,Associate of Arts (A.A.) degree                              Total,,817,757,704,745,
,,Administration of Justice-210500,,,,1,
,,Animation-061440,,3,,4,
,,Art-100200,5,9,6,8,
,,Biological and Physical Sciences (and Mathematics)-490200,75,64,81,46,
,,Business Administration-050500,,1,,,
,,"Business and Commerce, General-050100",108,116,119,141,
,,Child Development/Early Care and Education-130500,5,4,2,4,
,,English-150100,3,3,5,4,
,,Environmental Studies-030200,2,5,7,1,
,,"Fine Arts, General-100100",8,4,4,7,
,,Graphic Art and Design-103000,2,4,4,1,
,,Humanities-490300,2,,1,2,
,,"Liberal Arts and Sciences, General-490100",28,13,6,17,
,,Management Development and Supervision-050630,3,5,3,3,
,,Multimedia-061410,6,2,2,4,
,,Music-100400,1,2,2,,
,,Radio and Television-060400,2,,,,
,,Real Estate-051100,,,6,2,
,,Sign Language Interpreting-085010,7,4,5,7,
,,Sign Language-085000,6,1,5,2,
,,"Social Sciences, General-220100",548,508,437,486,
,,Speech Communication-150600,5,7,7,5,
,,Technical Theater-100600,1,2,2,,
,Certificate requiring 30 to < 60 semester units              Total,,20,13,5,6,
,,Child Development/Early Care and Education-130500,8,6,2,3,
,,Graphic Art and Design-103000,2,2,,,
,,Sign Language Interpreting-085010,6,5,2,1,
,,Sign Language-085000,4,,1,2,
,Certificate requiring 16 to fewer than 30 semester units     Total,,502,435,484,376,
,,Accounting-050200,195,174,169,148,
,,Biotechnology and Biomedical Technology-043000,9,10,8,4,
,,Ceramics-100230,,,,1,
,,Computer Networking-070810,11,13,4,1,
,,Computer Programming-070710,13,11,12,2,
,,Computer Science (Transfer)-070600,58,46,33,33,
,,Database Design and Administration-070720,,2,9,7,
,,"Engineering Technology, General (requires Trigonometry)-092400",2,,,,
,,Environmental Studies-030200,2,7,2,3,
,,Fire Technology-213300,,,,35,
,,Fitness Trainer-083520,,1,,,
,,Geography-220600,,1,,,
,,Global Studies-221020,,1,,,
,,"Information Technology, General-070100",16,13,8,5,
,,Kinesiology-127000,,,3,,
,,Management Development and Supervision-050630,2,1,3,4,
,,Manufacturing and Industrial Technology-095600,,1,15,48,
,,"Mathematics, General-170100",183,141,212,75,
,,Multimedia-061410,4,3,1,3,
,,Other Education-089900,,,1,3,
,,Real Estate-051100,2,7,2,,
,,"Social Sciences, General-220100",3,,2,3,
,,Technical Theater-100600,,1,,,
,,Website Design and Development-061430,2,2,,1,
,Noncredit award requiring from 192 to < 288 hours            Total,,,2,6,7,
,,Animation-061440,,1,2,1,
,,Multimedia-061410,,1,4,6,
,Noncredit award requiring from 144 to < 192 hours            Total,,29,,35,20,
,,English as a Second Language - Integrated-493087,29,,35,20,
,Noncredit award requiring from 96 to < 144 hours             Total,,10,,,,
,,Drafting Technology-095300,1,,,,
,,Real Estate-051100,9,,,,
,Noncredit award requiring from 48 to < 96 hours              Total,,4,,14,29,
,,Animation-061440,3,,,,
,,English as a Second Language - Integrated-493087,,,,13,
,,Mathematics Skills-170200,1,,14,16,
,Noncredit award requiring < 48 hours                         Total,,41,1,35,59,
,,Animation-061440,,,1,,
,,Manufacturing and Industrial Technology-095600,,,,29,
,,Mathematics Skills-170200,,,2,2,
,,Small Business and Entrepreneurship-050640,15,1,,,
,,Study Skills-493014,26,,32,28,
