,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Orange Coast Total,,,"4,835","4,750","5,225","5,582",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,514,441,545,580,
,,"Biology, General-040100",22,20,42,21,
,,Business Administration-050500,353,302,334,368,
,,Child Development/Early Care and Education-130500,,,15,16,
,,Computer Science (Transfer)-070600,1,,2,,
,,Geology-191400,,,2,1,
,,"Health Occupations, General-120100",2,3,2,10,
,,"Mathematics, General-170100",51,48,59,69,
,,"Nutrition, Foods, and Culinary Arts-130600",7,3,5,2,
,,"Physics, General-190200",32,27,32,29,
,,Television (including combined TV/Film/Video)-060420,46,38,52,64,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,598,625,649,642,
,,Anthropology-220200,9,12,6,10,
,,Art-100200,42,51,65,79,
,,Dramatic Arts-100700,7,12,13,9,
,,Economics-220400,36,42,58,70,
,,English-150100,29,27,29,22,
,,"Fine Arts, General-100100",7,6,6,10,
,,Geography-220600,2,3,1,5,
,,Global Studies-221020,10,3,5,2,
,,History-220500,30,39,18,23,
,,Journalism-060200,7,5,9,7,
,,Kinesiology-127000,28,22,28,36,
,,Liberal Studies-490120,4,6,7,6,
,,Music-100400,3,2,7,6,
,,Philosophy-150900,9,5,3,8,
,,Political Science-220700,35,44,43,37,
,,"Psychology, General-200100",151,190,178,181,
,,Sociology-220800,39,45,42,33,
,,Spanish-110500,11,5,7,6,
,,Speech Communication-150600,139,106,124,92,
,Associate of Science (A.S.) degree                           Total,,751,757,761,784,
,,Accounting-050200,6,3,12,7,
,,Aeronautical and Aviation Technology-095000,10,14,9,9,
,,Animation-061440,,3,3,3,
,,Applied Photography-101200,3,6,5,3,
,,Architecture and Architectural Technology-020100,53,36,44,39,
,,Astronomy-191100,,1,3,3,
,,Aviation Airframe Mechanics-095010,1,2,1,2,
,,Aviation Powerplant Mechanics-095020,,1,1,3,
,,Biological and Physical Sciences (and Mathematics)-490200,145,148,141,131,
,,"Biology, General-040100",31,29,34,20,
,,Business Administration-050500,27,17,23,15,
,,Business Management-050600,4,1,,4,
,,Cardiovascular Technician-121300,10,14,8,13,
,,"Chemistry, General-190500",67,64,47,45,
,,Child Development Administration and Management-130580,13,15,,1,
,,Child Development/Early Care and Education-130500,,9,13,25,
,,Commercial Art-101300,5,3,6,2,
,,Community Health Care Worker-126100,3,3,,2,
,,Computer Graphics and Digital Imagery-061460,12,6,7,,
,,Computer Information Systems-070200,,,,117,
,,Computer Programming-070710,79,126,100,,
,,Construction Crafts Technology-095200,6,11,17,19,
,,Culinary Arts-130630,21,22,20,22,
,,Dental Assistant-124010,11,9,5,4,
,,Diagnostic Medical Sonography-122700,17,14,17,20,
,,Dietetic Technology-130660,4,4,2,4,
,,Earth Science-193000,,,1,1,
,,Electro-Neurodiagnostic Technology-121200,11,,16,,
,,Electronics and Electric Technology-093400,2,,,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",20,11,11,10,
,,Environmental Control Technology-094600,9,3,5,12,
,,Environmental Science-030100,,1,,,
,,Fashion Design-130310,6,7,5,11,
,,Fashion Merchandising-130320,9,6,6,14,
,,Fashion Production-130330,7,6,2,8,
,,Fitness Trainer-083520,5,4,2,,
,,Flight Attendant-302040,18,5,10,9,
,,Graphic Art and Design-103000,,,,11,
,,Horticulture-010900,7,5,6,8,
,,Hospitality-130700,10,8,3,2,
,,Industrial Electronics-093420,,,,1,
,,Infants and Toddlers-130590,2,,,,
,,"Information Technology, General-070100",,,,8,
,,Interior Design and Merchandising-130200,14,6,15,16,
,,Machining and Machine Tools-095630,6,4,11,14,
,,Marine Technology-095900,1,3,4,4,
,,Marketing and Distribution-050900,8,6,10,10,
,,Medical Assisting-120800,13,1,12,9,
,,Multimedia-061410,5,1,13,,
,,"Nutrition, Foods, and Culinary Arts-130600",1,,1,1,
,,Piloting-302020,19,18,18,17,
,,Polysomnography-121100,,10,12,8,
,,Preshool Age Children-130540,11,7,4,2,
,,Radiologic Technology-122500,1,39,26,23,
,,Real Estate-051100,1,3,5,7,
,,Respiratory Care/Therapy-121000,13,15,16,20,
,,Restaurant and Food Services and Management-130710,,,3,2,
,,Speech/Language Pathology and Audiology-122000,15,19,11,17,
,,Travel Services and Tourism-300900,1,2,3,,
,,Website Design and Development-061430,,,,10,
,,Welding Technology-095650,8,6,12,16,
,Associate of Arts (A.A.) degree                              Total,,503,424,414,414,
,,Anthropology-220200,1,4,3,2,
,,Commercial Music-100500,,,5,2,
,,Culinary Arts-130630,1,,,,
,,Dance-100800,1,1,3,5,
,,Dramatic Arts-100700,2,4,1,7,
,,Economics-220400,1,,,,
,,English-150100,2,2,2,2,
,,Film Production-061220,18,9,15,13,
,,"Foreign Languages, General-110100",5,1,2,3,
,,"Health Professions, Transfer Core Curriculum-126000",4,1,4,,
,,History-220500,,,1,,
,,Journalism-060200,2,1,1,,
,,"Liberal Arts and Sciences, General-490100",465,394,373,374,
,,"Media and Communications, General-060100",1,3,2,3,
,,Music-100400,,4,2,2,
,,Religious Studies-151000,,,,1,
,Certificate requiring 60+ semester units                     Total,,30,23,34,53,
,,Aeronautical and Aviation Technology-095000,27,21,15,30,
,,Interior Design and Merchandising-130200,3,2,3,9,
,,Respiratory Care/Therapy-121000,,,16,14,
,Certificate requiring 30 to < 60 semester units              Total,,"2,097","1,950","1,962","1,975",
,,Accounting-050200,10,3,13,7,
,,Animation-061440,,5,2,8,
,,Applied Photography-101200,2,6,8,4,
,,Architecture and Architectural Technology-020100,6,6,6,5,
,,Aviation Airframe Mechanics-095010,11,11,4,11,
,,Aviation and Airport Management and Services-302000,24,9,11,,
,,Aviation Powerplant Mechanics-095020,12,10,4,14,
,,Business Administration-050500,22,14,17,15,
,,Business Management-050600,3,1,,4,
,,Cardiovascular Technician-121300,,,,1,
,,Child Development Administration and Management-130580,1,,,,
,,Child Development/Early Care and Education-130500,,4,8,7,
,,Commercial Art-101300,4,5,6,2,
,,Computer Graphics and Digital Imagery-061460,16,12,11,,
,,Computer Programming-070710,1,,,,
,,Construction Crafts Technology-095200,7,6,14,22,
,,Culinary Arts-130630,55,47,28,31,
,,Dental Assistant-124010,14,20,16,15,
,,Electrocardiography-121500,15,8,,,
,,Electronics and Electric Technology-093400,3,,,,
,,Environmental Control Technology-094600,35,27,34,39,
,,Fashion Design-130310,9,8,9,10,
,,Fashion Merchandising-130320,7,7,6,13,
,,Fashion Production-130330,9,7,3,6,
,,Film Production-061220,,,1,,
,,Fitness Trainer-083520,1,2,,,
,,Flight Attendant-302040,,,,13,
,,Graphic Art and Design-103000,,,,15,
,,Hospitality-130700,9,3,,2,
,,Infants and Toddlers-130590,2,,,,
,,Interior Design and Merchandising-130200,,1,5,,
,,Lodging Management-130720,4,4,2,,
,,Machining and Machine Tools-095630,10,15,10,15,
,,Medical Assisting-120800,25,,20,11,
,,Multimedia-061410,3,6,7,5,
,,"Nutrition, Foods, and Culinary Arts-130600",1,3,2,,
,,Piloting-302020,21,21,18,16,
,,Preshool Age Children-130540,16,11,2,1,
,,Speech/Language Pathology and Audiology-122000,,,,4,
,,Transfer Studies-490110,"1,730","1,656","1,679","1,667",
,,Travel Services and Tourism-300900,1,4,2,,
,,Website Design and Development-061430,8,8,14,12,
,Certificate requiring 16 to fewer than 30 semester units     Total,,243,308,453,456,
,,Accounting-050200,,4,3,,
,,Aircraft Electronics (Avionics)-095040,,1,1,,
,,Applied Photography-101200,5,4,3,2,
,,Architecture and Architectural Technology-020100,14,15,13,11,
,,Aviation and Airport Management-302010,,,,1,
,,"Biology, General-040100",,,7,6,
,,Business Administration-050500,10,4,10,,
,,Cardiovascular Technician-121300,,,,11,
,,Child Development/Early Care and Education-130500,12,18,20,19,
,,Coaching-083560,,,1,,
,,Commercial Dance-100810,12,7,4,9,
,,Commercial Music-100500,1,,3,5,
,,Community Health Care Worker-126100,4,5,1,3,
,,Computer Electronics-093410,2,,,,
,,Computer Information Systems-070200,,,,118,
,,Computer Infrastructure and Support-070800,,,1,,
,,Computer Programming-070710,70,124,102,,
,,Construction Crafts Technology-095200,8,18,24,26,
,,Culinary Arts-130630,2,1,3,12,
,,Dietetic Services and Management-130620,3,6,5,7,
,,Electrocardiography-121500,,2,14,,
,,Electronics and Electric Technology-093400,1,,,,
,,Film Production-061220,14,20,25,23,
,,Fitness Trainer-083520,9,5,11,25,
,,"Health Professions, Transfer Core Curriculum-126000",,,1,1,
,,Horticulture-010900,8,6,7,14,
,,Hospitality-130700,,,1,,
,,Industrial Electronics-093420,,,,1,
,,"Information Technology, General-070100",,,,9,
,,Intercollegiate Athletics-083550,,1,4,17,
,,Interior Design and Merchandising-130200,19,21,19,19,
,,Machining and Machine Tools-095630,10,9,19,11,
,,Marine Technology-095900,5,7,11,12,
,,Marketing and Distribution-050900,12,5,9,11,
,,Multimedia-061410,,,,4,
,,"Nutrition, Foods, and Culinary Arts-130600",2,3,2,1,
,,Physical Education-083500,1,4,3,3,
,,Piloting-302020,,,,1,
,,Polysomnography-121100,,,13,7,
,,Radiologic Technology-122500,,,84,37,
,,Real Estate-051100,2,3,6,7,
,,Restaurant and Food Services and Management-130710,,2,4,2,
,,Speech/Language Pathology and Audiology-122000,,,,3,
,,Technical Communication-060700,5,1,1,1,
,,Welding Technology-095650,12,12,18,17,
,Certificate requiring 8 to fewer than 16 semester units      Total,,46,163,264,461,
,,Accounting-050200,15,22,39,39,
,,Advertising-050910,,,4,5,
,,Architecture and Architectural Technology-020100,2,,2,1,
,,"Biology, General-040100",8,10,7,3,
,,Business Administration-050500,,,4,3,
,,Child Development Administration and Management-130580,,,,1,
,,Child Development/Early Care and Education-130500,,16,17,10,
,,Computer Infrastructure and Support-070800,,2,1,,
,,Construction Crafts Technology-095200,1,6,12,8,
,,Culinary Arts-130630,7,7,32,27,
,,Digital Media-061400,,,,2,
,,Electrical-095220,,,5,15,
,,Electro-Mechanical Technology-093500,,,3,1,
,,Emergency Medical Services-125000,,,,2,
,,Environmental Control Technology-094600,,,,36,
,,Fitness Trainer-083520,,3,26,45,
,,Industrial Electronics-093420,,1,1,5,
,,Infants and Toddlers-130590,,3,1,4,
,,Interior Design and Merchandising-130200,,10,6,8,
,,Landscape Design and Maintenance-010910,1,1,,3,
,,Machining and Machine Tools-095630,1,1,6,7,
,,Marketing and Distribution-050900,,,1,137,
,,"Masonry, Tile, Cement, Lath and Plaster-095260",3,3,7,10,
,,"Plumbing, Pipefitting and Steamfitting-095230",5,3,6,6,
,,Preshool Age Children-130540,,73,73,65,
,,Sales and Salesmanship-050940,,,3,3,
,,Software Applications-070210,,,,2,
,,Tax Studies-050210,3,2,7,7,
,,Technical Communication-060700,,,1,5,
,,The School Age Child-130550,,,,1,
,Noncredit award requiring from 192 to < 288 hours            Total,,2,1,6,15,
,,English as a Second Language - Integrated-493087,1,,1,15,
,,English as a Second Language - Listening and Speaking-493086,1,1,5,,
,Noncredit award requiring from 144 to < 192 hours            Total,,15,3,19,31,
,,Architecture and Architectural Technology-020100,,,,4,
,,Community Health Care Worker-126100,,,,11,
,,English as a Second Language - Integrated-493087,2,3,2,11,
,,English as a Second Language - Writing-493084,,,,5,
,,Fitness Trainer-083520,13,,,,
,,Polysomnography-121100,,,17,,
,Noncredit award requiring from 96 to < 144 hours             Total,,,,4,,
,,English as a Second Language - Integrated-493087,,,3,,
,,Vocational ESL-493100,,,1,,
,Noncredit award requiring from 48 to < 96 hours              Total,,36,52,72,92,
,,English as a Second Language - Integrated-493087,,11,18,22,
,,Office Technology/Office Computer Applications-051400,1,24,33,31,
,,Other Health Occupations-129900,35,,20,38,
,,Study Skills-493014,,17,1,1,
,Noncredit award requiring < 48 hours                         Total,,,3,42,79,
,,Consumer Services-130110,,,25,,
,,English-150100,,3,3,3,
,,"Family and Consumer Sciences, General-130100",,,,38,
,,Hospitality-130700,,,2,4,
,,Other Education-089900,,,12,34,
