,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Palomar Total,,,"4,633","4,937","4,787","4,770","5,278",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,333,338,340,329,302,
,,Administration of Justice-210500,41,38,28,22,15,
,,"Biology, General-040100",53,45,42,38,43,
,,Business Administration-050500,167,182,200,186,169,
,,Child Development/Early Care and Education-130500,5,5,5,3,4,
,,Geology-191400,1,1,1,1,,
,,"Mathematics, General-170100",46,43,47,56,57,
,,"Nutrition, Foods, and Culinary Arts-130600",3,3,1,3,1,
,,Television (including combined TV/Film/Video)-060420,17,21,16,20,13,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,398,461,341,338,386,
,,Anthropology-220200,6,16,6,8,17,
,,Art-100200,2,5,10,6,13,
,,Child and Adolescent Development-130510,40,48,37,22,16,
,,Dramatic Arts-100700,2,1,3,1,1,
,,Economics-220400,7,12,5,9,15,
,,English-150100,23,33,24,30,29,
,,"Fine Arts, General-100100",2,1,1,6,4,
,,"Gay, Lesbian, Bisexual and Transgender Studies-220140",,,2,1,1,
,,Geography-220600,4,4,1,2,6,
,,History-220500,18,20,22,16,15,
,,Journalism-060200,6,8,4,5,8,
,,Kinesiology-127000,6,9,4,5,10,
,,"Law, General-140100",1,2,1,2,2,
,,Music-100400,1,8,1,6,3,
,,Philosophy-150900,7,3,1,2,1,
,,Political Science-220700,8,13,15,16,20,
,,"Psychology, General-200100",120,130,98,102,123,
,,Social Justice: Chicano Studies-220160,1,2,2,3,3,
,,Sociology-220800,86,86,59,50,58,
,,Spanish-110500,14,20,21,19,12,
,,Speech Communication-150600,44,40,24,27,29,
,Associate of Science (A.S.) degree                           Total,,849,826,782,734,874,
,,Accounting-050200,27,25,14,18,22,
,,Administration of Justice-210500,16,21,14,9,6,
,,Advertising-050910,7,7,9,5,9,
,,Alcohol and Controlled Substances-210440,11,9,8,7,13,
,,Animation-061440,1,4,4,1,4,
,,Architectural Drafting-095310,3,4,1,7,4,
,,Architecture and Architectural Technology-020100,2,6,2,10,7,
,,Automotive Collision Repair-094900,1,,,,1,
,,Automotive Technology-094800,6,7,7,7,5,
,,Biological and Physical Sciences (and Mathematics)-490200,294,292,275,290,333,
,,"Biology, General-040100",4,2,9,17,24,
,,"Business and Commerce, General-050100",44,41,43,14,20,
,,Business Management-050600,5,7,11,10,15,
,,Carpentry-095210,1,,,1,,
,,"Chemistry, General-190500",1,6,1,11,9,
,,Child Development Administration and Management-130580,3,3,,1,2,
,,Child Development/Early Care and Education-130500,13,10,14,7,8,
,,Children with Special Needs-130520,1,1,1,,,
,,Commercial Art-101300,2,7,6,6,7,
,,Computer Graphics and Digital Imagery-061460,4,5,5,5,3,
,,Computer Information Systems-070200,7,5,6,5,7,
,,Computer Infrastructure and Support-070800,,,,,4,
,,Computer Networking-070810,4,6,4,6,2,
,,Computer Science (Transfer)-070600,18,21,18,18,24,
