,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Palo Verde Total,,,518,619,634,664,703,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,7,5,8,14,15,
,,Administration of Justice-210500,3,3,1,6,2,
,,Business Administration-050500,2,2,4,6,9,
,,Child Development/Early Care and Education-130500,2,,3,2,4,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,20,31,38,54,29,
,,Child and Adolescent Development-130510,,,3,4,2,
,,History-220500,,7,10,9,9,
,,Kinesiology-127000,,,,1,,
,,"Law, General-140100",,,,,1,
,,"Psychology, General-200100",14,15,13,22,8,
,,Sociology-220800,6,9,12,16,6,
,,Speech Communication-150600,,,,2,3,
,Associate of Science (A.S.) degree                           Total,,31,25,39,40,43,
,,Administration of Justice-210500,,3,4,7,6,
,,Automotive Technology-094800,,1,,1,,
,,Business Administration-050500,21,19,22,22,16,
,,Child Development/Early Care and Education-130500,7,,7,5,3,
,,Computer Information Systems-070200,1,,2,2,3,
,,Construction Crafts Technology-095200,,1,4,,,
,,Environmental Technology-030300,,1,,,,
,,Fire Technology-213300,,,,2,,
,,Registered Nursing-123010,,,,,14,
,,Welding Technology-095650,2,,,1,1,
,Associate of Arts (A.A.) degree                              Total,,212,266,244,235,215,
,,Biological and Physical Sciences (and Mathematics)-490200,31,38,41,34,32,
,,Humanities and Social Sciences-490330,92,109,92,97,81,
,,Humanities-490300,55,64,71,80,75,
,,Other Interdisciplinary Studies-499900,34,55,40,24,27,
,Certificate requiring 30 to < 60 semester units              Total,,10,33,46,43,45,
,,Alcohol and Controlled Substances-210440,6,20,27,27,26,
,,Child Development/Early Care and Education-130500,2,1,1,3,1,
,,Fire Technology-213300,,,1,4,2,
,,Licensed Vocational Nursing-123020,,7,9,,8,
,,Management Development and Supervision-050630,2,5,8,9,8,
,Certificate requiring 16 to fewer than 30 semester units     Total,,2,5,31,30,32,
,,Administration of Justice-210500,1,2,2,2,5,
,,Automotive Technology-094800,,2,14,21,13,
,,Construction Crafts Technology-095200,,1,3,2,5,
,,Welding Technology-095650,1,,12,5,9,
,Certificate requiring 6 to < 18 semester units               Total,,236,253,226,234,304,
,,Alcohol and Controlled Substances-210440,93,108,84,128,91,
,,Automotive Technology-094800,20,1,1,,38,
,,Certified Nurse Assistant-123030,14,36,20,8,8,
,,Child Development Administration and Management-130580,,,1,,1,
,,Child Development/Early Care and Education-130500,6,15,20,17,32,
,,Children with Special Needs-130520,,9,1,1,5,
,,Computer Information Systems-070200,30,,,1,2,
,,Construction Crafts Technology-095200,20,,,,33,
,,Consumer Services-130110,1,2,,2,3,
,,Digital Media-061400,,20,10,16,18,
,,Educational Aide (Teacher Assistant)-080200,,,,1,1,
,,Infants and Toddlers-130590,,,,4,2,
,,"Information Technology, General-070100",2,1,2,,1,
,,Office Technology/Office Computer Applications-051400,21,30,19,15,11,
,,Other Media and Communications-069900,1,15,12,9,11,
,,Sign Language-085000,4,2,2,1,11,
,,Small Business and Entrepreneurship-050640,6,14,7,12,8,
,,Software Applications-070210,1,,1,2,2,
,,Welding Technology-095650,17,,46,17,26,
,"Other Credit Award, < 6 semester units                       Total",,,1,2,14,17,
,,Phlebotomy-120510,,1,2,14,17,
,Noncredit award requiring from 144 to < 192 hours            Total,,,,,,3,
,,English as a Second Language - Integrated-493087,,,,,3,
