,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Redwoods Total,,,804,"1,002","1,010","1,116",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,60,49,39,35,
,,Administration of Justice-210500,4,5,5,7,
,,"Biology, General-040100",3,,1,,
,,Business Administration-050500,28,25,22,10,
,,Child Development/Early Care and Education-130500,10,7,6,11,
,,"Mathematics, General-170100",6,6,3,4,
,,"Physics, General-190200",6,6,2,2,
,,Plant Science-010300,3,,,1,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,66,46,63,87,
,,Anthropology-220200,1,2,4,4,
,,Art-100200,3,4,3,9,
,,English-150100,3,1,2,6,
,,History-220500,12,4,10,12,
,,Kinesiology-127000,2,2,4,1,
,,Philosophy-150900,1,1,2,3,
,,Political Science-220700,3,1,5,3,
,,"Psychology, General-200100",28,26,24,40,
,,Social Justice Studies-220130,3,,,,
,,Sociology-220800,9,3,3,4,
,,Speech Communication-150600,1,2,6,5,
,Associate of Science (A.S.) degree                           Total,,116,162,157,182,
,,Administration of Justice-210500,1,3,6,2,
,,"Agriculture Technology and Sciences, General-010100",1,8,3,4,
,,Architectural Drafting-095310,1,,,1,
,,Automotive Technology-094800,1,4,1,2,
,,"Business and Commerce, General-050100",6,10,4,8,
,,Carpentry-095210,7,3,6,2,
,,Child Development/Early Care and Education-130500,7,18,8,13,
,,Computer Networking-070810,10,7,12,14,
,,Dental Assistant-124010,5,6,3,7,
,,Forestry-011400,2,2,6,5,
,,Human Services-210400,7,19,28,36,
,,Licensed Vocational Nursing-123020,4,14,5,20,
,,Machining and Machine Tools-095630,,1,4,,
,,Manufacturing and Industrial Technology-095600,,,4,,
,,Multimedia-061410,1,,,,
,,Ocean Technology-192000,,,1,1,
,,Paramedic-125100,5,5,5,3,
,,Registered Nursing-123010,56,57,59,58,
,,Welding Technology-095650,2,5,2,6,
,Associate of Arts (A.A.) degree                              Total,,407,509,503,440,
,,"Agriculture Technology and Sciences, General-010100",,2,,,
,,Biological and Physical Sciences (and Mathematics)-490200,107,180,172,178,
,,"Business and Commerce, General-050100",29,46,33,27,
,,Humanities and Fine Arts-490310,15,25,19,27,
,,Humanities-490300,102,134,139,108,
,,"Liberal Arts and Sciences, General-490100",154,122,140,100,
,Certificate requiring 30 to < 60 semester units              Total,,68,104,160,214,
,,Alcohol and Controlled Substances-210440,8,11,16,14,
,,Architectural Drafting-095310,1,,,,
,,Automotive Technology-094800,1,4,2,4,
,,Carpentry-095210,1,1,2,2,
,,Computer Networking-070810,5,14,11,19,
,,Dental Assistant-124010,10,14,14,17,
,,Forestry-011400,,,5,33,
,,Licensed Vocational Nursing-123020,,21,,17,
,,Machining and Machine Tools-095630,,,2,,
,,Manufacturing and Industrial Technology-095600,,,2,,
,,Paramedic-125100,26,13,6,19,
,,Police Academy-210550,12,23,18,,
,,Registered Nursing-123010,,2,,7,
,,Transfer Studies-490110,4,1,82,82,
,Certificate requiring 16 to fewer than 30 semester units     Total,,46,96,68,112,
,,Accounting-050200,5,12,5,6,
,,Automotive Technology-094800,,4,11,10,
,,"Business and Commerce, General-050100",4,9,6,12,
,,Carpentry-095210,4,12,4,9,
,,Computer Infrastructure and Support-070800,13,28,14,22,
,,Electrical-095220,13,7,7,15,
,,Geographic Information Systems-220610,,,,6,
,,Graphic Art and Design-103000,4,6,7,13,
,,Horticulture-010900,1,,2,1,
,,Mill and Cabinet Work-095250,2,10,4,3,
,,Ocean Technology-192000,,,,2,
,,Plant Science-010300,,4,1,3,
,,Welding Technology-095650,,4,7,10,
,Certificate requiring 8 to fewer than 16 semester units      Total,,41,35,17,45,
,,Child Development/Early Care and Education-130500,41,35,17,45,
,Noncredit award requiring from 144 to < 192 hours            Total,,,,3,1,
,,English as a Second Language - Integrated-493087,,,3,1,
,Noncredit award requiring from 96 to < 144 hours             Total,,,1,,,
,,English as a Second Language - Integrated-493087,,1,,,
