,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Rio Hondo Total,,,"3,964","4,204","3,897","4,736","4,762",
,Baccalaureate of Science (B.S.) degree                       Total,,9,12,12,5,7,
,,Automotive Technology-094800,9,12,12,5,7,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,447,421,393,417,404,
,,Administration of Justice-210500,99,91,78,77,72,
,,"Biology, General-040100",12,11,12,13,8,
,,Business Administration-050500,189,193,185,168,167,
,,"Chemistry, General-190500",4,5,6,4,8,
,,Child Development/Early Care and Education-130500,91,79,59,79,75,
,,Computer Science (Transfer)-070600,,2,9,10,25,
,,Geology-191400,,,,,1,
,,Hospitality-130700,5,3,2,1,1,
,,"Mathematics, General-170100",25,22,26,39,21,
,,"Nutrition, Foods, and Culinary Arts-130600",3,1,1,3,4,
,,"Physics, General-190200",19,14,15,19,16,
,,Television (including combined TV/Film/Video)-060420,,,,4,6,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,431,435,379,445,435,
,,Anthropology-220200,12,6,1,6,6,
,,Art-100200,17,11,34,30,35,
,,Dramatic Arts-100700,6,3,6,4,10,
,,Economics-220400,8,7,9,7,15,
,,English-150100,24,18,11,26,23,
,,"Fine Arts, General-100100",6,3,9,6,12,
,,"Gay, Lesbian, Bisexual and Transgender Studies-220140",,,2,,1,
,,History-220500,17,16,17,20,24,
,,Human Services-210400,1,16,18,40,28,
,,Journalism-060200,11,17,13,9,3,
,,Kinesiology-127000,19,22,20,17,20,
,,Liberal Studies-490120,4,13,8,10,14,
,,Music-100400,,,,6,5,
,,Philosophy-150900,2,6,6,5,4,
,,Political Science-220700,27,26,21,21,19,
,,"Psychology, General-200100",139,149,117,132,124,
,,Social Justice Studies-220130,2,,,1,1,
,,Sociology-220800,96,83,62,70,58,
,,Spanish-110500,10,17,3,8,7,
,,Speech Communication-150600,30,22,22,27,26,
,Associate of Science (A.S.) degree                           Total,,542,590,495,541,599,
,,Accounting-050200,17,12,7,13,10,
,,Administration of Justice-210500,43,52,34,30,36,
,,Alcohol and Controlled Substances-210440,6,7,7,4,7,
,,Alternative Fuels and Advanced Transportation Technology-094840,15,10,8,9,12,
,,Architectural Drafting-095310,2,5,4,5,12,
,,Architecture and Architectural Technology-020100,3,8,9,9,10,
,,Automotive Technology-094800,3,9,10,13,18,
,,Biological and Physical Sciences (and Mathematics)-490200,127,148,111,144,176,
,,"Biology, General-040100",4,7,3,4,6,
,,Child Development/Early Care and Education-130500,90,69,42,56,53,
,,Civil Drafting-095320,2,1,,,,
,,Commercial Music-100500,,,5,6,4,
,,Computer Information Systems-070200,5,11,8,10,7,
,,Computer Infrastructure and Support-070800,5,13,11,18,19,
,,Computer Networking-070810,2,5,4,6,10,
,,Corrections-210510,4,5,7,4,3,
,,Drafting Technology-095300,5,2,4,3,5,
,,Dramatic Arts-100700,,1,2,,1,
,,Electronics and Electric Technology-093400,1,1,2,3,,
,,Energy Systems Technology-094610,1,3,1,1,1,
,,"Engineering, General (requires Calculus) (Transfer)-090100",11,12,14,12,5,
,,Environmental Science-030100,,,,1,4,
,,Environmental Technology-030300,3,7,6,9,4,
,,Fire Technology-213300,97,82,84,63,77,
,,Geographic Information Systems-220610,2,6,2,5,4,
,,Graphic Art and Design-103000,3,2,9,8,3,
,,Human Services-210400,,,1,2,3,
,,International Business and Trade-050800,2,,1,,1,
,,Kinesiology-127000,,1,1,1,,
,,Licensed Vocational Nursing-123020,6,7,10,12,14,
,,Logistics and Materials Transportation-051000,4,4,6,4,2,
,,Management Development and Supervision-050630,10,11,19,13,12,
,,Marketing and Distribution-050900,4,5,5,7,11,
,,"Mathematics, General-170100",,1,,,,
,,"Media and Communications, General-060100",1,1,,5,,
,,Other Public and Protective Services-219900,2,6,1,3,4,
,,Photography-101100,,1,,,,
,,Registered Nursing-123010,56,66,46,46,49,
,,Small Business and Entrepreneurship-050640,3,3,6,7,3,
,,Welding Technology-095650,,,,,4,
,,Wildland Fire Technology-213310,3,6,5,5,9,
,Associate of Arts (A.A.) degree                              Total,,809,797,723,994,968,
,,Animation-061440,9,10,17,8,9,
,,Art-100200,2,2,8,4,5,
,,Biological and Physical Sciences (and Mathematics)-490200,,1,,2,2,
,,Business Administration-050500,57,61,63,60,52,
,,Dance-100800,,3,1,4,3,
,,English-150100,2,4,5,7,7,
,,Ethnic Studies-220300,5,4,4,4,10,
,,Graphic Art and Design-103000,3,4,10,6,1,
,,Humanities and Fine Arts-490310,70,92,67,110,102,
,,"Liberal Arts and Sciences, General-490100",626,583,519,773,767,
,,Music-100400,1,,4,2,1,
,,Photography-101100,1,2,1,1,3,
,,Sign Language Interpreting-085010,1,1,1,3,1,
,,Sign Language-085000,1,3,1,2,4,
,,"Social Sciences, General-220100",31,27,22,8,1,
,Certificate requiring 30 to < 60 semester units              Total,,957,"1,079",867,"1,124","1,111",
,,Accounting-050200,7,6,7,6,3,
,,Alcohol and Controlled Substances-210440,2,7,6,6,5,
,,Architectural Drafting-095310,4,2,2,7,5,
,,Automotive Technology-094800,5,3,2,8,5,
,,Civil Drafting-095320,,1,,,,
,,Computer Information Systems-070200,,,1,,,
,,Heavy Equipment Maintenance-094720,,,,1,,
,,Licensed Vocational Nursing-123020,12,17,5,15,16,
,,"Media and Communications, General-060100",,1,1,1,,
,,Police Academy-210550,48,84,72,25,82,
,,Retail Store Operations and Management-050650,,,,1,,
,,Transfer Studies-490110,879,958,769,"1,054",994,
,,Wildland Fire Technology-213310,,,2,,1,
,Certificate requiring 16 to fewer than 30 semester units     Total,,457,461,438,428,831,
,,Accounting-050200,6,13,7,13,6,
,,Alternative Fuels and Advanced Transportation Technology-094840,8,27,11,9,1,
,,Architectural Drafting-095310,,32,22,30,11,
,,Banking and Finance-050400,,,1,1,1,
,,Carpentry-095210,,,,20,340,
,,Child Development/Early Care and Education-130500,50,37,32,35,28,
,,Civil Drafting-095320,1,2,1,1,,
,,Coaching-083560,2,2,6,1,,
,,Commercial Music-100500,,1,3,12,5,
,,Community Health Care Worker-126100,,1,,,,
,,Computer Information Systems-070200,1,4,5,4,3,
,,Computer Infrastructure and Support-070800,6,6,17,11,9,
,,Computer Networking-070810,,,3,4,11,
,,Computer Systems Analysis-070730,,3,2,1,,
,,Creative Writing-150700,,1,,2,,
,,Dance-100800,1,1,1,2,,
,,Digital Media-061400,1,1,,1,,
,,Drafting Technology-095300,3,13,7,3,4,
,,Electronics and Electric Technology-093400,,1,,3,,
,,Energy Systems Technology-094610,,1,,1,1,
,,Environmental Technology-030300,1,3,2,,3,
,,Fire Academy-213350,94,65,77,74,86,
,,Fire Technology-213300,114,94,96,93,111,
,,Fitness Trainer-083520,,,3,2,,
,,French-110200,,2,1,2,1,
,,Geographic Information Systems-220610,14,13,15,6,18,
,,Graphic Art and Design-103000,1,1,5,3,2,
,,"Health Professions, Transfer Core Curriculum-126000",10,8,6,5,10,
,,Heavy Equipment Maintenance-094720,5,2,5,11,15,
,,Human Services-210400,,,1,3,3,
,,International Business and Trade-050800,1,2,1,,,
,,Logistics and Materials Transportation-051000,1,3,2,5,1,
,,Management Development and Supervision-050630,8,5,6,4,5,
,,Marketing and Distribution-050900,7,2,1,4,3,
,,Mechanical Drafting-095340,,,3,2,6,
,,Music-100400,,,,3,,
,,Office Technology/Office Computer Applications-051400,16,,,,,
,,Orthopedic Assistant-121400,5,8,,10,10,
,,Other Public and Protective Services-219900,2,4,1,,2,
,,"Plumbing, Pipefitting and Steamfitting-095230",,,,,20,
,,Police Academy-210550,48,82,74,25,82,
,,Real Estate-051100,36,,,,,
,,Retail Store Operations and Management-050650,3,4,1,1,,
,,Sign Language-085000,3,,7,4,7,
,,Small Business and Entrepreneurship-050640,1,3,7,1,,
,,Spanish-110500,,4,1,7,14,
,,Welding Technology-095650,2,5,1,,7,
,,Wildland Fire Technology-213310,6,5,4,9,5,
,Certificate requiring 8 to fewer than 16 semester units      Total,,206,264,245,302,407,
,,Administration of Justice-210500,44,74,43,45,40,
,,Alternative Fuels and Advanced Transportation Technology-094840,7,7,1,15,13,
,,Architecture and Architectural Technology-020100,,,,23,11,
,,Automotive Technology-094800,38,61,56,75,78,
,,Ceramics-100230,,,,,8,
,,Child Development/Early Care and Education-130500,65,45,55,66,50,
,,Children with Special Needs-130520,15,10,11,10,9,
,,Commercial Music-100500,,,,9,7,
,,Computer Infrastructure and Support-070800,,,2,2,5,
,,Computer Networking-070810,,,,,2,
,,Corrections-210510,,7,5,1,4,
,,Creative Writing-150700,,,,2,3,
,,Emergency Medical Services-125000,,,,,30,
,,Environmental Technology-030300,,4,3,2,5,
,,Fitness Trainer-083520,1,,1,2,2,
,,"Forensics, Evidence, and Investigation-210540",,13,14,17,33,
,,Graphic Art and Design-103000,21,16,30,18,8,
,,Health Education-083700,,2,4,1,,
,,Heavy Equipment Maintenance-094720,,,,1,1,
