,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Sacramento City Total,,,"2,253","1,985","2,151","2,453",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,298,318,197,266,
,,Administration of Justice-210500,92,97,81,76,
,,"Biology, General-040100",4,12,11,24,
,,Business Administration-050500,177,174,81,136,
,,Child Development/Early Care and Education-130500,11,13,7,13,
,,Geology-191400,,,,1,
,,"Mathematics, General-170100",12,20,17,14,
,,"Nutrition, Foods, and Culinary Arts-130600",2,2,,2,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,339,329,295,333,
,,Anthropology-220200,2,18,8,15,
,,Art-100200,5,3,14,12,
,,Child and Adolescent Development-130510,6,7,10,11,
,,Dramatic Arts-100700,3,4,3,,
,,Economics-220400,10,14,13,7,
,,English-150100,26,16,19,25,
,,"Fine Arts, General-100100",1,2,2,4,
,,Geography-220600,2,4,3,5,
,,Global Studies-221020,11,5,2,3,
,,History-220500,18,27,9,13,
,,Journalism-060200,5,4,3,7,
,,Kinesiology-127000,8,6,11,11,
,,"Law, General-140100",1,9,13,26,
,,Liberal Studies-490120,2,,,4,
,,Music-100400,,5,,1,
,,Philosophy-150900,9,1,3,5,
,,Political Science-220700,28,27,17,25,
,,"Psychology, General-200100",121,109,108,97,
,,Social Justice: Ethnic Studies-220150,,,,1,
,,Sociology-220800,40,43,32,40,
,,Spanish-110500,3,5,6,1,
,,Speech Communication-150600,38,20,19,20,
,Associate of Science (A.S.) degree                           Total,,616,531,690,756,
,,Accounting-050200,47,44,54,58,
,,Administration of Justice-210500,31,28,27,23,
,,Aeronautical and Aviation Technology-095000,9,8,4,3,
,,Air Traffic Control-302030,10,8,1,5,
,,Architectural Drafting-095310,2,1,4,4,
,,Aviation Airframe Mechanics-095010,,,2,1,
,,Aviation and Airport Management and Services-302000,5,,1,4,
,,Aviation Powerplant Mechanics-095020,,1,2,1,
,,Biological and Physical Sciences (and Mathematics)-490200,102,94,114,132,
,,"Biology, General-040100",42,37,32,25,
,,Business Administration-050500,,,63,37,
,,"Business and Commerce, General-050100",20,19,21,26,
,,Business Management-050600,6,10,10,15,
,,"Chemistry, General-190500",18,12,14,9,
,,Computer Information Systems-070200,8,12,11,12,
,,Computer Infrastructure and Support-070800,17,21,26,20,
,,Computer Networking-070810,15,14,12,9,
,,Computer Programming-070710,1,4,4,4,
,,Computer Software Development-070700,8,16,19,36,
,,Cosmetology and Barbering-300700,10,4,10,13,
,,Dental Assistant-124010,7,6,17,9,
,,Dental Hygienist-124020,22,14,15,15,
,,Digital Media-061400,23,22,26,27,
,,Drafting Technology-095300,3,2,1,1,
,,"Electrical, Electronic, and Electro-Mechanical Drafting-095330",,,,1,
,,Electronics and Electric Technology-093400,2,1,,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",5,10,12,20,
,,Environmental Control Technology-094600,8,12,8,5,
,,Gerontology-130900,4,2,2,2,
,,"Health Occupations, General-120100",14,25,30,57,
,,Industrial Systems Technology and Maintenance-094500,,,1,,
,,Laboratory Science Technology-095500,1,,2,3,
,,Library Technician (Aide)-160200,10,5,9,11,
,,Licensed Vocational Nursing-123020,34,13,16,33,
,,Marketing and Distribution-050900,3,,3,5,
,,"Mathematics, General-170100",16,11,11,19,
,,Mechanical Drafting-095340,1,,,,
,,Occupational Therapy Technology-121800,20,5,24,19,
,,Physical Therapist Assistant-122200,20,16,27,18,
,,Piloting-302020,7,5,3,8,
,,Railroad and Light Rail Operations-094740,2,,1,3,
,,Real Estate-051100,,3,,5,
,,Registered Nursing-123010,62,45,51,58,
,,Small Business and Entrepreneurship-050640,,1,,,
,,Telecommunications Technology-093430,1,,,,
,Associate of Arts (A.A.) degree                              Total,,631,411,482,555,
,,Anthropology-220200,1,3,4,3,
,,Applied Photography-101200,5,1,7,8,
,,Art-100200,6,7,9,11,
,,Behavioral Science-200300,,,,1,
,,Biological and Physical Sciences (and Mathematics)-490200,49,37,56,57,
,,Child Development Administration and Management-130580,5,1,3,3,
,,Child Development/Early Care and Education-130500,15,9,21,24,
,,Commercial Music-100500,2,10,7,10,
,,Dramatic Arts-100700,,1,,,
,,English-150100,3,2,2,3,
,,Environmental Studies-030200,1,1,1,,
,,Ethnic Studies-220300,3,2,3,7,
,,"Family and Consumer Sciences, General-130100",,,,1,
,,Fashion Production-130330,4,4,6,5,
,,Film Studies-061200,3,5,4,6,
,,"Fine Arts, General-100100",,1,3,3,
,,French-110200,,1,1,1,
,,History-220500,3,7,3,2,
,,Human Services-210400,2,5,2,7,
,,Humanities and Fine Arts-490310,70,41,46,49,
,,International Studies-221000,,1,,,
,,Journalism-060200,2,,3,2,
,,"Liberal Arts and Sciences, General-490100",308,191,229,257,
,,Physical Education-083500,1,,2,5,
,,Political Science-220700,8,3,5,6,
,,"Psychology, General-200100",46,34,29,46,
,,Sign Language-085000,,,2,4,
,,"Social Sciences, General-220100",49,9,4,,
,,Sociology-220800,23,20,18,14,
,,Speech Communication-150600,17,12,8,13,
,,Technical Theater-100600,2,,,1,
,,Transfer Studies-490110,,,,1,
,,Women's Studies-220110,3,3,4,5,
,Certificate requiring 60+ semester units                     Total,,14,19,7,14,
,,Aeronautical and Aviation Technology-095000,14,19,7,14,
,Certificate requiring 30 to < 60 semester units              Total,,190,184,220,270,
,,Accounting-050200,14,14,18,14,
,,Applied Photography-101200,,1,,,
,,Aviation Airframe Mechanics-095010,1,2,3,24,
,,Aviation and Airport Management-302010,1,,1,4,
,,Aviation Powerplant Mechanics-095020,,4,3,28,
,,Child Development/Early Care and Education-130500,,1,,,
,,Commercial Music-100500,3,1,2,7,
,,Community Health Care Worker-126100,27,6,4,5,
,,Computer Information Systems-070200,1,2,2,1,
,,Computer Infrastructure and Support-070800,7,11,15,13,
,,Computer Networking-070810,7,4,11,3,
,,Computer Programming-070710,2,1,2,1,
,,Computer Software Development-070700,3,5,2,10,
,,Cosmetology and Barbering-300700,27,17,43,26,
,,Dental Assistant-124010,2,2,10,11,
,,Digital Media-061400,,16,13,5,
,,Drafting Technology-095300,3,1,2,1,
,,Environmental Control Technology-094600,52,49,23,19,
,,Journalism-060200,,1,1,,
,,Laboratory Science Technology-095500,,14,27,21,
,,Licensed Vocational Nursing-123020,36,19,17,40,
,,Piloting-302020,4,,3,10,
,,Real Estate-051100,,1,,1,
,,Transfer Studies-490110,,12,18,26,
,Certificate requiring 16 to fewer than 30 semester units     Total,,123,141,207,194,
,,Accounting-050200,8,13,18,14,
,,Animation-061440,,,,4,
,,Applied Photography-101200,,6,3,14,
,,Business Management-050600,15,5,7,11,
,,Computer Information Systems-070200,5,2,3,14,
