,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Saddleback Total,,,"6,534","7,529","8,840","8,938","8,832",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,449,448,490,484,583,
,,"Biology, General-040100",21,21,11,15,9,
,,Business Administration-050500,313,321,362,344,420,
,,Child Development/Early Care and Education-130500,25,25,19,12,20,
,,Environmental Science-030100,,1,,1,1,
,,Geology-191400,2,1,,2,,
,,"Health Occupations, General-120100",,,,,2,
,,Hospitality-130700,,,1,3,4,
,,"Mathematics, General-170100",52,39,49,42,59,
,,"Nutrition, Foods, and Culinary Arts-130600",12,2,2,4,3,
,,"Physics, General-190200",24,23,21,26,35,
,,Plant Science-010300,,,,3,,
,,Television (including combined TV/Film/Video)-060420,,15,25,32,30,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,723,727,685,733,877,
,,Anthropology-220200,14,20,10,15,14,
,,Art-100200,45,35,29,36,43,
,,Child and Adolescent Development-130510,41,59,56,52,56,
,,Dramatic Arts-100700,10,4,3,10,8,
,,Economics-220400,58,85,101,121,186,
,,English-150100,36,40,45,35,40,
,,"Fine Arts, General-100100",7,14,11,13,4,
,,Geography-220600,5,3,,6,,
,,Global Studies-221020,1,3,5,3,1,
,,History-220500,25,38,37,27,23,
,,Journalism-060200,15,12,5,2,6,
,,Kinesiology-127000,19,13,12,20,23,
,,"Law, General-140100",,,,,2,
,,Liberal Studies-490120,2,3,6,2,6,
,,Music-100400,1,1,1,5,9,
,,Philosophy-150900,3,3,4,2,4,
,,Political Science-220700,50,46,36,40,50,
,,"Psychology, General-200100",199,184,176,186,224,
,,Sociology-220800,65,42,39,34,34,
,,Spanish-110500,3,7,6,3,10,
,,Speech Communication-150600,124,115,103,121,134,
,Associate of Science (A.S.) degree                           Total,,669,720,680,687,799,
,,Accounting-050200,5,17,14,12,12,
,,Alcohol and Controlled Substances-210440,8,11,7,7,17,
,,Alternative Fuels and Advanced Transportation Technology-094840,1,1,1,1,1,
,,Architecture and Architectural Technology-020100,2,4,3,5,6,
,,Astronomy-191100,1,1,3,4,2,
,,Automotive Technology-094800,8,6,9,19,17,
,,"Biology, General-040100",19,31,34,32,28,
,,"Business and Commerce, General-050100",12,13,8,9,17,
,,Business Management-050600,,,,1,3,
