,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
San Diego City Total,,,"1,396","1,268","1,270","1,425",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,143,122,94,134,
,,"Biology, General-040100",19,14,11,16,
,,Business Administration-050500,82,74,65,89,
,,"Mathematics, General-170100",19,8,3,6,
,,"Physics, General-190200",7,5,,1,
,,Plant Science-010300,3,3,3,2,
,,Television (including combined TV/Film/Video)-060420,13,18,12,20,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,214,208,201,213,
,,Anthropology-220200,4,7,3,8,
,,Art-100200,7,10,7,15,
,,Dramatic Arts-100700,1,2,8,3,
,,Economics-220400,8,6,5,15,
,,English-150100,18,17,16,14,
,,"Fine Arts, General-100100",1,2,2,5,
,,Geography-220600,1,1,3,1,
,,History-220500,5,7,7,10,
,,Journalism-060200,4,4,2,2,
,,Kinesiology-127000,4,7,4,3,
,,"Law, General-140100",4,1,5,4,
,,Liberal Studies-490120,3,2,3,2,
,,Philosophy-150900,6,2,3,3,
,,Political Science-220700,8,10,10,11,
,,"Psychology, General-200100",87,90,80,76,
,,Sociology-220800,18,22,15,20,
,,Spanish-110500,5,1,3,3,
,,Speech Communication-150600,30,17,25,18,
,Associate of Science (A.S.) degree                           Total,,283,263,269,287,
,,Accounting-050200,11,10,10,11,
,,Alcohol and Controlled Substances-210440,17,24,15,14,
,,"Biology, General-040100",78,62,62,78,
,,Biotechnology and Biomedical Technology-043000,1,,,,
,,Broadcast Journalism-060430,,1,1,1,
,,Business Administration-050500,9,7,5,3,
,,"Chemistry, General-190500",2,,1,2,
,,Commercial Music-100500,7,4,2,9,
,,Computer Infrastructure and Support-070800,23,24,47,46,
,,Computer Programming-070710,,,3,,
,,Cosmetology and Barbering-300700,6,6,6,10,
,,Electrical Systems and Power Transmission-093440,5,3,8,8,
,,"Engineering, General (requires Calculus) (Transfer)-090100",5,7,4,4,
,,Environmental Control Technology-094600,7,9,6,4,
,,Environmental Technology-030300,,1,,,
,,Film Production-061220,5,9,3,6,
,,Geography-220600,1,,,,
,,Geology-191400,1,,,,
,,Human Services-210400,56,22,18,10,
,,Machining and Machine Tools-095630,3,,2,1,
,,Manufacturing and Industrial Technology-095600,,,2,3,
,,Multimedia-061410,1,,,,
,,Office Technology/Office Computer Applications-051400,1,1,,,
,,Other Engineering and Related Industrial Technologies-099900,4,1,,,
,,"Physics, General-190200",2,,1,,
,,Plant Science-010300,1,2,3,1,
,,"Plumbing, Pipefitting and Steamfitting-095230",,1,,,
,,Preshool Age Children-130540,26,15,18,11,
,,Radio-060410,1,,,,
,,Railroad and Light Rail Operations-094740,,2,,1,
,,Real Estate-051100,,,1,1,
