,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
San Jose City Total,,,"1,610","1,743","1,335","1,279","1,492",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,161,158,92,102,155,
,,Administration of Justice-210500,28,29,15,17,28,
,,"Biology, General-040100",,7,6,6,11,
,,Business Administration-050500,90,84,54,58,73,
,,Child Development/Early Care and Education-130500,9,10,2,5,4,
,,Computer Science (Transfer)-070600,,,,,1,
,,"Health Occupations, General-120100",,,3,4,8,
,,"Mathematics, General-170100",32,25,12,9,25,
,,"Nutrition, Foods, and Culinary Arts-130600",2,3,,3,5,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,218,229,163,180,176,
,,Art-100200,10,16,2,5,6,
,,Child and Adolescent Development-130510,15,18,16,18,20,
,,Dramatic Arts-100700,3,1,1,,2,
,,Economics-220400,13,31,14,23,19,
,,English-150100,6,5,5,3,1,
,,"Fine Arts, General-100100",,,,,1,
,,Geography-220600,,1,,,,
,,Global Studies-221020,2,1,,1,1,
,,History-220500,3,3,2,3,4,
,,Journalism-060200,4,1,1,1,,
,,Kinesiology-127000,10,15,8,8,10,
,,"Law, General-140100",,3,1,1,8,
,,Liberal Studies-490120,,1,,,,
,,Political Science-220700,9,8,6,7,8,
,,"Psychology, General-200100",62,53,47,43,38,
,,Social Justice Studies-220130,,6,6,8,3,
,,Social Justice: African American Studies-220180,,,5,3,2,
,,Social Justice: Asian American Studies-220190,,,,3,1,
,,Social Justice: Chicano Studies-220160,,5,6,7,4,
,,Social Justice: Gender Studies-220170,,1,4,5,4,
,,Sociology-220800,46,40,28,23,23,
,,Spanish-110500,4,3,1,2,2,
,,Speech Communication-150600,31,17,10,16,19,
,Associate of Science (A.S.) degree                           Total,,129,158,142,89,118,
,,Accounting-050200,10,7,5,9,9,
,,Administration of Justice-210500,4,1,,2,2,
,,Alcohol and Controlled Substances-210440,2,6,,3,3,
,,Art-100200,,,1,1,1,
,,Business Management-050600,2,3,1,3,9,
,,Child Development/Early Care and Education-130500,6,12,6,2,1,
,,Clinical Medical Assisting-120810,17,16,31,21,13,
,,Computer Networking-070810,19,16,13,7,8,
,,Computer Programming-070710,13,17,10,2,6,
,,Construction Crafts Technology-095200,7,8,11,5,3,
,,Cosmetology and Barbering-300700,9,10,13,2,8,
,,Dental Assistant-124010,5,11,11,3,7,
,,Digital Media-061400,4,2,,1,1,
,,Environmental Control Technology-094600,6,11,12,5,11,
,,Industrial Systems Technology and Maintenance-094500,2,4,7,1,3,
,,Laser and Optical Technology-093480,3,2,1,2,3,
,,"Liberal Arts and Sciences, General-490100",,,,,1,
,,Machining and Machine Tools-095630,4,2,3,2,2,
,,Marketing and Distribution-050900,2,8,3,3,8,
,,Medical Assisting-120800,11,9,10,8,9,
,,Office Technology/Office Computer Applications-051400,,1,,1,,
,,Real Estate-051100,,1,,,1,
,,Small Business and Entrepreneurship-050640,1,7,2,4,9,
,,Website Design and Development-061430,2,1,,,,
,,World Wide Web Administration-070900,,3,2,2,,
