,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Santa Monica Total,,,"8,327","9,027","14,164","12,629",
,Baccalaureate of Science (B.S.) degree                       Total,,21,27,16,18,
,,Other Fine and Applied Arts-109900,21,27,16,18,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,397,304,395,397,
,,Administration of Justice-210500,49,40,48,44,
,,Business Administration-050500,277,199,297,228,
,,Child Development/Early Care and Education-130500,26,32,21,21,
,,"Mathematics, General-170100",34,25,20,86,
,,"Nutrition, Foods, and Culinary Arts-130600",11,8,9,18,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,768,770,948,"1,148",
,,Anthropology-220200,20,27,24,24,
,,Art-100200,37,35,53,62,
,,Child and Adolescent Development-130510,29,25,16,35,
,,Dramatic Arts-100700,15,20,14,10,
,,Economics-220400,59,58,75,254,
,,"Fine Arts, General-100100",13,29,25,65,
,,Geography-220600,5,6,9,13,
,,History-220500,32,42,59,58,
,,Journalism-060200,8,14,13,11,
,,Kinesiology-127000,23,11,17,16,
,,Political Science-220700,92,95,104,123,
,,"Psychology, General-200100",181,191,198,202,
,,Social Justice: Gender Studies-220170,7,9,6,11,
,,Sociology-220800,77,67,80,93,
,,Spanish-110500,10,6,1,6,
,,Speech Communication-150600,160,135,254,165,
,Associate of Science (A.S.) degree                           Total,,531,593,681,718,
,,Accounting-050200,53,51,59,56,
,,Administrative Medical Assisting-120820,6,11,4,10,
,,Advertising-050910,5,12,15,19,
,,Animation-061440,15,11,21,29,
,,Applied Photography-101200,11,11,10,11,
,,Architecture and Architectural Technology-020100,,2,9,12,
,,Business Administration-050500,93,102,84,121,
,,Child Development/Early Care and Education-130500,40,45,41,32,
,,Children with Special Needs-130520,3,8,6,6,
,,Coaching-083560,5,6,2,8,
,,Computer Programming-070710,40,38,45,59,
,,Computer Science (Transfer)-070600,29,46,45,42,
,,Cosmetology and Barbering-300700,7,14,16,13,
,,Database Design and Administration-070720,2,1,5,5,
,,Digital Media-061400,6,2,7,1,
,,Energy Systems Technology-094610,,,1,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",6,2,8,17,
,,Environmental Technology-030300,11,5,3,5,
,,Fashion Design-130310,11,10,20,18,
,,Fashion Merchandising-130320,11,17,14,15,
,,Film Production-061220,24,36,57,37,
,,Graphic Art and Design-103000,23,30,34,36,
,,Insurance-051200,,1,2,3,
,,Interior Design and Merchandising-130200,12,12,21,13,
,,Journalism-060200,3,3,8,5,
,,Legal Office Technology-051410,3,1,2,2,
,,Logistics and Materials Transportation-051000,7,3,5,11,
,,Management Development and Supervision-050630,15,7,12,12,
,,Medical Office Technology-051420,6,10,8,11,
,,Office Technology/Office Computer Applications-051400,5,3,7,11,
,,Radio and Television-060400,2,2,8,6,
,,Registered Nursing-123010,35,63,65,62,
,,Respiratory Care/Therapy-121000,12,15,11,9,
,,Sales and Salesmanship-050940,11,2,11,12,
