,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Santa Rosa Total,,,"5,862","6,063","5,728","6,575","6,515",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,275,109,144,174,224,
,,Administration of Justice-210500,67,50,51,49,27,
,,"Agriculture Business, Sales and Service-011200",4,,3,1,3,
,,Animal Science-010200,,1,2,,,
,,"Biology, General-040100",4,12,6,11,9,
,,Business Administration-050500,156,,34,68,106,
,,Child Development/Early Care and Education-130500,14,17,16,11,16,
,,"Health Occupations, General-120100",2,1,2,1,2,
,,Hospitality-130700,3,4,2,2,4,
,,"Mathematics, General-170100",22,17,15,16,30,
,,"Physics, General-190200",2,7,9,2,17,
,,Plant Science-010300,1,,,2,1,
,,Television (including combined TV/Film/Video)-060420,,,4,11,9,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,553,446,396,391,383,
,,Anthropology-220200,29,15,10,14,14,
,,Art-100200,10,12,14,19,16,
,,Dramatic Arts-100700,7,10,9,6,13,
,,Economics-220400,20,9,14,13,21,
,,English-150100,25,27,19,21,18,
,,"Fine Arts, General-100100",7,9,15,9,11,
,,History-220500,36,30,25,21,22,
,,Journalism-060200,6,2,4,3,4,
,,Kinesiology-127000,5,10,14,13,10,
,,Philosophy-150900,3,1,3,7,3,
,,Political Science-220700,25,20,26,21,16,
,,"Psychology, General-200100",184,158,123,150,129,
,,Social Justice Studies-220130,15,12,18,7,16,
,,Sociology-220800,115,89,66,54,45,
,,Spanish-110500,6,7,9,6,7,
,,Speech Communication-150600,60,35,27,27,38,
,Associate of Science (A.S.) degree                           Total,,757,928,838,811,878,
,,"Agriculture Business, Sales and Service-011200",2,,,,,
,,"Agriculture Technology and Sciences, General-010100",4,5,5,2,6,
,,Animal Science-010200,,1,1,,,
,,Animation-061440,,1,12,5,5,
,,Biological and Physical Sciences (and Mathematics)-490200,349,286,297,306,346,
,,"Biology, General-040100",10,11,4,3,4,
,,Business Administration-050500,,145,92,58,33,
,,"Chemistry, General-190500",4,6,7,3,7,
,,Civil and Construction Management Technology-095700,,,,3,1,
,,Clinical Medical Assisting-120810,1,,,,,
,,Community Health Care Worker-126100,,,,,1,
,,Computer Networking-070810,,,,,3,
,,Computer Science (Transfer)-070600,28,21,26,24,33,
,,Dental Hygienist-124020,45,24,22,24,24,
,,Diesel Technology-094700,,,,,2,
,,Dietetic Technology-130660,10,12,6,,2,
,,Electro-Mechanical Technology-093500,,,,,1,
,,Electronic Game Design-061420,8,2,12,12,9,
,,Electronics and Electric Technology-093400,,2,1,,5,
,,"Engineering, General (requires Calculus) (Transfer)-090100",21,19,13,16,25,
,,Equine Science-010240,3,1,1,,1,
,,Film Production-061220,6,9,13,3,4,
,,Fire Technology-213300,30,31,21,30,12,
,,Geographic Information Systems-220610,2,1,,,,
,,"Health Professions, Transfer Core Curriculum-126000",91,116,85,111,108,
,,Journalism-060200,,,,,1,
,,Landscape Design and Maintenance-010910,3,1,7,8,2,
,,Legal and Community Interpretation-214000,1,,,,,
,,Licensed Vocational Nursing-123020,1,,,,,
,,Machining and Machine Tools-095630,3,7,3,2,5,
,,"Mathematics, General-170100",,15,14,14,28,
,,Medical Assisting-120800,4,22,16,8,11,
,,Natural Resources-011500,1,,3,,,
,,Nursery Technology-010930,2,2,1,,1,
,,Office Technology/Office Computer Applications-051400,4,9,14,11,12,
,,Paramedic-125100,3,5,2,5,3,
,,Parks and Outdoor Recreation-011510,8,9,5,3,12,
,,Pharmacy Technology-122100,4,5,,2,4,
,,"Physics, General-190200",3,8,3,3,4,
,,Radiologic Technology-122500,15,10,22,17,18,
,,Registered Nursing-123010,54,106,100,97,110,
,,Surveying-095730,13,2,6,8,6,
,,"Viticulture, Enology, and Wine Business-010400",16,18,4,9,8,
,,Water and Wastewater Technology-095800,3,6,3,6,10,
,,Website Design and Development-061430,5,9,14,15,9,
,,Welding Technology-095650,,1,3,3,2,
,Associate of Arts (A.A.) degree                              Total,,859,727,705,769,754,
,,Administration of Justice-210500,1,2,,,,
,,Alcohol and Controlled Substances-210440,6,5,,,,
,,Anthropology-220200,12,10,11,10,10,
,,Area Studies-221010,6,6,3,7,1,
,,Art-100200,24,30,17,30,26,
,,Athletic Training and Sports Medicine-122800,1,7,11,9,11,
,,Automotive Technology-094800,2,3,3,8,2,
,,Business Administration-050500,2,1,1,2,1,
,,Business Management-050600,18,20,23,14,15,
,,Child Development/Early Care and Education-130500,25,28,18,13,18,
,,Culinary Arts-130630,3,6,2,4,5,
,,Dance-100800,3,2,1,,3,
,,Dietetic Services and Management-130620,1,1,1,,1,
,,Dramatic Arts-100700,6,5,3,,2,
,,Economics-220400,1,,,,,
,,Environmental Studies-030200,10,13,10,12,13,
,,Ethnic Studies-220300,,1,1,1,,
,,Fashion Design-130310,1,,5,5,5,
,,Fashion Merchandising-130320,1,1,,3,1,
,,Fashion-130300,,,,,1,
,,Film Studies-061200,3,4,4,8,8,
,,"Fine Arts, General-100100",1,1,,,,
,,Fitness Trainer-083520,7,6,,,,
,,Floriculture / Floristry-010920,,1,4,5,1,
,,French-110200,4,4,5,1,1,
,,Graphic Art and Design-103000,4,9,6,11,6,
,,History-220500,1,,,1,,
,,Human Services-210400,6,6,18,25,13,
,,Humanities-490300,112,99,106,130,150,
,,Interior Design and Merchandising-130200,4,2,5,5,5,
,,Journalism-060200,2,1,1,,,
,,Kinesiology-127000,5,1,3,1,3,
,,"Mathematics, General-170100",24,,,,,
,,Multimedia-061410,20,8,10,11,11,
,,Music-100400,4,4,5,5,,
,,Paralegal-140200,10,7,11,19,11,
,,Philosophy-150900,2,1,4,3,2,
,,Political Science-220700,3,5,3,4,3,
,,"Psychology, General-200100",24,19,19,23,38,
,,Real Estate-051100,8,16,16,8,13,
,,Religious Studies-151000,9,2,1,3,,
,,Restaurant and Food Services and Management-130710,2,4,,3,5,
,,"Social Sciences, General-220100",463,378,358,366,359,
,,Spanish-110500,17,8,16,19,10,
,,Women's Studies-220110,1,,,,,
,Certificate requiring 60+ semester units                     Total,,2,1,21,17,17,
,,Dental Hygienist-124020,,,,1,,
,,Radiologic Technology-122500,2,1,21,16,17,
,Certificate requiring 30 to < 60 semester units              Total,,767,"1,111",974,"1,080","1,040",
,,Agricultural Pest Control Adviser and Operator (Licensed)-010310,1,,1,1,,
,,Alcohol and Controlled Substances-210440,5,8,,,,
,,Automotive Technology-094800,1,1,3,9,4,
,,Child Development/Early Care and Education-130500,22,26,12,13,,
,,Clinical Medical Assisting-120810,1,,,,,
,,Computer Networking-070810,,,,,2,
,,Dramatic Arts-100700,5,6,5,4,8,
,,E-Commerce (Technology emphasis)-070910,1,,,,,
,,Electrical-095220,,,,1,,
,,Fire Technology-213300,15,3,9,12,9,
,,Graphic Art and Design-103000,6,5,2,3,,
,,Human Services-210400,3,11,21,30,15,
,,Interior Design and Merchandising-130200,4,3,4,8,5,
,,Legal Office Technology-051410,,1,,,,
,,Medical Assisting-120800,6,20,16,13,16,
,,Paralegal-140200,,,,,4,
,,Paramedic-125100,10,28,,21,21,
,,Transfer Studies-490110,687,999,901,965,956,
,Certificate requiring 16 to fewer than 30 semester units     Total,,792,"1,040","1,081","1,132","1,170",
,,Accounting-050200,57,69,66,45,51,
,,Administration of Justice-210500,5,3,7,6,6,
,,"Agriculture Technology and Sciences, General-010100",3,1,1,2,2,
,,Alternative Fuels and Advanced Transportation Technology-094840,,,,,1,
,,Animation-061440,,,5,2,5,
,,Applied Photography-101200,5,3,4,12,7,
,,Banking and Finance-050400,4,2,2,3,4,
,,Business Management-050600,22,13,15,12,9,
,,Child Development/Early Care and Education-130500,,,,,20,
,,Civil and Construction Management Technology-095700,,,,2,2,
,,Community Health Care Worker-126100,1,,,,,
,,Computer Support-070820,14,11,7,13,13,
,,Corrections-210510,2,1,,2,1,
,,Culinary Arts-130630,8,9,10,22,15,
,,Dental Assistant-124010,25,16,15,17,17,
,,Diesel Technology-094700,,,1,5,2,
,,Dietetic Services and Management-130620,9,11,4,,4,
,,Dramatic Arts-100700,5,4,3,8,8,
,,Electro-Mechanical Technology-093500,,,,,2,
,,Electronic Game Design-061420,4,5,5,10,9,
,,Electronics and Electric Technology-093400,,12,2,2,3,
,,Equine Science-010240,,,1,,1,
,,Fashion Design-130310,6,,2,5,6,
,,Fashion Merchandising-130320,2,5,3,4,3,
,,Film Production-061220,5,10,9,3,6,
,,Fire Academy-213350,78,76,77,78,77,
,,Fitness Trainer-083520,9,6,9,1,27,
,,Floriculture / Floristry-010920,2,1,3,8,6,
,,Geographic Information Systems-220610,2,,,,,
,,Hospitality-130700,,,,,1,
,,Interior Design and Merchandising-130200,4,6,4,6,7,
,,Journalism-060200,2,,,2,1,
,,Landscape Design and Maintenance-010910,6,3,8,4,1,
,,Legal and Community Interpretation-214000,1,,,,,
,,"Liberal Arts and Sciences, General-490100",295,531,581,593,611,
,,Lodging Management-130720,7,3,2,2,1,
,,Machining and Machine Tools-095630,4,18,19,17,16,
,,Management Development and Supervision-050630,2,2,1,,,
,,Multimedia-061410,8,4,7,10,8,
,,Nursery Technology-010930,2,1,2,,,
,,Office Technology/Office Computer Applications-051400,3,17,13,11,7,
,,Parks and Outdoor Recreation-011510,5,9,3,5,8,
,,Pharmacy Technology-122100,7,1,1,6,4,
,,Police Academy-210550,96,100,100,112,108,
,,Probation and Parole-210520,2,7,1,4,3,
,,Real Estate-051100,12,8,12,7,10,
,,Restaurant and Food Services and Management-130710,5,1,3,8,3,
,,Surveying-095730,8,6,11,5,3,
,,Veterinary Technician (Licensed)-010210,26,37,21,36,25,
,,"Viticulture, Enology, and Wine Business-010400",20,12,15,7,11,
,,Vocational ESL-493100,1,,,,2,
,,Water and Wastewater Technology-095800,4,7,7,15,9,
,,Website Design and Development-061430,3,7,8,9,5,
,,Welding Technology-095650,1,2,11,11,19,
,Certificate requiring 8 to fewer than 16 semester units      Total,,54,52,113,120,140,
,,Business Management-050600,,,,,6,
,,Computer Graphics and Digital Imagery-061460,,,,4,,
,,Fitness Trainer-083520,,,,21,58,
,,Food Processing and Related Technologies-011300,3,,,,,
,,Graphic Art and Design-103000,3,6,4,7,2,
,,Sales and Salesmanship-050940,19,16,13,34,33,
,,Small Business and Entrepreneurship-050640,9,8,3,10,10,
,,Software Applications-070210,9,9,3,3,1,
,,Tax Studies-050210,,4,,,,
,,Technical Theater-100600,,,54,,,
,,Vocational ESL-493100,11,4,9,5,6,
,,Welding Technology-095650,,5,27,36,24,
,Certificate requiring 6 to < 18 semester units               Total,,658,525,512,659,558,
,,Automotive Technology-094800,3,64,90,95,2,
,,Certified Nurse Assistant-123030,106,80,72,83,83,
,,Child Development/Early Care and Education-130500,81,71,49,80,73,
,,Community Health Care Worker-126100,,,1,,1,
,,Computer Graphics and Digital Imagery-061460,40,22,24,25,18,
,,Computer Infrastructure and Support-070800,,,,23,21,
,,Computer Networking-070810,5,,5,2,14,
,,Culinary Arts-130630,1,2,5,10,4,
,,Dance-100800,2,2,,2,1,
,,Diesel Technology-094700,7,10,9,28,4,
,,Electro-Mechanical Technology-093500,,5,,10,,
,,Electronics and Electric Technology-093400,8,6,9,18,15,
,,Emergency Medical Services-125000,237,113,106,138,171,
,,Fitness Trainer-083520,24,20,7,14,23,
,,Home Health Aide-123080,,1,,1,,
,,"Information Technology, General-070100",40,26,21,29,22,
,,Machining and Machine Tools-095630,,17,38,25,18,
,,Natural Resources-011500,,1,,,,
,,Office Technology/Office Computer Applications-051400,12,5,7,6,6,
,,Other Business and Management-059900,6,,,,,
,,Other Information Technology-079900,22,30,13,24,23,
,,Parks and Outdoor Recreation-011510,,1,,,,
,,Real Estate-051100,38,27,41,24,29,
,,Software Applications-070210,10,6,,,,
,,Study Skills-493014,,,6,,2,
,,"Viticulture, Enology, and Wine Business-010400",,1,,,,
,,Water and Wastewater Technology-095800,16,15,9,22,28,
,"Other Credit Award, < 6 semester units                       Total",,958,921,781,"1,166","1,154",
,,Administration of Justice-210500,237,202,243,312,341,
,,Automotive Technology-094800,,49,82,73,,
,,Computer Graphics and Digital Imagery-061460,20,30,12,12,26,
,,Computer Infrastructure and Support-070800,,,,51,74,
,,Corrections-210510,49,139,17,55,74,
,,Culinary Arts-130630,3,2,9,16,6,
,,Emergency Medical Services-125000,613,472,387,517,528,
,,"Health Occupations, General-120100",1,,,,,
,,Office Technology/Office Computer Applications-051400,35,27,31,130,105,
,Noncredit award requiring from 480 to < 960 hours            Total,,21,13,10,18,26,
,,English as a Second Language - Integrated-493087,21,9,,,1,
,,English as a Second Language - Listening and Speaking-493086,,4,9,18,25,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,,1,,,
,Noncredit award requiring from 192 to < 288 hours            Total,,11,9,30,39,45,
,,English as a Second Language - Integrated-493087,11,9,30,39,45,
,Noncredit award requiring from 144 to < 192 hours            Total,,1,,,,,
,,Landscape Design and Maintenance-010910,1,,,,,
,Noncredit award requiring from 96 to < 144 hours             Total,,14,112,27,65,41,
,,Construction Crafts Technology-095200,9,17,4,14,7,
,,Landscape Design and Maintenance-010910,5,1,,1,,
,,Office Technology/Office Computer Applications-051400,,45,9,30,17,
,,Small Business and Entrepreneurship-050640,,11,9,5,8,
,,Software Applications-070210,,38,5,15,9,
,Noncredit award requiring from 48 to < 96 hours              Total,,140,69,49,72,51,
,,"Business and Commerce, General-050100",6,7,12,,,
,,Child Development/Early Care and Education-130500,4,11,12,18,5,
,,Office Technology/Office Computer Applications-051400,45,36,19,21,16,
,,Small Business and Entrepreneurship-050640,13,15,6,3,2,
,,Software Applications-070210,72,,,,,
,,Tax Studies-050210,,,,30,28,
,Noncredit award requiring < 48 hours                         Total,,,,47,62,34,
,,"Business and Commerce, General-050100",,,,16,26,
,,Landscape Design and Maintenance-010910,,,47,46,8,
