,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Santiago Canyon Total,,,"3,315","3,773","4,181","3,468",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,210,275,234,221,
,,"Biology, General-040100",11,32,19,9,
,,Business Administration-050500,141,145,139,133,
,,Child Development/Early Care and Education-130500,4,21,2,5,
,,Computer Science (Transfer)-070600,4,15,17,14,
,,Geology-191400,,1,3,2,
,,"Mathematics, General-170100",34,41,29,34,
,,"Nutrition, Foods, and Culinary Arts-130600",,4,7,4,
,,"Physics, General-190200",16,16,18,20,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,381,374,375,340,
,,Anthropology-220200,3,3,3,2,
,,Art-100200,18,31,20,23,
,,Child and Adolescent Development-130510,19,,10,18,
,,Economics-220400,14,6,36,44,
,,English-150100,18,16,19,14,
,,Geography-220600,5,2,2,4,
,,History-220500,19,23,13,16,
,,Human Services-210400,3,4,6,5,
,,Kinesiology-127000,29,31,18,21,
,,Liberal Studies-490120,16,15,7,12,
,,Philosophy-150900,4,3,8,2,
,,Political Science-220700,17,21,32,18,
,,"Psychology, General-200100",120,132,126,89,
,,Social Justice: Gender Studies-220170,,,1,,
,,Sociology-220800,44,31,28,16,
,,Spanish-110500,3,5,1,3,
,,Speech Communication-150600,49,51,45,53,
,Associate of Science (A.S.) degree                           Total,,260,371,356,311,
,,Accounting-050200,5,2,5,4,
,,Astronomy-191100,1,1,,,
,,Biological and Physical Sciences (and Mathematics)-490200,135,161,159,140,
,,"Biology, General-040100",24,40,29,28,
,,Biotechnology and Biomedical Technology-043000,,1,2,2,
,,Business Administration-050500,2,5,4,2,
,,Business Management-050600,5,8,11,4,
,,Carpentry-095210,1,2,1,,
,,"Chemistry, General-190500",24,40,24,30,
,,Computer Information Systems-070200,1,2,1,,
,,Computer Science (Transfer)-070600,4,4,11,9,
,,Cosmetology and Barbering-300700,,1,1,1,
,,Drywall and Insulation-095280,1,,1,,
,,Electrical Systems and Power Transmission-093440,,,1,,
,,Environmental Technology-030300,1,,1,,
,,Geology-191400,,1,,3,
,,Graphic Art and Design-103000,4,1,4,,
,,"Health Professions, Transfer Core Curriculum-126000",,17,30,40,
,,Industrial Systems Technology and Maintenance-094500,,3,1,,
,,Kinesiology-127000,,,,1,
,,Marketing and Distribution-050900,4,4,2,,
,,Mill and Cabinet Work-095250,,1,,1,
,,Other Business and Management-059900,,1,,2,
,,Public Administration-210200,,,1,,
