,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Santa Barbara Total,,,"5,610","4,352","4,087","4,517","4,702",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,282,240,259,293,286,
,,Administration of Justice-210500,50,41,35,36,37,
,,"Biology, General-040100",37,20,23,17,18,
,,Business Administration-050500,108,110,133,139,118,
,,Child Development/Early Care and Education-130500,19,14,15,13,11,
,,Computer Science (Transfer)-070600,,6,10,14,16,
,,Geology-191400,2,1,1,1,1,
,,"Mathematics, General-170100",38,24,18,37,33,
,,"Nutrition, Foods, and Culinary Arts-130600",,4,,1,5,
,,"Physics, General-190200",18,11,14,22,29,
,,Television (including combined TV/Film/Video)-060420,10,9,10,13,18,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,578,488,493,554,585,
,,Anthropology-220200,18,17,13,4,10,
,,Art-100200,16,14,4,16,13,
,,Child and Adolescent Development-130510,,,4,11,16,
,,Dramatic Arts-100700,,1,5,5,4,
,,Economics-220400,111,88,105,119,116,
,,English-150100,4,12,11,11,6,
,,"Fine Arts, General-100100",6,,2,,8,
,,Geography-220600,6,7,6,8,4,
,,Global Studies-221020,5,,6,5,5,
,,History-220500,22,19,12,14,13,
,,Journalism-060200,8,6,3,5,5,
,,Kinesiology-127000,23,28,18,23,28,
,,Liberal Studies-490120,1,5,,,,
,,Music-100400,3,1,,,1,
,,Philosophy-150900,10,13,10,10,8,
,,Political Science-220700,32,17,25,25,30,
,,"Psychology, General-200100",96,95,90,90,79,
,,Sociology-220800,104,67,58,63,65,
,,Spanish-110500,13,8,2,9,7,
,,Speech Communication-150600,100,90,119,136,167,
,Associate of Science (A.S.) degree                           Total,,447,374,366,416,440,
,,Accounting-050200,10,26,22,27,23,
,,Administration of Justice-210500,47,23,31,22,22,
,,Alcohol and Controlled Substances-210440,,,,2,,
,,Astronomy-191100,3,,,2,2,
,,Automotive Technology-094800,5,3,2,7,7,
,,Business Administration-050500,1,5,12,21,27,
,,Child Development/Early Care and Education-130500,27,13,16,23,15,
,,Computer Information Systems-070200,4,2,2,3,4,
,,Computer Infrastructure and Support-070800,6,3,,5,2,
,,Computer Networking-070810,7,3,2,6,4,
,,Computer Science (Transfer)-070600,19,22,20,24,16,
,,Construction Crafts Technology-095200,2,2,3,3,5,
,,Cosmetology and Barbering-300700,3,1,4,6,7,
,,Culinary Arts-130630,6,8,4,5,3,
,,Diving and Underwater Safety-095910,,5,2,,2,
,,Drafting Technology-095300,1,3,4,3,4,
,,"Engineering, General (requires Calculus) (Transfer)-090100",31,16,16,29,27,
,,Geology-191400,1,2,,,,
,,Health Information Technology-122300,76,71,60,60,72,
,,Horticulture-010900,4,1,3,2,1,
,,Hospitality-130700,1,1,2,1,,
,,Landscape Design and Maintenance-010910,1,3,1,3,4,
,,Licensed Vocational Nursing-123020,3,19,23,2,20,
,,Marketing and Distribution-050900,,,,9,8,
,,"Mathematics, General-170100",58,36,31,57,53,
,,Natural History-040800,,1,2,,,
,,Nursery Technology-010930,1,,,4,3,
,,Office Technology/Office Computer Applications-051400,5,,1,1,3,
,,"Physics, General-190200",27,7,10,11,13,
,,Radiologic Technology-122500,22,17,16,27,19,
,,Real Estate-051100,5,4,6,10,6,
,,Registered Nursing-123010,69,77,68,38,64,
,,Small Business and Entrepreneurship-050640,2,,3,3,4,
,Associate of Arts (A.A.) degree                              Total,,"2,077","1,555","1,436","1,535","1,581",
