,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
San Bernardino Total,,,"2,045","1,935","1,301","1,443",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,241,197,189,241,
,,Administration of Justice-210500,58,44,35,45,
,,"Biology, General-040100",5,6,6,10,
,,Business Administration-050500,113,84,85,110,
,,"Chemistry, General-190500",,1,2,3,
,,Child Development/Early Care and Education-130500,33,22,20,14,
,,Computer Science (Transfer)-070600,4,9,4,5,
,,Environmental Science-030100,,,,1,
,,Geology-191400,,1,1,1,
,,"Health Occupations, General-120100",,,5,2,
,,Hospitality-130700,,2,,2,
,,"Mathematics, General-170100",14,9,13,18,
,,"Nutrition, Foods, and Culinary Arts-130600",1,2,1,3,
,,"Physics, General-190200",5,4,4,11,
,,Television (including combined TV/Film/Video)-060420,8,13,13,16,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,218,233,225,227,
,,Anthropology-220200,8,2,5,1,
,,Art-100200,8,8,11,17,
,,Child and Adolescent Development-130510,,,7,13,
,,Dramatic Arts-100700,4,2,3,3,
,,Economics-220400,1,5,6,6,
,,English-150100,9,15,15,4,
,,Geography-220600,3,,,1,
,,History-220500,2,16,12,14,
,,Kinesiology-127000,11,16,13,10,
,,Music-100400,5,4,2,5,
,,Philosophy-150900,3,1,3,2,
,,Political Science-220700,5,8,7,6,
,,"Psychology, General-200100",96,105,94,96,
,,Social Justice: Ethnic Studies-220150,,,1,,
,,Sociology-220800,41,37,24,29,
,,Spanish-110500,7,7,6,8,
,,Speech Communication-150600,15,7,16,12,
,Associate of Science (A.S.) degree                           Total,,255,198,211,224,
,,Aeronautical and Aviation Technology-095000,1,2,3,10,
,,Aircraft Electronics (Avionics)-095040,,2,,,
,,Architecture and Architectural Technology-020100,,3,1,4,
,,Astronomy-191100,1,,,,
,,Automotive Collision Repair-094900,6,3,1,2,
,,Automotive Technology-094800,4,4,4,12,
,,Aviation and Airport Management and Services-302000,5,,5,3,
,,"Biology, General-040100",6,,2,3,
