,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
San Diego Mesa Total,,,"1,985","1,855","1,778","1,879","1,932",
,Baccalaureate of Science (B.S.) degree                       Total,,28,34,19,20,20,
,,Health Information Technology-122300,28,34,19,20,20,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,367,327,315,342,358,
,,"Biology, General-040100",17,29,24,36,40,
,,Business Administration-050500,312,245,222,220,238,
,,Computer Science (Transfer)-070600,11,21,33,48,41,
,,Geology-191400,,5,1,,,
,,"Mathematics, General-170100",21,21,27,27,24,
,,"Nutrition, Foods, and Culinary Arts-130600",1,1,2,3,4,
,,"Physics, General-190200",5,5,6,8,11,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,390,354,340,385,344,
,,Anthropology-220200,9,12,7,7,10,
,,Art-100200,17,11,28,28,23,
,,Dramatic Arts-100700,1,1,1,1,,
,,Economics-220400,10,13,18,19,21,
,,English-150100,32,22,22,26,25,
,,"Fine Arts, General-100100",2,5,4,4,3,
,,Geography-220600,6,,4,5,3,
,,History-220500,14,19,17,14,17,
,,Journalism-060200,6,7,7,8,6,
,,Kinesiology-127000,21,19,19,26,15,
,,Liberal Studies-490120,6,4,3,1,3,
,,Philosophy-150900,8,5,10,4,3,
,,Political Science-220700,46,25,27,28,24,
,,"Psychology, General-200100",100,127,102,128,127,
,,Sociology-220800,41,32,27,30,24,
,,Spanish-110500,7,3,4,5,7,
,,Speech Communication-150600,64,49,40,51,33,
,Associate of Science (A.S.) degree                           Total,,482,481,461,401,398,
,,Accounting-050200,20,22,22,16,20,
,,Architecture and Architectural Technology-020100,14,7,12,6,13,
,,"Biology, General-040100",104,109,82,84,79,
,,Biotechnology and Biomedical Technology-043000,,1,,,,
,,Business Administration-050500,28,26,24,18,18,
,,Business Management-050600,10,6,6,9,5,
,,"Chemistry, General-190500",2,3,6,7,8,
,,Civil and Construction Management Technology-095700,3,12,6,3,8,
,,Computer Information Systems-070200,14,8,16,14,9,
,,Construction Inspection-095720,6,4,9,6,9,
,,Culinary Arts-130630,18,8,3,10,12,
,,Dental Assistant-124010,14,5,11,10,11,
,,Electro-Neurodiagnostic Technology-121200,,,11,14,,
,,Electronic Game Design-061420,1,1,2,7,3,
,,"Engineering, General (requires Calculus) (Transfer)-090100",16,9,7,13,15,
,,Fashion Design-130310,8,5,5,2,9,
,,Fashion Merchandising-130320,6,4,2,2,7,
,,Geographic Information Systems-220610,2,3,2,4,3,
,,Health Information Technology-122300,31,57,52,27,27,
,,Hospitality-130700,6,3,7,6,1,
,,Interior Design and Merchandising-130200,18,10,25,7,10,
,,Marketing and Distribution-050900,5,5,5,3,5,
,,Medical Assisting-120800,14,20,16,11,13,
,,Multimedia-061410,16,16,12,11,9,
,,"Nutrition, Foods, and Culinary Arts-130600",14,8,7,4,6,
,,Office Management-051440,2,3,2,2,,
,,Physical Education-083500,,,1,,1,
,,"Physical Sciences, General-190100",1,,2,1,,
,,Physical Therapist Assistant-122200,26,19,15,20,18,
,,"Physics, General-190200",8,8,10,12,8,
,,Preshool Age Children-130540,13,21,27,19,15,
,,Radiologic Technology-122500,19,23,17,15,19,
,,Real Estate-051100,9,23,11,12,11,
,,Small Business and Entrepreneurship-050640,2,,3,,1,
,,Travel Services and Tourism-300900,,1,,,,
,,Veterinary Technician (Licensed)-010210,20,20,12,18,15,
,,Website Design and Development-061430,12,11,11,8,10,
,Associate of Arts (A.A.) degree                              Total,,393,345,352,393,440,
,,Anthropology-220200,5,3,1,3,2,
,,Art-100200,12,14,15,16,15,
