,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
San Diego Miramar Total,,,"1,813","1,561","1,899","1,927",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,318,306,336,357,
,,Administration of Justice-210500,81,60,69,54,
,,"Biology, General-040100",25,22,25,26,
,,Business Administration-050500,139,148,142,177,
,,Computer Science (Transfer)-070600,44,54,71,51,
,,Geology-191400,2,,,,
,,"Mathematics, General-170100",11,10,12,26,
,,"Nutrition, Foods, and Culinary Arts-130600",4,,1,2,
,,"Physics, General-190200",12,12,16,21,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,173,170,183,166,
,,Anthropology-220200,5,3,5,8,
,,Art-100200,8,8,7,3,
,,Economics-220400,18,12,10,25,
,,English-150100,4,8,7,15,
,,"Fine Arts, General-100100",,,,2,
,,History-220500,13,11,13,8,
,,Kinesiology-127000,2,5,11,6,
,,"Law, General-140100",4,5,4,4,
,,Philosophy-150900,1,2,1,1,
,,Political Science-220700,18,13,22,11,
,,"Psychology, General-200100",47,52,66,57,
,,Sociology-220800,27,19,17,5,
,,Spanish-110500,3,1,1,1,
,,Speech Communication-150600,23,31,19,20,
,Associate of Science (A.S.) degree                           Total,,440,395,485,516,
,,Accounting-050200,15,16,18,15,
,,Administration of Justice-210500,15,5,8,12,
,,Aeronautical and Aviation Technology-095000,4,7,11,5,
,,Aquatics and Lifesaving-083570,1,5,4,3,
,,Automotive Technology-094800,6,18,23,12,
,,Aviation Airframe Mechanics-095010,1,,,1,
,,Aviation and Airport Management-302010,6,6,10,12,
,,Aviation Powerplant Mechanics-095020,,1,,,
,,Banking and Finance-050400,3,5,4,2,
,,"Biology, General-040100",56,40,40,120,
,,Biotechnology and Biomedical Technology-043000,74,67,66,10,
,,Business Administration-050500,33,35,41,46,
,,Business Management-050600,12,11,20,14,
,,"Chemistry, General-190500",27,20,28,32,
,,Child Development Administration and Management-130580,2,2,,2,
,,Commercial Music-100500,4,1,5,11,
,,Computer Information Systems-070200,14,16,11,,
,,Computer Programming-070710,,,,11,
,,Corrections-210510,1,,,,
,,Earth Science-193000,3,,1,3,
,,"Engineering, General (requires Calculus) (Transfer)-090100",27,29,28,44,
,,Fire Technology-213300,28,24,29,36,
,,"Forensics, Evidence, and Investigation-210540",7,4,4,4,
,,Heavy Equipment Maintenance-094720,7,8,11,11,
,,Medical Laboratory Technology-120500,15,10,18,8,
,,Office Technology/Office Computer Applications-051400,5,2,6,5,
,,Other Interdisciplinary Studies-499900,4,1,5,5,
,,Paralegal-140200,34,27,32,42,
,,Physical Education-083500,12,11,23,13,
,,Piloting-302020,10,10,17,18,
,,Preshool Age Children-130540,12,12,16,13,
,,Small Business and Entrepreneurship-050640,2,2,6,6,
,Associate of Arts (A.A.) degree                              Total,,183,164,190,203,
,,Art-100200,21,21,15,15,
,,Computer Graphics and Digital Imagery-061460,1,1,,,
,,English-150100,11,7,6,10,
,,"Foreign Languages, General-110100",1,,,,
,,Humanities and Social Sciences-490330,16,13,11,19,
,,Humanities-490300,7,4,5,4,
,,"Liberal Arts and Sciences, General-490100",1,6,2,3,
,,"Mathematics, General-170100",24,27,39,39,
,,Painting and Drawing-100210,,,1,2,
,,"Social Sciences, General-220100",101,85,111,111,
,Certificate requiring 60+ semester units                     Total,,15,7,8,3,
,,Aeronautical and Aviation Technology-095000,15,7,8,3,
,Certificate requiring 30 to < 60 semester units              Total,,368,348,383,439,
,,Administration of Justice-210500,1,1,,5,
,,Aviation Airframe Mechanics-095010,5,16,4,4,
,,Aviation Powerplant Mechanics-095020,7,15,4,4,
,,Computer Graphics and Digital Imagery-061460,1,,,,
,,Computer Information Systems-070200,,1,2,,
,,Computer Programming-070710,,,,1,
,,Diesel Technology-094700,1,2,,1,
,,Fire Technology-213300,8,4,11,9,
,,"Forensics, Evidence, and Investigation-210540",2,1,2,5,
,,Heavy Equipment Maintenance-094720,5,4,10,8,
,,Paralegal-140200,26,28,30,43,
,,Preshool Age Children-130540,1,1,4,5,
,,Transfer Studies-490110,311,275,316,354,
,Certificate requiring 16 to fewer than 30 semester units     Total,,256,137,267,189,
,,Accounting-050200,3,9,9,10,
,,Aeronautical and Aviation Technology-095000,,,,1,
,,Alternative Fuels and Advanced Transportation Technology-094840,,3,23,6,
,,Aquatics and Lifesaving-083570,,2,1,1,
,,Automotive Technology-094800,28,50,133,76,
,,Aviation and Airport Management-302010,1,1,1,3,
,,Banking and Finance-050400,2,,,,
,,Business Administration-050500,8,14,20,25,
,,Business Management-050600,,1,6,3,
,,Commercial Music-100500,,1,1,2,
,,Diesel Technology-094700,10,6,18,13,
,,Fire Technology-213300,1,,1,1,
,,Fitness Trainer-083520,7,3,9,8,
,,Medical Laboratory Technology-120500,6,10,19,7,
,,Office Technology/Office Computer Applications-051400,4,2,,,
,,Piloting-302020,1,2,4,6,
,,Police Academy-210550,180,11,,1,
,,Preshool Age Children-130540,5,22,21,19,
,,Small Business and Entrepreneurship-050640,,,1,7,
,Certificate requiring 8 to fewer than 16 semester units      Total,,60,34,47,54,
,,Biotechnology and Biomedical Technology-043000,32,15,23,25,
,,Fitness Trainer-083520,9,2,11,11,
,,Preshool Age Children-130540,19,17,13,18,
