,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Shasta Total,,,"1,553","1,780","4,819","2,445",
,Baccalaureate of Science (B.S.) degree                       Total,,10,11,11,14,
,,Health Information Technology-122300,10,11,11,14,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,103,123,131,109,
,,Administration of Justice-210500,14,26,25,14,
,,"Agriculture Business, Sales and Service-011200",6,4,3,3,
,,Animal Science-010200,10,4,5,5,
,,Business Administration-050500,51,57,49,39,
,,Child Development/Early Care and Education-130500,15,14,24,11,
,,Computer Science (Transfer)-070600,,,4,9,
,,Geology-191400,,1,1,2,
,,Hospitality-130700,,,2,2,
,,"Mathematics, General-170100",5,9,15,14,
,,"Physics, General-190200",1,7,3,9,
,,Plant Science-010300,1,1,,1,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,148,162,165,158,
,,Art-100200,9,9,11,15,
,,Dramatic Arts-100700,3,4,5,2,
,,English-150100,10,12,16,13,
,,Geography-220600,2,,1,,
,,History-220500,5,9,10,14,
,,Kinesiology-127000,11,4,7,3,
,,Liberal Studies-490120,2,2,1,3,
,,Music-100400,1,5,2,5,
,,Philosophy-150900,1,1,1,1,
,,Political Science-220700,8,8,6,4,
,,"Psychology, General-200100",72,78,73,77,
,,Sociology-220800,15,21,25,17,
,,Speech Communication-150600,9,9,7,4,
,Associate of Science (A.S.) degree                           Total,,403,505,"2,562",792,
,,Accounting-050200,17,11,8,13,
,,Administration of Justice-210500,9,16,45,25,
,,"Agriculture Technology and Sciences, General-010100",2,5,30,7,
,,Automotive Technology-094800,5,1,5,1,
,,Biological and Physical Sciences (and Mathematics)-490200,59,63,374,121,
,,"Business and Commerce, General-050100",57,64,151,96,
,,Child Development/Early Care and Education-130500,14,18,31,11,
,,Computer Information Systems-070200,1,3,4,2,
,,Culinary Arts-130630,1,4,5,6,
,,Dental Hygienist-124020,12,11,6,3,
,,Diesel Technology-094700,2,5,6,2,
,,Emergency Medical Services-125000,,2,4,8,
,,"Family and Consumer Sciences, General-130100",15,21,90,38,
,,Family Studies-130800,5,10,14,9,
,,Fire Technology-213300,3,1,3,2,
,,Forestry-011400,5,4,4,4,
,,Geographic Information Systems-220610,,1,2,,
,,Health Education-083700,24,21,69,30,
,,Health Information Technology-122300,4,13,12,8,
,,Horticulture-010900,1,1,2,4,
,,Hospitality-130700,4,2,,,
,,Humanities and Social Sciences-490330,49,62,804,132,
,,Humanities-490300,19,33,540,83,
,,Language Arts-150200,3,7,173,32,
,,Marketing and Distribution-050900,5,6,8,12,
,,Medical Office Technology-051420,3,4,3,2,
,,Natural Resources-011500,3,3,3,6,
,,Office Technology/Office Computer Applications-051400,12,25,57,29,
,,Other Engineering and Related Industrial Technologies-099900,12,15,29,20,
,,Physical Therapist Assistant-122200,,16,16,15,
,,Registered Nursing-123010,51,53,58,60,
,,Welding Technology-095650,6,4,6,11,
,Associate of Arts (A.A.) degree                              Total,,255,275,818,462,
,,"Agriculture Technology and Sciences, General-010100",3,7,12,13,
,,Art-100200,1,2,2,2,
,,Behavioral Science-200300,6,10,6,5,
,,Biological and Physical Sciences (and Mathematics)-490200,77,52,140,96,
,,Business Administration-050500,17,21,62,36,
,,Child Development/Early Care and Education-130500,,1,,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",8,11,14,18,
,,Humanities-490300,21,36,116,38,
,,Language Arts-150200,9,13,59,16,
,,"Liberal Arts and Sciences, General-490100",10,20,34,23,
,,Liberal Studies-490120,10,10,12,13,
,,Music-100400,1,,1,,
,,Oceangraphy-191900,,,,2,
,,Physical Education-083500,15,17,94,80,
,,"Social Sciences, General-220100",77,75,266,120,
,Certificate requiring 30 to < 60 semester units              Total,,431,452,655,574,
,,Agricultural Pest Control Adviser and Operator (Licensed)-010310,1,,,2,
,,Automotive Technology-094800,2,1,7,6,
,,Culinary Arts-130630,1,1,7,,
,,Diesel Technology-094700,2,1,1,4,
,,Industrial Systems Technology and Maintenance-094500,1,1,,,
,,Licensed Vocational Nursing-123020,15,,17,13,
,,Medical Office Technology-051420,1,3,12,4,
,,Office Technology/Office Computer Applications-051400,1,,6,,
,,Transfer Studies-490110,407,445,604,544,
,,World Wide Web Administration-070900,,,1,1,
,Certificate requiring 16 to fewer than 30 semester units     Total,,203,249,461,288,
,,Accounting-050200,13,18,17,20,
,,Agricultural Power Equipment Technology-011600,36,31,32,34,
,,Automotive Technology-094800,1,,10,2,
,,Child Development/Early Care and Education-130500,15,16,62,14,
,,Computer Networking-070810,,,1,1,
,,Culinary Arts-130630,,,,5,
,,Fire Academy-213350,104,132,212,102,
,,Geographic Information Systems-220610,5,4,10,7,
,,Heavy Equipment Operation-094730,2,12,11,17,
,,Horticulture-010900,,,3,4,
,,Human Services-210400,,,2,6,
,,"Living Skills, Handicapped-493031",,,,2,
,,Medical Assisting-120800,13,13,22,19,
,,Natural Resources-011500,2,,12,2,
,,Office Technology/Office Computer Applications-051400,,,,1,
,,Retail Store Operations and Management-050650,2,3,16,13,
,,Small Business and Entrepreneurship-050640,4,10,17,18,
,,Water and Wastewater Technology-095800,,,7,4,
,,Welding Technology-095650,6,10,27,17,
,Noncredit award requiring from 960+ hours                    Total,,,1,,11,
,,English as a Second Language - Integrated-493087,,1,,11,
,Noncredit award requiring from 48 to < 96 hours              Total,,,2,16,37,
,,Culinary Arts-130630,,2,7,16,
,,Small Business and Entrepreneurship-050640,,,9,21,
