,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Sierra Total,,,"5,678","4,999","4,237","3,881","4,309",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,532,509,444,540,589,
,,Administration of Justice-210500,109,113,68,97,90,
,,"Biology, General-040100",26,26,39,33,45,
,,Business Administration-050500,327,291,252,312,337,
,,"Chemistry, General-190500",3,2,3,4,3,
,,Child Development/Early Care and Education-130500,2,8,14,13,21,
,,Computer Science (Transfer)-070600,7,12,23,26,30,
,,Environmental Science-030100,,,1,4,,
,,Geology-191400,,1,3,,1,
,,"Mathematics, General-170100",42,32,24,30,34,
,,"Nutrition, Foods, and Culinary Arts-130600",2,3,2,,2,
,,"Physics, General-190200",14,21,15,21,26,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,654,643,511,610,690,
,,Anthropology-220200,26,16,24,24,17,
,,Art-100200,23,12,9,24,23,
,,Dramatic Arts-100700,5,6,8,6,11,
,,Economics-220400,87,114,57,102,158,
,,English-150100,37,41,22,46,38,
,,"Fine Arts, General-100100",4,5,6,10,6,
,,Geography-220600,3,7,6,4,10,
,,History-220500,44,40,37,28,44,
,,Journalism-060200,12,8,4,12,9,
,,Kinesiology-127000,13,19,20,16,24,
,,Liberal Studies-490120,1,1,,1,,
,,Music-100400,3,4,3,1,2,
,,Philosophy-150900,7,7,6,6,4,
,,Political Science-220700,23,28,21,26,36,
,,"Psychology, General-200100",223,214,198,195,214,
,,Social Justice Studies-220130,11,6,11,6,4,
,,Sociology-220800,47,41,35,38,33,
,,Spanish-110500,10,6,4,3,5,
,,Speech Communication-150600,75,68,40,62,52,
,Associate of Science (A.S.) degree                           Total,,"2,794","2,516","2,033","1,939","1,777",
,,Accounting-050200,42,35,28,23,21,
,,Administration of Justice-210500,15,26,15,10,9,
,,"Agriculture Technology and Sciences, General-010100",18,14,10,12,18,
,,Applied Photography-101200,3,7,11,3,,
,,Architectural Drafting-095310,2,3,3,9,2,
,,Automotive Technology-094800,1,,,,,
,,Biological and Physical Sciences (and Mathematics)-490200,738,663,496,441,371,
,,"Biology, General-040100",77,58,37,45,41,
,,Business Administration-050500,11,2,,,,
,,"Business and Commerce, General-050100",20,25,14,18,21,
,,Business Management-050600,8,10,12,4,7,
,,"Chemistry, General-190500",3,2,3,2,,
,,Child Development/Early Care and Education-130500,9,21,12,18,12,
,,Civil and Construction Management Technology-095700,,,8,4,1,
,,Computer Information Systems-070200,4,2,3,2,,
,,Computer Networking-070810,20,17,17,9,32,
,,Computer Programming-070710,25,23,30,27,16,
,,Computer Systems Analysis-070730,1,1,3,8,14,
,,Construction Crafts Technology-095200,1,,,,,
,,Corrections-210510,4,2,1,2,1,
,,Emergency Medical Services-125000,3,3,4,7,4,
