,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Siskiyous Total,,,344,369,409,418,523,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,7,14,19,9,19,
,,Administration of Justice-210500,3,3,7,5,2,
,,Business Administration-050500,3,7,3,3,13,
,,Child Development/Early Care and Education-130500,1,4,9,,4,
,,Geology-191400,,,,1,,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,22,17,17,26,27,
,,Dramatic Arts-100700,2,2,,,1,
,,English-150100,1,2,2,1,3,
,,History-220500,3,3,2,1,1,
,,Music-100400,1,,,,1,
,,"Psychology, General-200100",8,7,8,14,14,
,,Sociology-220800,3,2,1,7,5,
,,Speech Communication-150600,4,1,4,3,2,
,Associate of Science (A.S.) degree                           Total,,57,56,59,57,88,
,,Biological and Physical Sciences (and Mathematics)-490200,28,22,36,29,42,
,,"Chemistry, General-190500",1,,,,,
,,Computer Science (Transfer)-070600,4,5,1,5,6,
,,Environmental Science-030100,2,1,1,,3,
,,Fire Technology-213300,8,4,5,10,8,
,,Licensed Vocational Nursing-123020,2,11,1,1,12,
,,"Mathematics, General-170100",1,,,,,
,,Paramedic-125100,5,13,11,11,16,
,,Physical Education-083500,4,,2,,,
,,"Physics, General-190200",1,,,,,
,,Welding Technology-095650,1,,2,1,1,
,Associate of Arts (A.A.) degree                              Total,,130,137,167,170,202,
,,Accounting-050200,4,6,8,8,7,
,,Administration of Justice-210500,15,15,6,9,18,
,,Art-100200,5,5,5,2,5,
,,"Business and Commerce, General-050100",2,9,14,13,19,
,,Child Development/Early Care and Education-130500,7,4,14,7,11,
,,Dramatic Arts-100700,2,1,2,,,
,,English-150100,2,2,,,1,
,,Ethnic Studies-220300,,,,1,,
,,History-220500,3,1,,1,,
,,Human Services-210400,1,7,5,5,9,
,,Humanities-490300,14,9,13,21,16,
,,Music-100400,,1,1,,1,
,,Philosophy-150900,1,1,,,,
,,Physical Education-083500,5,11,24,19,28,
,,"Psychology, General-200100",7,16,19,20,23,
,,"Social Sciences, General-220100",54,45,49,56,56,
,,Speech Communication-150600,8,4,7,8,8,
,Certificate requiring 30 to < 60 semester units              Total,,71,84,95,77,108,
,,Accounting-050200,1,1,,1,,
,,Licensed Vocational Nursing-123020,,12,,,11,
,,Paramedic-125100,15,15,37,24,45,
,,Transfer Studies-490110,54,56,57,52,52,
,,Welding Technology-095650,1,,1,,,
,Certificate requiring 16 to fewer than 30 semester units     Total,,50,61,52,79,78,
,,Administration of Justice-210500,26,34,21,40,45,
,,Creative Writing-150700,,,,1,1,
,,Fire Academy-213350,,23,24,31,22,
,,Fire Technology-213300,22,,,,,
,,Human Services-210400,1,4,5,6,8,
,,Police Academy-210550,,,,,1,
,,Welding Technology-095650,1,,2,1,1,
,Certificate requiring 6 to < 18 semester units               Total,,2,,,,1,
,,Computer Programming-070710,,,,,1,
,,Dramatic Arts-100700,1,,,,,
,,Fitness Trainer-083520,1,,,,,
,Noncredit award requiring from 96 to < 144 hours             Total,,5,,,,,
,,Small Business and Entrepreneurship-050640,5,,,,,
