,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Skyline Total,,,"1,137","1,030","1,393","1,657",
,Baccalaureate of Science (B.S.) degree                       Total,,20,4,6,16,
,,Respiratory Care/Therapy-121000,20,4,6,16,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,213,202,259,279,
,,Administration of Justice-210500,18,23,15,11,
,,"Biology, General-040100",17,21,24,38,
,,Business Administration-050500,98,83,114,95,
,,Child Development/Early Care and Education-130500,18,17,17,18,
,,Computer Science (Transfer)-070600,11,21,29,32,
,,Environmental Science-030100,,,,2,
,,"Health Occupations, General-120100",13,3,4,5,
,,Hospitality-130700,,,1,2,
,,"Mathematics, General-170100",24,22,38,49,
,,"Physics, General-190200",14,12,17,27,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,211,215,226,223,
,,Anthropology-220200,4,,3,6,
,,Art-100200,12,10,19,22,
,,Economics-220400,19,19,30,20,
,,English-150100,4,7,11,5,
,,"Fine Arts, General-100100",3,4,2,1,
,,Geography-220600,1,4,,1,
,,History-220500,10,10,5,6,
,,Journalism-060200,6,4,,2,
,,Kinesiology-127000,15,21,16,14,
,,Liberal Studies-490120,3,,1,3,
,,Music-100400,2,2,3,,
,,Philosophy-150900,1,,,,
,,Political Science-220700,8,5,7,14,
,,"Psychology, General-200100",76,67,78,86,
,,Sociology-220800,21,23,22,19,
,,Spanish-110500,,,2,,
,,Speech Communication-150600,26,39,27,24,
,Associate of Science (A.S.) degree                           Total,,209,153,166,210,
,,Accounting-050200,8,7,6,7,
,,Administration of Justice-210500,3,2,1,4,
,,Automotive Technology-094800,8,10,10,9,
,,Biological and Physical Sciences (and Mathematics)-490200,10,3,5,8,
,,Biotechnology and Biomedical Technology-043000,3,2,3,2,
,,Child Development/Early Care and Education-130500,18,12,9,13,
,,Computer Information Systems-070200,11,6,6,8,
,,Computer Networking-070810,9,10,8,13,
,,Cosmetology and Barbering-300700,2,2,5,6,
,,Energy Systems Technology-094610,,,,1,
,,"Engineering, General (requires Calculus) (Transfer)-090100",3,2,,8,
,,"Health Professions, Transfer Core Curriculum-126000",102,70,79,99,
,,Medical Assisting-120800,1,,,,
,,Respiratory Care/Therapy-121000,15,20,21,26,
,,Surgical Technician-121700,16,7,13,6,
,Associate of Arts (A.A.) degree                              Total,,395,240,290,336,
,,Art-100200,5,3,9,8,
,,Biological and Physical Sciences (and Mathematics)-490200,97,53,61,85,
,,Dance-100800,,,1,1,
,,English-150100,1,1,2,2,
,,Humanities and Fine Arts-490310,,1,,,
,,Humanities-490300,50,30,45,42,
,,Journalism-060200,,,1,,
,,"Liberal Arts and Sciences, General-490100",214,135,160,183,
,,"Mathematics, General-170100",3,4,,3,
,,Music-100400,2,1,,,
,,Paralegal-140200,12,6,5,10,
,,Physical Education-083500,1,,,,
,,"Psychology, General-200100",9,4,4,2,
,,Speech Communication-150600,1,2,2,,
,Certificate requiring 30 to < 60 semester units              Total,,89,209,446,426,
,,Biotechnology and Biomedical Technology-043000,2,,1,,
,,Business Administration-050500,4,5,8,3,
,,Computer Information Systems-070200,,,,2,
,,Computer Networking-070810,3,5,6,7,
,,Cosmetology and Barbering-300700,27,32,70,78,
,,Transfer Studies-490110,53,167,361,336,
,Certificate requiring 16 to fewer than 30 semester units     Total,,,,,159,
,,Accounting-050200,,,,10,
,,Automotive Technology-094800,,,,108,
,,Biotechnology and Biomedical Technology-043000,,,,1,
,,Child Development/Early Care and Education-130500,,,,20,
,,"Liberal Arts and Sciences, General-490100",,,,2,
,,Office Technology/Office Computer Applications-051400,,,,3,
,,Paralegal-140200,,,,14,
,,Small Business and Entrepreneurship-050640,,,,1,
,Certificate requiring 8 to fewer than 16 semester units      Total,,,,,8,
,,Graphic Art and Design-103000,,,,8,
,Noncredit award requiring from 192 to < 288 hours            Total,,,7,,,
,,Social Justice Studies-220130,,7,,,
