,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Solano Total,,,"1,877","1,724","1,659","1,827","1,999",
,Baccalaureate of Science (B.S.) degree                       Total,,14,28,22,16,24,
,,Biotechnology and Biomedical Technology-043000,14,28,22,16,24,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,197,171,168,196,191,
,,Administration of Justice-210500,57,32,36,37,29,
,,"Biology, General-040100",17,18,20,25,23,
,,Business Administration-050500,70,76,56,83,86,
,,Child Development/Early Care and Education-130500,16,12,16,10,13,
,,Computer Science (Transfer)-070600,1,5,11,15,13,
,,"Health Occupations, General-120100",,,,,1,
,,"Mathematics, General-170100",18,15,17,14,13,
,,"Nutrition, Foods, and Culinary Arts-130600",10,8,4,6,3,
,,"Physics, General-190200",8,5,8,6,10,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,175,190,187,246,252,
,,Anthropology-220200,1,4,3,1,1,
,,Art-100200,6,6,6,7,8,
,,Dramatic Arts-100700,,6,2,2,2,
,,Economics-220400,6,7,4,11,15,
,,English-150100,8,15,16,15,11,
,,"Fine Arts, General-100100",3,5,4,2,2,
,,Geography-220600,,1,,,2,
,,History-220500,13,13,9,11,6,
,,Human Services-210400,,,2,5,9,
,,Journalism-060200,,,,1,,
,,Kinesiology-127000,8,12,12,14,7,
,,Liberal Studies-490120,,1,,,,
,,Music-100400,1,,2,1,1,
,,Political Science-220700,10,11,20,25,20,
,,"Psychology, General-200100",71,72,71,103,102,
,,Social Justice Studies-220130,2,1,1,4,2,
,,Sociology-220800,26,15,19,27,31,
,,Spanish-110500,1,3,2,2,6,
,,Speech Communication-150600,19,18,14,15,27,
,Associate of Science (A.S.) degree                           Total,,499,425,393,389,473,
,,Accounting-050200,10,4,7,10,5,
,,Administration of Justice-210500,20,20,9,6,13,
,,Aeronautical and Aviation Technology-095000,3,,,2,4,
,,Applied Photography-101200,1,,2,,2,
,,Astronomy-191100,,,1,1,,
,,Athletic Training and Sports Medicine-122800,,,3,4,10,
,,Automotive Technology-094800,4,,6,5,8,
,,Aviation Airframe Mechanics-095010,1,,,,1,
,,Aviation Powerplant Mechanics-095020,,,,1,,
,,Banking and Finance-050400,,1,,,,
,,"Biology, General-040100",12,11,6,7,9,
,,Biotechnology and Biomedical Technology-043000,20,23,26,24,35,
,,Business Administration-050500,31,26,23,39,38,
,,Business Management-050600,2,6,5,8,7,
,,"Chemistry, General-190500",22,23,15,12,13,
,,Child Development/Early Care and Education-130500,3,12,7,2,2,
,,Computer Programming-070710,4,5,11,8,3,
,,Corrections-210510,21,17,3,7,11,
,,Cosmetology and Barbering-300700,5,8,1,2,1,
,,Drafting Technology-095300,3,1,,1,3,
,,"Engineering, General (requires Calculus) (Transfer)-090100",9,7,8,5,5,
,,Fire Technology-213300,10,20,17,12,20,
,,Fitness Trainer-083520,3,,,,,
,,Horticulture-010900,2,3,5,5,1,
,,Insurance-051200,,,,3,4,
,,Manufacturing and Industrial Technology-095600,2,10,6,2,3,
,,Marketing and Distribution-050900,2,,,2,3,
,,Medical Office Technology-051420,1,3,,,,
,,Office Technology/Office Computer Applications-051400,8,3,4,4,2,
,,Other Biological Sciences-049900,180,150,168,159,194,
,,Physical Education-083500,6,6,,,,
,,"Physics, General-190200",6,7,6,4,4,
,,Real Estate-051100,3,7,4,7,7,
,,Registered Nursing-123010,89,32,35,37,44,
,,Retail Store Operations and Management-050650,1,2,,,,
,,Small Business and Entrepreneurship-050640,1,1,3,,5,
,,Software Applications-070210,3,1,,2,2,
,,Surveying-095730,,,,,2,
,,Water and Wastewater Technology-095800,10,12,8,4,9,
,,Welding Technology-095650,1,2,4,4,3,
,,World Wide Web Administration-070900,,2,,,,
,Associate of Arts (A.A.) degree                              Total,,782,708,693,754,777,
,,Applied Photography-101200,2,1,1,4,,
,,Art-100200,7,9,16,15,10,
,,Biological and Physical Sciences (and Mathematics)-490200,340,345,355,384,428,
,,Dramatic Arts-100700,,1,2,1,2,
,,English-150100,1,2,1,2,2,
,,Ethnic Studies-220300,2,,,1,2,
,,Film Studies-061200,,,8,8,7,
,,"Fine Arts, General-100100",,1,,,,
,,"Foreign Languages, General-110100",4,3,6,4,3,
,,French-110200,3,5,4,4,5,
,,History-220500,,,,,1,
,,Human Services-210400,13,17,8,15,8,
,,Humanities and Fine Arts-490310,16,10,1,,,
,,"Liberal Arts and Sciences, General-490100",68,26,26,18,19,
,,Liberal Studies-490120,276,256,235,267,260,
,,"Mathematics, General-170100",2,1,,,,
,,Music-100400,4,1,3,,1,
,,Political Science-220700,2,1,,,1,
,,"Psychology, General-200100",15,7,10,14,9,
,,Sign Language Interpreting-085010,6,8,6,5,9,
,,Sign Language-085000,1,1,1,3,6,
,,"Social Sciences, General-220100",2,1,,,,
,,Sociology-220800,3,2,3,5,2,
,,Spanish-110500,2,4,7,4,1,
,,Speech Communication-150600,1,,,,1,
,,Television (including combined TV/Film/Video)-060420,12,6,,,,
,Certificate requiring 60+ semester units                     Total,,,1,1,1,4,
,,Aeronautical and Aviation Technology-095000,,1,1,1,4,
,Certificate requiring 30 to < 60 semester units              Total,,63,57,31,46,70,
,,Administration of Justice-210500,4,6,,1,2,
,,Automotive Technology-094800,,,,,1,
,,Aviation Airframe Mechanics-095010,,,5,,1,
,,Aviation Powerplant Mechanics-095020,1,,,6,3,
,,Child Development/Early Care and Education-130500,,2,,,,
,,Computer Programming-070710,,,,1,,
,,Corrections-210510,4,6,,1,1,
,,Cosmetology and Barbering-300700,17,2,3,8,9,
,,Drafting Technology-095300,3,,,,,
,,Fire Academy-213350,,,,1,3,
,,Fire Technology-213300,2,4,1,2,2,
,,Insurance-051200,,,,1,,
,,Manufacturing and Industrial Technology-095600,2,1,2,1,2,
,,Marketing and Distribution-050900,,,1,1,,
,,Medical Office Technology-051420,2,1,,,,
,,Office Technology/Office Computer Applications-051400,2,2,,1,1,
,,Software Applications-070210,1,,,,1,
,,Transfer Studies-490110,19,31,17,20,40,
,,Water and Wastewater Technology-095800,6,2,2,2,4,
,Certificate requiring 16 to fewer than 30 semester units     Total,,90,86,107,129,157,
,,Accounting-050200,2,3,1,1,4,
,,Applied Photography-101200,6,,3,4,7,
,,Automotive Technology-094800,18,19,34,42,40,
,,Biotechnology and Biomedical Technology-043000,9,11,16,35,33,
,,Business Administration-050500,3,1,,3,3,
,,Business Management-050600,2,1,1,2,1,
,,Cosmetology and Barbering-300700,,,18,4,12,
,,Horticulture-010900,2,1,1,1,1,
,,Human Services-210400,8,18,10,14,13,
,,Infants and Toddlers-130590,,3,1,3,10,
,,Manufacturing and Industrial Technology-095600,4,4,5,3,4,
,,Medical Office Technology-051420,6,4,3,1,2,
,,Other Biological Sciences-049900,26,15,12,11,16,
,,Real Estate-051100,,2,2,1,4,
,,Retail Store Operations and Management-050650,,,,1,,
,,Sign Language Interpreting-085010,4,3,,3,6,
,,Small Business and Entrepreneurship-050640,,,,,1,
,,World Wide Web Administration-070900,,1,,,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,41,38,39,39,43,
,,Biotechnology and Biomedical Technology-043000,4,8,9,6,14,
,,Child Development/Early Care and Education-130500,33,26,26,27,24,
,,Radio and Television-060400,2,1,,,1,
,,Welding Technology-095650,2,3,4,6,4,
,Certificate requiring 6 to < 18 semester units               Total,,16,20,18,11,8,
,,Accounting-050200,4,4,1,1,5,
,,Certified Nurse Assistant-123030,1,,,,,
,,Computer Software Development-070700,6,4,3,,2,
,,Drafting Technology-095300,1,6,2,6,,
,,Emergency Medical Services-125000,3,,,,1,
,,Insurance-051200,,,5,4,,
,,Landscape Design and Maintenance-010910,,1,3,,,
,,Software Applications-070210,1,5,4,,,
