,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Southwestern Total,,,"2,884","2,844","3,216","3,445",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,436,441,486,547,
,,Administration of Justice-210500,140,121,116,113,
,,"Biology, General-040100",16,14,24,42,
,,Business Administration-050500,202,229,268,277,
,,Computer Science (Transfer)-070600,25,30,25,39,
,,Geology-191400,,,1,,
,,"Mathematics, General-170100",24,22,25,30,
,,"Nutrition, Foods, and Culinary Arts-130600",3,,1,1,
,,"Physics, General-190200",2,2,1,4,
,,Television (including combined TV/Film/Video)-060420,24,23,25,41,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,590,564,642,650,
,,Anthropology-220200,7,10,12,10,
,,Art-100200,17,31,43,39,
,,Child and Adolescent Development-130510,37,38,45,40,
,,Dramatic Arts-100700,3,3,8,5,
,,Economics-220400,50,47,88,104,
,,English-150100,22,27,30,22,
,,"Fine Arts, General-100100",5,4,5,5,
,,Geography-220600,2,1,6,1,
,,History-220500,21,16,19,13,
,,Human Services-210400,42,38,35,38,
,,Journalism-060200,7,3,7,7,
,,Kinesiology-127000,28,30,20,33,
,,"Law, General-140100",3,1,7,7,
,,Liberal Studies-490120,12,13,13,15,
,,Music-100400,7,7,3,8,
,,Philosophy-150900,7,8,2,4,
,,Political Science-220700,27,27,28,37,
,,"Psychology, General-200100",200,169,179,192,
,,Sociology-220800,48,48,54,33,
,,Spanish-110500,10,5,6,10,
,,Speech Communication-150600,35,38,32,27,
,Associate of Science (A.S.) degree                           Total,,333,359,352,331,
,,Accounting-050200,13,8,7,13,
,,Administration of Justice-210500,23,17,15,11,
,,Architecture and Architectural Technology-020100,11,13,7,13,
,,Automotive Technology-094800,8,6,4,12,
,,"Biology, General-040100",7,3,1,,
,,Biotechnology and Biomedical Technology-043000,1,,,,
,,Business Management-050600,18,37,30,32,
,,"Chemistry, General-190500",2,5,1,3,
,,Civil and Construction Management Technology-095700,1,,2,5,
,,Commercial Music-100500,,1,3,4,
,,Computer Networking-070810,,,1,2,
,,Computer Programming-070710,5,3,2,4,
,,Computer Support-070820,5,4,2,2,
,,Construction Inspection-095720,5,2,6,5,
,,Corrections-210510,3,7,1,3,
,,Culinary Arts-130630,7,14,10,13,
,,Dental Hygienist-124020,19,33,30,29,
,,Drafting Technology-095300,8,1,4,7,
,,E-Commerce (Technology emphasis)-070910,2,,,,
,,Electronic Game Design-061420,3,3,2,1,
,,"Engineering Technology, General (requires Trigonometry)-092400",,,,1,
,,"Engineering, General (requires Calculus) (Transfer)-090100",3,,,,
,,Environmental Technology-030300,2,,,,
