,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Taft Total,,,536,619,695,705,846,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,86,83,78,59,63,
,,Administration of Justice-210500,22,16,22,13,18,
,,"Biology, General-040100",1,2,2,2,1,
,,Business Administration-050500,34,31,27,28,28,
,,Child Development/Early Care and Education-130500,23,24,20,13,7,
,,"Mathematics, General-170100",6,10,7,3,9,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,83,92,97,88,90,
,,Art-100200,2,2,10,2,3,
,,Economics-220400,3,,2,1,,
,,English-150100,12,5,8,9,5,
,,"Fine Arts, General-100100",2,,,1,1,
,,History-220500,4,13,13,4,7,
,,Kinesiology-127000,2,3,2,3,5,
,,"Law, General-140100",,,,,4,
,,Liberal Studies-490120,,3,8,13,8,
,,"Psychology, General-200100",36,38,33,31,34,
,,Sociology-220800,15,19,17,17,20,
,,Spanish-110500,7,9,4,7,3,
,Associate of Science (A.S.) degree                           Total,,121,142,129,122,128,
,,Accounting-050200,,,,,1,
,,Administration of Justice-210500,18,11,18,20,13,
,,"Biology, General-040100",30,50,45,46,41,
,,"Business and Commerce, General-050100",11,16,11,15,20,
,,Child Development/Early Care and Education-130500,15,26,12,9,14,
,,Corrections-210510,,,1,,,
,,Court Reporting-051430,,,,3,1,
,,Dental Hygienist-124020,20,16,16,15,17,
,,Disability Services-210450,,2,1,4,1,
,,"Engineering, General (requires Calculus) (Transfer)-090100",7,3,6,1,3,
,,Industrial and Occupational Safety and Health-095670,6,4,3,4,1,
,,Management Development and Supervision-050630,2,2,1,1,6,
,,Office Technology/Office Computer Applications-051400,6,6,5,1,3,
,,Other Engineering and Related Industrial Technologies-099900,1,,,1,,
,,"Physical Sciences, General-190100",2,1,10,2,5,
,,Special Education-080900,3,4,,,,
,,Welding Technology-095650,,1,,,2,
,Associate of Arts (A.A.) degree                              Total,,184,239,235,242,317,
,,Art-100200,,1,,3,5,
,,Biological and Physical Sciences (and Mathematics)-490200,37,57,86,92,145,
,,Business Administration-050500,4,4,4,6,6,
,,"Health Occupations, General-120100",50,65,64,66,63,
,,Humanities and Fine Arts-490310,10,13,7,3,5,
,,Humanities-490300,49,59,39,44,49,
,,"Liberal Arts and Sciences, General-490100",27,28,24,18,30,
,,"Mathematics, General-170100",2,2,1,2,2,
,,Physical Education-083500,5,10,10,8,12,
,Certificate requiring 30 to < 60 semester units              Total,,2,11,125,158,224,
,,Child Development/Early Care and Education-130500,2,5,3,,,
,,Court Reporting-051430,,,1,,1,
,,Transfer Studies-490110,,6,121,158,223,
,Certificate requiring 16 to fewer than 30 semester units     Total,,33,22,12,11,7,
,,Child Development/Early Care and Education-130500,24,15,9,9,5,
,,Children with Special Needs-130520,2,4,1,,,
,,Management Development and Supervision-050630,2,3,2,1,2,
,,Other Engineering and Related Industrial Technologies-099900,1,,,,,
,,Special Education-080900,4,,,1,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,24,28,14,22,16,
,,Child Development/Early Care and Education-130500,22,18,14,14,8,
,,Office Technology/Office Computer Applications-051400,1,,,,,
,,Welding Technology-095650,1,10,,8,8,
,Certificate requiring 6 to < 18 semester units               Total,,3,2,5,3,1,
,,Child Development/Early Care and Education-130500,,,2,,,
,,Industrial and Occupational Safety and Health-095670,3,2,3,3,1,
