,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Ventura Total,,,"4,428","4,221","4,555","5,173","5,060",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,286,314,277,242,287,
,,Administration of Justice-210500,77,75,59,53,51,
,,"Agriculture Business, Sales and Service-011200",2,4,2,,7,
,,"Biology, General-040100",,28,30,22,35,
,,Business Administration-050500,126,128,118,107,125,
,,Child Development/Early Care and Education-130500,17,23,13,15,13,
,,Geology-191400,2,1,3,1,2,
,,"Health Occupations, General-120100",18,13,15,11,8,
,,"Mathematics, General-170100",38,35,26,24,30,
,,"Nutrition, Foods, and Culinary Arts-130600",5,6,5,2,4,
,,Plant Science-010300,1,1,6,4,6,
,,Television (including combined TV/Film/Video)-060420,,,,3,6,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,528,427,411,372,420,
,,Anthropology-220200,14,15,9,4,10,
,,Art-100200,21,29,27,22,22,
,,"Biology, General-040100",37,,,,,
,,Dramatic Arts-100700,11,7,4,,8,
,,Economics-220400,10,12,24,27,52,
,,English-150100,23,11,21,18,23,
,,Ethnic Studies-220300,3,,,,,
,,"Fine Arts, General-100100",3,1,2,2,,
,,Geography-220600,9,1,,6,4,
,,History-220500,16,15,16,23,9,
,,Human Services-210400,,,,,8,
,,Kinesiology-127000,30,36,26,25,22,
,,"Law, General-140100",,,,,1,
,,Liberal Studies-490120,15,10,10,12,16,
,,Music-100400,3,7,8,6,8,
,,Philosophy-150900,4,3,7,5,5,
,,Political Science-220700,26,17,27,14,22,
,,"Psychology, General-200100",171,162,150,146,139,
,,Sociology-220800,103,79,61,31,39,
,,Spanish-110500,,2,2,5,2,
,,Speech Communication-150600,29,20,17,26,30,
,Associate of Science (A.S.) degree                           Total,,402,373,499,534,571,
,,Accounting-050200,59,58,56,54,66,
,,Administration of Justice-210500,51,41,47,41,45,
,,Architecture and Architectural Technology-020100,,,,14,27,
,,Automotive Technology-094800,11,5,11,11,13,
,,Business Management-050600,50,62,64,56,62,
,,Child Development/Early Care and Education-130500,23,14,22,17,13,
,,Civil and Construction Management Technology-095700,3,4,3,9,9,
,,Construction Inspection-095720,3,5,3,4,3,
,,Diesel Technology-094700,4,1,5,,2,
,,Drafting Technology-095300,12,21,11,,,
,,"Engineering Technology, General (requires Trigonometry)-092400",,1,2,,2,
,,"Engineering, General (requires Calculus) (Transfer)-090100",34,27,25,22,27,
,,Humanities and Fine Arts-490310,,2,,,,
,,"Liberal Arts and Sciences, General-490100",1,,,,,
,,Management Development and Supervision-050630,4,3,2,3,3,
,,Manufacturing and Industrial Technology-095600,,,4,6,4,
,,Marketing and Distribution-050900,,,,15,11,
,,Mechanical Drafting-095340,3,6,4,4,,
,,Medical Assisting-120800,,,,19,23,
,,Medical Office Technology-051420,20,19,29,23,24,
