,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Victor Valley Total,,,"5,076","3,894","5,153","5,344",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,155,178,245,254,
,,Administration of Justice-210500,40,47,55,57,
,,Animal Science-010200,5,7,7,15,
,,"Biology, General-040100",,5,8,11,
,,Business Administration-050500,48,51,81,73,
,,Child Development/Early Care and Education-130500,26,27,36,37,
,,Computer Science (Transfer)-070600,1,1,9,9,
,,"Health Occupations, General-120100",9,15,15,18,
,,"Mathematics, General-170100",24,19,27,27,
,,"Nutrition, Foods, and Culinary Arts-130600",1,3,2,2,
,,"Physics, General-190200",,,1,,
,,Plant Science-010300,1,3,4,5,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,235,240,328,331,
,,Art-100200,,1,13,17,
,,English-150100,21,14,22,19,
,,"Fine Arts, General-100100",,,5,6,
,,Geography-220600,1,2,5,,
,,History-220500,16,18,25,26,
,,Kinesiology-127000,17,13,15,9,
,,Liberal Studies-490120,,,8,11,
,,Music-100400,3,1,4,8,
,,Philosophy-150900,1,2,3,3,
,,Political Science-220700,7,3,6,13,
,,"Psychology, General-200100",111,122,155,176,
,,Sociology-220800,33,40,35,32,
,,Speech Communication-150600,25,24,32,11,
,Associate of Science (A.S.) degree                           Total,,810,773,953,"1,007",
,,Administration of Justice-210500,46,31,17,30,
,,Aeronautical and Aviation Technology-095000,2,7,12,13,
,,Animation-061440,,2,8,12,
,,Architectural Drafting-095310,2,6,4,8,
,,Automotive Technology-094800,9,15,13,24,
,,Biological and Physical Sciences (and Mathematics)-490200,384,398,516,516,
,,"Business and Commerce, General-050100",107,84,117,129,
,,Child Development/Early Care and Education-130500,55,34,43,55,
,,Computer Electronics-093410,5,8,10,6,
,,Computer Information Systems-070200,24,30,33,26,
,,Construction Crafts Technology-095200,4,4,7,4,
,,Drafting Technology-095300,2,8,2,6,
,,Electronics and Electric Technology-093400,,,,1,
,,Escrow-051110,12,21,15,10,
,,Fire Technology-213300,20,18,16,8,
,,Horticulture-010900,8,9,7,9,
,,Medical Assisting-120800,13,10,12,15,
,,Office Technology/Office Computer Applications-051400,18,7,11,14,
,,Paramedic-125100,12,5,11,4,
,,"Physics, General-190200",,1,,,
,,Real Estate-051100,,,,10,
,,Registered Nursing-123010,67,51,67,71,
,,Respiratory Care/Therapy-121000,10,10,18,15,
,,Restaurant and Food Services and Management-130710,2,7,3,3,
,,Welding Technology-095650,8,7,11,18,
,Associate of Arts (A.A.) degree                              Total,,363,347,437,531,
,,Biological and Physical Sciences (and Mathematics)-490200,27,30,36,29,
,,Dance-100800,,,,2,
,,"Fine Arts, General-100100",61,58,79,91,
,,Humanities-490300,86,81,88,125,
,,"Liberal Arts and Sciences, General-490100",184,174,226,272,
,,Paralegal-140200,5,2,5,8,
,,Religious Studies-151000,,2,3,4,
,Certificate requiring 60+ semester units                     Total,,97,45,69,95,
,,Fire Technology-213300,1,,,,
,,Registered Nursing-123010,88,34,56,77,
,,Respiratory Care/Therapy-121000,8,11,13,18,
,Certificate requiring 30 to < 60 semester units              Total,,"1,689","1,130","1,355","1,112",
,,Automotive Technology-094800,,1,1,4,
,,Aviation Powerplant Mechanics-095020,40,38,49,69,
,,Business Management-050600,11,2,2,7,
,,Child Development Administration and Management-130580,8,6,4,10,
,,Child Development/Early Care and Education-130500,78,42,59,49,
,,Civil and Construction Management Technology-095700,,,3,2,
,,Construction Inspection-095720,,2,1,,
,,Fire Academy-213350,2,,,,
,,Medical Office Technology-051420,3,3,2,1,
,,Office Technology/Office Computer Applications-051400,8,3,4,1,
,,Paralegal-140200,9,7,9,6,
,,Paramedic-125100,77,31,46,37,
,,Restaurant and Food Services and Management-130710,8,6,11,8,
,,Transfer Studies-490110,"1,445",989,"1,164",918,
,Certificate requiring 16 to fewer than 30 semester units     Total,,591,427,637,571,
,,Administration of Justice-210500,1,9,37,17,
,,Aeronautical and Aviation Technology-095000,56,37,65,47,
,,Animal Science-010200,10,11,6,,
,,Animation-061440,5,12,11,13,
,,Architectural Drafting-095310,5,13,10,9,
,,Art-100200,,,,3,
,,Automotive Technology-094800,30,5,21,28,
,,Aviation Airframe Mechanics-095010,28,19,34,68,
,,Child Development/Early Care and Education-130500,115,66,82,92,
,,Computer Information Systems-070200,1,,1,,
,,Computer Programming-070710,4,5,4,,
,,Construction Crafts Technology-095200,4,2,2,2,
,,Digital Media-061400,5,9,7,,
,,Drafting Technology-095300,3,,1,1,
,,Electronics and Electric Technology-093400,,,2,10,
,,Emergency Medical Services-125000,31,39,24,7,
,,Fire Technology-213300,203,71,94,52,
,,Horticulture-010900,,,2,,
,,Intercollegiate Athletics-083550,,18,112,15,
,,"Law, General-140100",,7,5,22,
,,Medical Assisting-120800,38,20,16,33,
,,Natural Resources-011500,1,6,,2,
,,Nursery Technology-010930,1,,,,
,,Office Technology/Office Computer Applications-051400,10,19,12,10,
,,Paralegal-140200,,,2,,
,,Photography-101100,2,10,14,7,
,,Plant Science-010300,,7,7,4,
,,Real Estate-051100,22,12,19,82,
,,Sign Language-085000,,1,1,2,
,,Small Business and Entrepreneurship-050640,,,,1,
,,Welding Technology-095650,16,29,46,44,
,Certificate requiring 8 to fewer than 16 semester units      Total,,"1,057",610,856,"1,025",
,,Administration of Justice-210500,4,1,2,,
,,Automotive Technology-094800,18,8,13,17,
,,Computer Information Systems-070200,7,,4,1,
,,Computer Programming-070710,,,3,,
,,Database Design and Administration-070720,4,3,5,3,
,,Emergency Medical Services-125000,437,227,362,323,
,,Equine Science-010240,22,4,6,8,
,,Fire Technology-213300,195,100,118,187,
,,Paramedic-125100,352,191,224,202,
,,Physical Education-083500,4,,1,,
,,"Psychology, General-200100",14,76,118,88,
,,Real Estate-051100,,,,196,
,Noncredit award requiring from 480 to < 960 hours            Total,,,,42,96,
,,Cosmetology and Barbering-300700,,,42,96,
,Noncredit award requiring from 288 to < 480 hours            Total,,,,,121,
,,Cosmetology and Barbering-300700,,,,121,
,Noncredit award requiring from 192 to < 288 hours            Total,,,44,165,149,
,,English as a Second Language - Listening and Speaking-493086,,,87,75,
,,Truck and Bus Driving-094750,,44,78,74,
,Noncredit award requiring from 96 to < 144 hours             Total,,,40,38,21,
,,Fashion Design-130310,,21,5,1,
,,Fashion-130300,,19,33,20,
,Noncredit award requiring from 48 to < 96 hours              Total,,79,60,10,2,
,,Emergency Medical Services-125000,79,60,10,2,
,Noncredit award requiring < 48 hours                         Total,,,,18,29,
,,Emergency Medical Services-125000,,,,17,
,,Logistics and Materials Transportation-051000,,,18,12,
