,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Coalinga College Total,,,965,993,940,964,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,80,111,90,108,
,,Administration of Justice-210500,28,18,18,15,
,,Business Administration-050500,16,18,21,34,
,,Child Development/Early Care and Education-130500,13,7,11,16,
,,"Mathematics, General-170100",2,,,2,
,,"Physics, General-190200",,,,1,
,,Plant Science-010300,21,68,40,40,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,28,31,53,70,
,,Art-100200,1,1,4,2,
,,Child and Adolescent Development-130510,6,8,10,10,
,,English-150100,,,1,1,
,,Geography-220600,,,1,,
,,History-220500,,3,2,4,
,,Kinesiology-127000,,,,2,
,,Liberal Studies-490120,,,2,12,
,,Political Science-220700,4,2,1,6,
,,"Psychology, General-200100",16,16,27,23,
,,Sociology-220800,,,4,9,
,,Speech Communication-150600,1,1,1,1,
,Associate of Science (A.S.) degree                           Total,,96,70,72,88,
,,Accounting-050200,2,2,2,,
,,"Agriculture Technology and Sciences, General-010100",21,17,21,29,
,,"Biology, General-040100",3,3,5,3,
,,Business Administration-050500,1,,,,
,,Business Management-050600,3,2,2,,
,,Corrections-210510,2,2,4,7,
,,"Health Professions, Transfer Core Curriculum-126000",38,32,30,42,
,,Office Technology/Office Computer Applications-051400,1,,,,
,,Psychiatric Technician-123900,21,11,5,3,
,,Retail Store Operations and Management-050650,3,,1,,
,,Software Applications-070210,1,1,2,4,
,Associate of Arts (A.A.) degree                              Total,,335,322,273,176,
,,Accounting-050200,2,,,,
,,Art-100200,1,,,,
,,Biological and Physical Sciences (and Mathematics)-490200,82,125,86,40,
,,Business Administration-050500,,1,,,
,,Business Management-050600,3,2,1,,
,,Child Development/Early Care and Education-130500,3,,,,
,,Corrections-210510,4,2,,1,
,,"Health Professions, Transfer Core Curriculum-126000",1,,,,
,,Humanities and Fine Arts-490310,24,16,16,18,
,,Humanities-490300,1,2,2,,
,,"Liberal Arts and Sciences, General-490100",188,159,148,108,
,,Liberal Studies-490120,9,5,7,2,
,,Office Technology/Office Computer Applications-051400,3,,,,
,,Physical Education-083500,4,5,13,7,
,,Psychiatric Technician-123900,1,,,,
,,"Psychology, General-200100",1,,,,
,,Retail Store Operations and Management-050650,4,5,,,
,,"Social Sciences, General-220100",1,,,,
,,Software Applications-070210,3,,,,
,Certificate requiring 30 to < 60 semester units              Total,,337,388,362,441,
,,Business Management-050600,7,3,4,1,
,,Psychiatric Technician-123900,22,13,1,2,
,,Transfer Studies-490110,308,372,357,438,
,Certificate requiring 16 to fewer than 30 semester units     Total,,87,71,88,78,
,,Accounting-050200,4,,1,1,
,,Agricultural Pest Control Adviser and Operator (Licensed)-010310,1,2,1,1,
,,"Agriculture Technology and Sciences, General-010100",21,21,17,27,
,,Child Development/Early Care and Education-130500,10,6,3,5,
,,Environmental Control Technology-094600,18,9,23,9,
,,Food Processing and Related Technologies-011300,,2,1,,
,,Heavy Equipment Operation-094730,7,10,17,11,
,,Office Technology/Office Computer Applications-051400,4,,,1,
,,Retail Store Operations and Management-050650,6,4,2,1,
,,Software Applications-070210,4,1,4,5,
,,Truck and Bus Driving-094750,3,2,1,1,
,,Welding Technology-095650,9,14,18,16,
,Noncredit award requiring from 192 to < 288 hours            Total,,2,,2,3,
,,English as a Second Language - Writing-493084,2,,2,3,
