,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
West LA Total,,,"3,179","3,292","3,158","2,963","4,460",
,Baccalaureate of Science (B.S.) degree                       Total,,43,61,58,68,69,
,,Dental Hygienist-124020,43,61,58,68,69,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,239,260,198,157,138,
,,Administration of Justice-210500,53,72,45,29,33,
,,"Biology, General-040100",7,7,6,4,2,
,,Business Administration-050500,116,120,91,68,50,
,,Child Development/Early Care and Education-130500,43,28,25,23,26,
,,Computer Science (Transfer)-070600,1,3,7,5,9,
,,Environmental Science-030100,,,,,1,
,,"Health Occupations, General-120100",4,6,1,9,5,
,,Hospitality-130700,,,3,3,1,
,,"Mathematics, General-170100",8,11,9,6,7,
,,"Nutrition, Foods, and Culinary Arts-130600",4,5,2,2,2,
,,"Physics, General-190200",3,8,9,8,1,
,,Television (including combined TV/Film/Video)-060420,,,,,1,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,191,151,184,161,154,
,,Anthropology-220200,4,4,3,3,2,
,,Art-100200,8,7,7,10,8,
,,Dramatic Arts-100700,,2,3,3,,
,,Economics-220400,3,2,6,7,8,
,,English-150100,13,5,8,6,8,
,,"Fine Arts, General-100100",1,2,2,,1,
,,"Gay, Lesbian, Bisexual and Transgender Studies-220140",,,,1,1,
,,History-220500,3,9,2,4,7,
,,Human Services-210400,,,,,1,
,,Kinesiology-127000,8,7,15,17,12,
,,"Law, General-140100",1,2,4,6,6,
,,Liberal Studies-490120,2,2,3,3,3,
,,Philosophy-150900,1,1,1,1,2,
,,Political Science-220700,14,7,14,10,4,
,,"Psychology, General-200100",54,47,58,39,42,
,,Social Justice: Chicano Studies-220160,,,,2,1,
,,Sociology-220800,35,29,44,37,30,
,,Spanish-110500,1,5,3,3,3,
,,Speech Communication-150600,43,20,11,9,15,
,Associate of Science (A.S.) degree                           Total,,72,91,91,133,120,
,,Aeronautical and Aviation Technology-095000,10,16,14,21,26,
,,Athletic Training and Sports Medicine-122800,,,,,1,
,,Computer Networking-070810,6,5,7,16,15,
,,Dental Assistant-124010,9,12,13,13,17,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,,,3,,
,,Fire Technology-213300,4,1,4,2,3,
,,"Health Professions, Transfer Core Curriculum-126000",30,45,34,55,42,
,,Medical Assisting-120800,10,3,11,11,12,
,,Pharmacy Technology-122100,1,6,4,6,2,
,,Website Design and Development-061430,,3,4,6,2,
,,World Wide Web Administration-070900,2,,,,,
,Associate of Arts (A.A.) degree                              Total,,724,663,656,707,813,
,,Accounting-050200,13,12,5,9,5,
,,Administration of Justice-210500,1,5,6,5,4,
,,Alcohol and Controlled Substances-210440,2,3,7,5,6,
,,Anthropology-220200,3,,,1,3,
,,Biological and Physical Sciences (and Mathematics)-490200,46,19,35,33,41,
,,"Biology, General-040100",3,6,,,,
,,Business Administration-050500,18,7,6,1,,
,,"Business and Commerce, General-050100",10,7,12,7,10,
,,Ceramics-100230,,,2,2,,
,,"Chemistry, General-190500",1,1,,,,
,,Child Development/Early Care and Education-130500,18,13,11,19,12,
,,Computer Information Systems-070200,8,10,6,6,6,
,,Computer Networking-070810,11,6,3,1,,
,,Economics-220400,1,2,5,4,4,
,,English-150100,,1,,,,
,,Environmental Studies-030200,1,3,2,4,6,
,,History-220500,4,7,,3,,
,,Hospitality-130700,4,3,1,2,3,
,,Humanities and Fine Arts-490310,144,137,119,124,167,
,,International Studies-221000,,,,,1,
,,"Liberal Arts and Sciences, General-490100",369,356,363,409,469,
,,Marketing and Distribution-050900,1,4,3,2,,
,,"Mathematics, General-170100",3,2,4,3,5,
,,Painting and Drawing-100210,1,,2,3,1,
,,Paralegal-140200,21,24,24,37,38,
,,Philosophy-150900,1,4,2,,2,
,,Physical Education-083500,,,,,1,
,,"Physics, General-190200",2,,1,,,
,,Political Science-220700,5,5,1,2,2,
,,"Psychology, General-200100",13,5,7,2,,
,,Real Estate-051100,9,12,12,10,15,
,,Small Business and Entrepreneurship-050640,,3,8,4,4,
,,Sociology-220800,3,2,5,6,6,
,,Spanish-110500,2,1,2,1,2,
,,Speech Communication-150600,5,2,2,2,,
,,World Wide Web Administration-070900,1,1,,,,
,Certificate requiring 30 to < 60 semester units              Total,,821,740,711,709,823,
,,Accounting-050200,3,6,1,2,3,
,,Alcohol and Controlled Substances-210440,6,4,5,6,4,
,,Athletic Training and Sports Medicine-122800,,,,,1,
,,Aviation Airframe Mechanics-095010,55,45,61,82,85,
,,Aviation Powerplant Mechanics-095020,49,51,49,76,98,
,,Child Development/Early Care and Education-130500,5,11,6,10,17,
,,Clinical Medical Assisting-120810,10,11,17,16,20,
,,Computer Information Systems-070200,1,4,2,1,3,
,,Computer Networking-070810,11,5,5,14,12,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,,,,1,
,,Hospitality-130700,1,2,1,1,1,
,,Medical Assisting-120800,11,14,21,17,21,
,,Paralegal-140200,17,23,31,40,47,
,,Paramedic-125100,72,1,3,3,18,
,,Pharmacy Technology-122100,3,5,17,5,3,
,,Real Estate-051100,,,,,1,
,,Small Business and Entrepreneurship-050640,1,2,4,4,6,
,,Transfer Studies-490110,573,553,485,429,482,
,,World Wide Web Administration-070900,3,3,3,3,,
,Certificate requiring 16 to fewer than 30 semester units     Total,,123,86,167,180,320,
,,Administrative Medical Assisting-120820,9,12,18,17,25,
,,Athletic Training and Sports Medicine-122800,,,,3,1,
,,Biotechnology and Biomedical Technology-043000,,,7,9,8,
,,"Business and Commerce, General-050100",1,4,2,2,7,
,,Child Development/Early Care and Education-130500,,,,,22,
,,Children with Special Needs-130520,,,,,5,
,,Computer Information Systems-070200,,,,,2,
,,Computer Networking-070810,30,3,5,26,30,
,,Dental Assistant-124010,15,21,32,17,,
,,Educational Aide (Teacher Assistant)-080200,,,,,40,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,,,,6,
,,Film Production-061220,28,10,36,32,76,
,,Fire Technology-213300,3,3,4,6,6,
,,Graphic Art and Design-103000,,,,,1,
,,Hospitality-130700,5,13,10,10,23,
,,"Information Technology, General-070100",,,,3,2,
,,Legal Office Technology-051410,7,4,4,5,1,
,,Office Technology/Office Computer Applications-051400,1,,,,,
,,Pharmacy Technology-122100,5,3,27,16,8,
,,Real Estate-051100,19,13,22,32,54,
,,World Wide Web Administration-070900,,,,2,3,
,Certificate requiring 8 to fewer than 16 semester units      Total,,26,75,163,204,623,
,,Child Development Administration and Management-130580,,,,,5,
,,Computer Information Systems-070200,,,,,1,
,,Computer Infrastructure and Support-070800,16,7,4,7,4,
,,Computer Networking-070810,,5,4,11,20,
,,Computer Programming-070710,,,,1,,
,,Computer Software Development-070700,,6,1,4,3,
,,Dental Assistant-124010,,29,104,96,110,
,,Educational Aide (Teacher Assistant)-080200,,,,,262,
,,Emergency Medical Services-125000,,2,,2,21,
,,Environmental Studies-030200,,4,3,2,28,
,,"Information Technology, General-070100",,6,4,,,
,,Manufacturing and Industrial Technology-095600,,,,2,3,
,,Medical Assisting-120800,,,,,66,
,,"Nutrition, Foods, and Culinary Arts-130600",,,,,6,
,,Real Estate-051100,10,13,38,79,94,
,,World Wide Web Administration-070900,,3,5,,,
,Noncredit award requiring from 288 to < 480 hours            Total,,5,33,,7,52,
,,English as a Second Language - Integrated-493087,5,33,,7,52,
,Noncredit award requiring from 192 to < 288 hours            Total,,,1,33,22,29,
,,English as a Second Language - Integrated-493087,,1,12,5,,
,,English as a Second Language - Writing-493084,,,,,2,
,,"Health Occupations, General-120100",,,21,17,27,
,Noncredit award requiring from 144 to < 192 hours            Total,,19,62,33,26,156,
,,"Business and Commerce, General-050100",4,53,7,25,2,
,,Elementary Education (Grades 1-8)-493060,,,,,102,
,,English as a Second Language - Integrated-493087,,9,6,,5,
,,Office Technology/Office Computer Applications-051400,,,19,1,46,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,15,,1,,1,
,Noncredit award requiring from 96 to < 144 hours             Total,,20,113,78,30,174,
,,Academic Guidance-493013,,,31,7,62,
,,Home Health Aide-123080,,,,,28,
,,Industrial Systems Technology and Maintenance-094500,3,13,3,,9,
,,Leadership Skills Development-493072,1,67,23,23,75,
,,Mathematics Skills-170200,16,33,,,,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,,21,,,
,Noncredit award requiring from 48 to < 96 hours              Total,,476,279,305,271,534,
,,Academic Guidance-493013,,1,,,,
,,Administration of Justice-210500,87,,,,,
,,Dental Hygienist-124020,28,13,10,17,115,
,,Dental Occupations-124000,,,165,69,69,
,,Elementary Education (Grades 1-8)-493060,21,13,,,,
,,"Health Occupations, General-120100",1,,,,15,
,,Hospitality-130700,,,13,1,,
,,Interpersonal Skills-493011,,,,,88,
,,Job Seeking/Changing Skills-493012,228,83,17,45,34,
,,Leadership Skills Development-493072,,,,27,22,
,,Lodging Management-130720,11,,,,,
,,Mathematics Skills-170200,55,85,36,22,30,
,,Natural Resources-011500,,12,1,17,36,
,,Other Business and Management-059900,,,,,26,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,45,72,63,73,72,
,,Small Business and Entrepreneurship-050640,,,,,27,
,Noncredit award requiring < 48 hours                         Total,,420,677,481,288,455,
,,"Business and Commerce, General-050100",52,19,27,61,107,
,,Career Guidance and Orientation-493010,296,242,276,10,39,
,,Educational Aide (Teacher Assistant)-080200,,,12,4,7,
,,"Health Occupations, General-120100",,,89,68,49,
,,Job Seeking/Changing Skills-493012,53,340,69,97,197,
