,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Woodland Total,,,496,"1,336",955,"1,035",972,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,76,78,74,86,93,
,,Administration of Justice-210500,32,29,22,14,18,
,,"Agriculture Business, Sales and Service-011200",3,1,1,2,4,
,,Animal Science-010200,,1,1,2,1,
,,"Biology, General-040100",,1,2,5,2,
,,Business Administration-050500,31,25,34,48,40,
,,"Chemistry, General-190500",,,,,1,
,,Child Development/Early Care and Education-130500,6,7,5,7,16,
,,Geology-191400,,1,2,1,,
,,"Mathematics, General-170100",3,9,6,6,9,
,,"Nutrition, Foods, and Culinary Arts-130600",1,4,,1,2,
,,Plant Science-010300,,,1,,,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,81,76,93,98,114,
,,Anthropology-220200,5,4,2,2,3,
,,Child and Adolescent Development-130510,9,17,18,25,26,
,,Economics-220400,4,1,17,11,16,
,,English-150100,4,5,5,4,4,
,,History-220500,8,7,2,6,5,
,,Human Services-210400,,,,,1,
,,"Law, General-140100",,,2,1,1,
,,Political Science-220700,1,1,2,3,3,
,,"Psychology, General-200100",33,26,32,31,40,
,,Social Justice Studies-220130,,,1,1,2,
,,Sociology-220800,12,12,9,9,6,
,,Spanish-110500,,,1,,3,
,,Speech Communication-150600,5,3,2,5,4,
,Associate of Science (A.S.) degree                           Total,,161,241,152,155,144,
,,Accounting-050200,4,6,5,6,5,
,,Administration of Justice-210500,19,11,12,7,12,
,,"Agriculture Technology and Sciences, General-010100",3,1,2,3,7,
,,Alcohol and Controlled Substances-210440,3,3,2,2,4,
,,Biological and Physical Sciences (and Mathematics)-490200,69,186,96,100,78,
,,Business Administration-050500,11,,4,3,2,
,,Business Management-050600,7,1,6,3,3,
,,Child Development/Early Care and Education-130500,24,18,16,15,19,
,,Earth Science-193000,,,2,5,3,
,,Horticulture-010900,1,,1,1,4,
,,Human Services-210400,2,2,3,3,3,
,,"Mathematics, General-170100",3,4,1,,2,
,,Office Technology/Office Computer Applications-051400,6,1,1,2,,
,,Small Business and Entrepreneurship-050640,,3,,1,,
,,"Social Sciences, General-220100",5,1,,,1,
,,Water and Wastewater Technology-095800,4,4,1,4,1,
,Associate of Arts (A.A.) degree                              Total,,120,220,228,209,213,
,,Culinary Arts-130630,4,1,2,5,6,
,,English-150100,3,1,,,1,
,,Ethnic Studies-220300,1,3,1,1,,
,,Humanities and Fine Arts-490310,15,20,11,7,15,
,,"Psychology, General-200100",1,,,,,
,,"Social Sciences, General-220100",96,195,214,196,191,
,Certificate requiring 30 to < 60 semester units              Total,,4,509,266,256,208,
,,Accounting-050200,1,3,4,6,7,
,,Agricultural Pest Control Adviser and Operator (Licensed)-010310,,,2,1,,
,,Alcohol and Controlled Substances-210440,3,2,1,2,2,
,,Child Development/Early Care and Education-130500,,5,1,9,7,
,,Transfer Studies-490110,,499,258,238,192,
,Certificate requiring 16 to fewer than 30 semester units     Total,,21,54,47,90,78,
,,"Agriculture Technology and Sciences, General-010100",,,,15,3,
,,Business Management-050600,,2,2,4,4,
,,Child Development/Early Care and Education-130500,,33,23,39,32,
,,Culinary Arts-130630,6,5,9,13,23,
,,"Education, General-080100",,2,,,,
,,Environmental Technology-030300,8,9,10,14,12,
,,Horticulture-010900,,1,,,1,
,,Infants and Toddlers-130590,1,2,2,,1,
,,Medical Office Technology-051420,,,,5,1,
,,Office Technology/Office Computer Applications-051400,4,,,,1,
,,The School Age Child-130550,2,,1,,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,33,158,94,141,122,
,,"Agriculture Business, Sales and Service-011200",,5,1,3,2,
,,Child Development/Early Care and Education-130500,33,152,90,135,89,
,,Emergency Medical Services-125000,,,,,24,
,,Office Technology/Office Computer Applications-051400,,,,1,1,
,,Small Business and Entrepreneurship-050640,,1,3,2,3,
,,Welding Technology-095650,,,,,3,
,Certificate requiring 6 to < 18 semester units               Total,,,,1,,,
,,Office Technology/Office Computer Applications-051400,,,1,,,
