College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Allan Hancock,CCC000004198,4137F ENGLI ,493080,C,03.00,03.00,B,E,B,Y,Y,,,20080711
Allan Hancock,CCC000004446,OFFIC3169A  ,051400,D,00.50,00.50,N,C,Y,Y,Y,,,20191019
Allan Hancock,CCC000004760,LAWEN4860M  ,210550,D,00.50,00.50,N,B,Y,Y,Y,,,20191019
Allan Hancock,CCC000004784,ART3955C    ,100230,D,02.00,02.00,N,D,Y,Y,Y,,,20191019
Allan Hancock,CCC000004867,BUS110      ,050100,D,03.00,03.00,N,B,Y,Y,Y,,,20220415
Allan Hancock,CCC000005001,9128D9PHYSE ,083510,N,00.00,00.00,N,E,Y,D,Y,,,20191019
Allan Hancock,CCC000005064,3122E ADMIN ,210550,D,01.00,01.00,N,B,Y,Y,Y,,,20080711
Allan Hancock,CCC000005721,3306E ADMIN ,210550,D,01.00,01.00,N,B,Y,Y,Y,,,20080711
Allan Hancock,CCC000006077,9373E6AGRIB ,010900,N,00.00,00.00,N,D,Y,I,Y,,,20191019
Allan Hancock,CCC000006130,5247GXDENTA ,493071,D,02.00,02.00,N,E,Y,Y,Y,,,20080711
Allan Hancock,CCC000006421,AT334       ,094800,D,05.00,05.00,N,B,Y,Y,Y,,,20191019
Allan Hancock,CCC000006450,4847C DANCE ,100800,D,00.50,00.50,N,E,Y,Y,Y,,,20080711
Allan Hancock,CCC000006620,9776D9PHYSE ,083510,N,00.00,00.00,N,E,Y,D,Y,,,20191019
Allan Hancock,CCC000006719,MUS102      ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20240112
Allan Hancock,CCC000007015,1161A REAL  ,051100,D,03.00,03.00,N,C,Y,Y,Y,,,20080711
Allan Hancock,CCC000007278,3237EFIRE1  ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Allan Hancock,CCC000007363,WFT314      ,213310,D,00.50,00.50,N,C,Y,Y,Y,,,20220415
Allan Hancock,CCC000007563,3117GXHEALT ,120800,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Allan Hancock,CCC000007793,9733F2SPAN  ,493060,N,00.00,00.00,B,E,Y,C,Y,0,0,20160120
Allan Hancock,CCC000007990,LE 329      ,210550,D,07.00,07.00,N,B,Y,Y,Y,,,20121106
Allan Hancock,CCC000008017,9647F7ENGLI ,150100,N,00.00,00.00,N,E,Y,H,Y,,,20191019
Allan Hancock,CCC000014173,FIRE3898E   ,213300,D,01.50,01.50,N,C,Y,Y,Y,,,20191019
Allan Hancock,CCC000014271,3565A INFO  ,070100,C,00.50,00.50,N,C,Y,Y,Y,,,20080711
Allan Hancock,CCC000014374,3178E ADMIN ,210550,D,00.50,00.50,N,C,Y,Y,Y,,,20080711
Allan Hancock,CCC000014690,4658GXMEDIC ,120800,D,06.00,06.00,N,C,Y,Y,Y,,,20080711
Allan Hancock,CCC000014799,3433C DANCE ,100800,D,00.50,00.50,N,E,Y,Y,Y,,,20080711
Allan Hancock,CCC000014960,HIST189     ,220500,D,03.00,01.00,N,E,Y,Y,Y,,,20191019
Allan Hancock,CCC000015114,ET145       ,092400,D,03.00,03.00,N,B,Y,Y,Y,,,20220415
Allan Hancock,CCC000015285,3195A BUSIN ,050900,D,00.50,00.50,N,C,Y,Y,Y,,,20080711
Allan Hancock,CCC000503434,ECS118      ,130500,D,03.00,03.00,N,B,Y,Y,Y,,,20250112
Allan Hancock,CCC000622633,EMSP300     ,125000,D,03.00,03.00,N,C,Y,Y,Y,,,20250112
Allan Hancock,CCC000283862,FASH103     ,130300,D,03.00,03.00,N,C,Y,Y,Y,,,20250112
Allan Hancock,CCC000627426,ANTH107     ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20250108
Allan Hancock,CCC000306561,BASK7008A   ,493014,N,00.00,00.00,B,E,Y,C,Y,,,20250108
Allan Hancock,CCC000556725,MT115       ,095630,D,03.00,03.00,N,C,Y,Y,Y,,,20250321
Allan Hancock,CCC000648527,AJ160       ,070810,D,03.00,03.00,N,C,Y,Y,Y,,,20250524
Allan Hancock,CCC000002097,FIRE2121E   ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Allan Hancock,CCC000002169,WFTO327     ,213310,D,00.50,00.50,N,C,Y,Y,Y,,,20191019
Allan Hancock,CCC000002244,4915E AUTOM ,094800,D,01.00,01.00,N,C,Y,Y,Y,,,20080711
Allan Hancock,CCC000002471,SOCIO2374I  ,220100,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Allan Hancock,CCC000002681,ENVI4800M   ,030300,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
Allan Hancock,CCC000002693,4691G AGRIB ,010400,D,01.00,01.00,N,C,Y,Y,Y,,,20080711
Allan Hancock,CCC000002762,AB 117      ,092400,D,03.00,03.00,N,C,Y,Y,Y,,,20150409
Allan Hancock,CCC000003118,FIRE3449E   ,213300,D,01.50,01.50,N,B,Y,Y,Y,,,20191019
Allan Hancock,CCC000003194,3922B COMPU ,070600,D,03.00,03.00,N,C,Y,Y,Y,,,20080711
Allan Hancock,CCC000003278,5025GXDENTA ,124010,D,01.50,01.50,N,C,Y,Y,Y,,,20080711
Allan Hancock,CCC000003384,1599GXDENTA ,124010,D,00.50,00.50,N,B,Y,Y,Y,,,20191019
Allan Hancock,CCC000003879,1441GXDENTA ,124010,D,00.50,00.50,N,B,Y,Y,Y,,,20080711
Allan Hancock,CCC000012209,5027GXMEDIC ,120800,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
Allan Hancock,CCC000012250,5773F ENGLI ,493080,C,06.00,06.00,B,E,B,Y,Y,,,20080711
Allan Hancock,CCC000012383,9452I8HOME  ,130600,N,00.00,00.00,N,C,Y,G,Y,,,20191019
Allan Hancock,CCC000012622,MMAC101     ,061400,D,02.00,02.00,N,D,Y,Y,Y,,,20220415
Allan Hancock,CCC000012687,3359B SPACE ,095000,D,03.00,03.00,N,C,Y,Y,Y,,,20080711
Allan Hancock,CCC000013044,2534C MUSIC ,061220,D,03.00,03.00,N,D,Y,Y,Y,,,20080711
Allan Hancock,CCC000013285,SPECI3786F  ,085010,D,01.50,01.50,N,D,Y,Y,Y,,,20191019
Allan Hancock,CCC000013351,4561B MATH  ,170100,D,02.00,02.00,N,E,Y,Y,Y,,,20080711
Allan Hancock,CCC000013405,ENGIN0297B  ,090100,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Allan Hancock,CCC000013537,4756F ENGLI ,493087,C,03.00,03.00,B,E,E,Y,Y,,,20100405
Allan Hancock,CCC000013613,ENVI4126M   ,030300,D,00.50,00.50,N,C,Y,Y,Y,,,20191019
Allan Hancock,CCC000013694,FIRE3005E   ,030300,D,02.00,02.00,N,C,Y,Y,Y,,,20191019
Allan Hancock,CCC000649762,ES135       ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20250121
