College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Barstow,CCC000654089,ATHL7       ,083550,D,03.00,03.00,N,E,Y,Y,Y,,,20250902
Barstow,CCC000383151,COMP75      ,070100,C,01.00,01.00,N,C,Y,Y,Y,,,20191019
Barstow,CCC000383175,ARCH 1      ,220220,D,03.00,03.00,N,E,Y,Y,Y,,,20070919
Barstow,CCC000383342,PEAC13      ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20191019
Barstow,CCC000383345,CS992       ,070100,C,00.00,00.00,N,C,Y,Y,Y,,,20191019
Barstow,CCC000383390,PHIL5       ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20231028
Barstow,CCC000383420,HIST1A      ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20231028
Barstow,CCC000385104,GEOL4       ,191400,D,03.00,03.00,N,E,Y,Y,Y,,,20220427
Barstow,CCC000385195,PHOT98      ,101200,D,04.00,01.00,N,C,Y,Y,Y,,,20191019
Barstow,CCC000385360,PHOT 1B     ,101200,D,04.00,04.00,N,C,Y,Y,Y,,,20070919
Barstow,CCC000385416,SOCI4       ,220800,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Barstow,CCC000385440,WKFC105     ,051800,C,01.00,01.00,N,C,Y,Y,Y,,,20200717
Barstow,CCC000387153,BUSI 58     ,051400,D,01.00,01.00,N,C,Y,Y,Y,,,20070919
Barstow,CCC000387237,MATH 127D   ,170100,D,01.00,01.00,N,E,C,Y,Y,,,20070919
Barstow,CCC000387324,BT74        ,051400,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Barstow,CCC000387421,CBIS 1      ,070200,D,03.00,03.00,N,C,Y,Y,Y,,,20070919
Barstow,CCC000389092,AMT123      ,094810,C,01.00,01.00,N,C,Y,Y,Y,,,20070919
Barstow,CCC000389105,CBIS84      ,070210,D,00.50,00.50,N,E,Y,Y,Y,,,20191019
Barstow,CCC000389108,PSYC6       ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Barstow,CCC000389209,MUSI12C     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20200613
Barstow,CCC000389318,CBIS43      ,070210,D,03.00,03.00,N,C,Y,Y,Y,,,20200825
Barstow,CCC000389458,BT80        ,051400,D,05.00,05.00,N,C,Y,Y,Y,,,20191019
Barstow,CCC000389464,PEAC11      ,083500,D,01.00,00.50,N,E,Y,Y,Y,,,20191019
Barstow,CCC000392334,PSYC5       ,200100,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Barstow,CCC000392373,AMT122      ,094810,C,01.00,01.00,N,C,Y,Y,Y,,,20070919
Barstow,CCC000392413,ADJU8       ,210500,D,03.00,03.00,N,C,Y,Y,Y,,,20240420
Barstow,CCC000392419,CBIS42      ,070210,D,04.00,04.00,N,C,Y,Y,Y,,,20200410
Barstow,CCC000392447,ADJU53      ,210500,C,06.00,06.00,N,B,Y,Y,Y,,,20191019
Barstow,CCC000392475,MUSI12B     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20200613
Barstow,CCC000392531,PHIL 2      ,150900,D,03.00,03.00,N,E,Y,Y,Y,,,20070919
Barstow,CCC000394507,MGMT 75     ,050600,D,02.00,02.00,N,C,Y,Y,Y,,,20070919
Barstow,CCC000394561,PHED15B     ,083500,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Barstow,CCC000396893,COMP57      ,070100,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Barstow,CCC000396911,ARTS10      ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20190430
Barstow,CCC000396969,FT79        ,213300,C,01.00,01.00,N,C,Y,Y,Y,,,20191019
Barstow,CCC000397060,PSYC 51     ,200100,D,01.00,01.00,N,E,Y,Y,Y,,,20070919
Barstow,CCC000397105,ORIE50      ,220100,D,01.00,01.00,N,E,Y,Y,Y,,,20191019
Barstow,CCC000398762,CHLD11A     ,130500,D,03.00,03.00,N,C,Y,Y,Y,,,20210221
Barstow,CCC000398799,ATHL7       ,083550,D,02.00,02.00,N,E,Y,Y,Y,,,20191019
Barstow,CCC000398805,CBIS40      ,070210,D,04.00,04.00,N,C,Y,Y,Y,,,20200410
Barstow,CCC000398923,AIRC53      ,094600,D,03.00,03.00,N,B,Y,Y,Y,,,20180805
Barstow,CCC000398935,ADJU51      ,210500,C,03.00,03.00,N,B,Y,Y,Y,,,20191019
Barstow,CCC000398956,ENG1CPLUS   ,150100,D,04.00,04.00,N,E,Y,Y,Y,,,20191019
Barstow,CCC000398961,BUSI20      ,051400,D,01.00,01.00,N,C,Y,Y,Y,,,20191019
Barstow,CCC000399002,CBIS74      ,070210,D,01.50,01.50,N,C,Y,Y,Y,,,20200410
Barstow,CCC000399105,PSYC101     ,200100,C,02.00,02.00,N,E,Y,Y,Y,,,20191019
Barstow,CCC000399115,TVRD 82     ,060300,D,08.00,01.00,N,C,Y,Y,Y,,,20070919
Barstow,CCC000399118,MATH5       ,170100,D,03.00,03.00,N,E,Y,Y,Y,,,20211204
Barstow,CCC000400933,CSIS29B     ,070100,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Barstow,CCC000400970,HIST4       ,220500,D,03.00,03.00,N,E,Y,Y,Y,,,20240420
Barstow,CCC000401126,TART1B      ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20191019
Barstow,CCC000402825,AJ991       ,210500,D,00.00,00.00,N,C,Y,Y,Y,,,20191019
Barstow,CCC000402854,ACCT5       ,050200,D,03.00,03.00,N,C,Y,Y,Y,,,20200407
Barstow,CCC000402878,COSM50B     ,300700,D,06.00,06.00,N,C,Y,Y,Y,,,20210523
Barstow,CCC000402884,CBIS66      ,051400,D,03.00,03.00,N,C,Y,Y,Y,,,20191019
Barstow,CCC000403021,COMP 112    ,070100,C,00.00,00.00,N,C,Y,Y,Y,,,20070919
Barstow,CCC000403113,MATH55      ,170100,D,04.00,04.00,N,E,A,Y,Y,,,20200715
