College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Cabrillo,CCC000525107,MUS68CP     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20251206
Cabrillo,CCC000595586,CEM168A     ,095720,D,03.00,03.00,N,C,Y,Y,Y,,,20250202
Cabrillo,CCC000619676,CS11        ,070600,D,04.00,04.00,N,E,Y,Y,Y,,,20250202
Cabrillo,CCC000622883,CS20J       ,070600,D,04.00,04.00,N,E,Y,Y,Y,,,20250202
Cabrillo,CCC000619480,CS20P       ,070600,D,04.00,04.00,N,E,Y,Y,Y,,,20250202
Cabrillo,CCC000619481,CS25        ,070600,D,04.00,04.00,N,E,Y,Y,Y,,,20250202
Cabrillo,CCC000355104,JOURN2      ,060200,D,03.00,01.00,N,B,Y,Y,Y,,,20251205
Cabrillo,CCC000374794,JOURN23A    ,060200,D,03.00,03.00,N,C,Y,Y,Y,,,20251205
Cabrillo,CCC000582744,AP35H       ,101100,D,03.00,03.00,N,E,Y,Y,Y,,,20250313
Cabrillo,CCC000619359,DH160       ,124020,D,02.00,02.00,N,C,Y,Y,Y,,,20250313
Cabrillo,CCC000347162,ENGL12B     ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20250313
Cabrillo,CCC000358546,ENGL23A     ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20250313
Cabrillo,CCC000619476,ES50        ,030100,D,03.00,03.00,N,E,Y,Y,Y,,,20250313
Cabrillo,CCC000633815,FT484NRE    ,125000,N,00.00,00.00,N,C,Y,I,Y,,,20250313
Cabrillo,CCC000633816,FT484SCW    ,125000,N,00.00,00.00,N,C,Y,I,Y,,,20250313
Cabrillo,CCC000629228,HS50        ,083700,D,03.00,03.00,N,E,Y,Y,Y,,,20250313
Cabrillo,CCC000632991,JOURN35     ,060430,D,03.00,03.00,N,C,Y,Y,Y,,,20250313
Cabrillo,CCC000632992,JOURN435    ,060430,N,00.00,00.00,N,C,Y,I,Y,,,20250313
Cabrillo,CCC000550149,MATH18      ,170100,D,04.00,04.00,N,E,Y,Y,Y,,,20250313
Cabrillo,CCC000357388,WS11        ,220110,D,03.00,03.00,N,E,Y,Y,Y,,,20250313
Cabrillo,CCC000601832,MUS31A      ,100500,D,01.50,01.50,N,C,Y,Y,Y,,,20250110
Cabrillo,CCC000632950,MUS31V      ,100500,D,01.50,01.50,N,C,Y,Y,Y,,,20250110
Cabrillo,CCC000559525,ALH110      ,120100,D,01.00,01.00,N,C,Y,Y,Y,,,20250131
Cabrillo,CCC000623070,MATH101S    ,170200,D,00.50,00.50,N,E,Y,Y,Y,,,20250111
Cabrillo,CCC000630280,MATH104S    ,170100,D,00.50,00.50,N,E,A,Y,Y,,,20250111
Cabrillo,CCC000638339,MATH105AS   ,170200,D,02.50,02.50,N,E,Y,Y,Y,,,20250111
Cabrillo,CCC000630281,MATH112S    ,170100,D,00.50,00.50,N,E,A,Y,Y,,,20250111
Cabrillo,CCC000630282,MATH118S    ,170100,D,00.50,00.50,N,E,A,Y,Y,,,20250111
Cabrillo,CCC000623708,MATH23      ,070600,D,04.00,04.00,N,E,Y,Y,Y,,,20250111
Cabrillo,CCC000355203,MUS50       ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250111
Cabrillo,CCC000569331,MUS50LJ     ,100400,D,01.00,01.00,N,E,Y,Y,Y,,,20250111
Cabrillo,CCC000542460,MUS550      ,100400,N,00.00,00.00,N,E,Y,H,Y,,,20250111
Cabrillo,CCC000606873,MUS57NS     ,100500,D,01.50,01.50,N,C,Y,Y,Y,,,20250111
Cabrillo,CCC000011760,BOT30B3     ,051400,D,03.00,01.00,N,B,X,Y,X,,,20070917
Cabrillo,CCC000555111,ART44A      ,100200,D,03.00,01.00,N,E,Y,Y,Y,,,20250131
Cabrillo,CCC000630415,ART49       ,100200,D,03.00,01.00,N,E,Y,Y,Y,,,20250131
Cabrillo,CCC000543591,GRMN1       ,110300,D,05.00,05.00,N,E,Y,Y,Y,,,20260311
Cabrillo,CCC000619101,CABT121     ,051400,D,03.00,03.00,N,D,Y,Y,Y,,,20250202
Cabrillo,CCC000587130,CABT132     ,070210,D,02.00,02.00,N,C,Y,Y,Y,,,20250202
Cabrillo,CCC000587128,CABT133     ,070210,D,02.00,02.00,N,C,Y,Y,Y,,,20250202
Cabrillo,CCC000619103,CABT160     ,051400,D,02.00,02.00,N,C,Y,Y,Y,,,20250202
Cabrillo,CCC000619104,CABT161     ,051400,D,01.50,01.50,N,C,Y,Y,Y,,,20250202
Cabrillo,CCC000599360,CABT171     ,051400,D,02.00,02.00,N,B,Y,Y,Y,,,20250202
Cabrillo,CCC000625561,CABT172     ,051400,D,02.00,02.00,N,B,Y,Y,Y,,,20250202
Cabrillo,CCC000562958,CEM151EL    ,095700,D,01.00,01.00,N,C,Y,Y,Y,,,20250202
Cabrillo,CCC000595574,CEM162      ,094610,D,03.00,03.00,N,C,Y,Y,Y,,,20250202
Cabrillo,CCC000595579,CEM162SP    ,094610,D,03.00,03.00,N,B,Y,Y,A,,,20250202
Cabrillo,CCC000595582,CEM164C     ,095720,D,03.00,03.00,N,C,Y,Y,Y,,,20250202
Cabrillo,CCC000595583,CEM165E     ,095720,D,03.00,03.00,N,B,Y,Y,Y,,,20250202
Cabrillo,CCC000595584,CEM166A     ,095720,D,03.00,03.00,N,C,Y,Y,Y,,,20250202
Cabrillo,CCC000595585,CEM167A     ,095720,D,03.00,03.00,N,C,Y,Y,Y,,,20250202
Cabrillo,CCC000361786,MUS13A      ,100400,D,03.00,03.00,N,E,Y,Y,Y,,,20251206
Cabrillo,CCC000600260,ACCT54C     ,050200,D,04.00,04.00,N,B,Y,Y,Y,,,20250313
Cabrillo,CCC000555108,AH13H       ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20250313
Cabrillo,CCC000569342,ESL254      ,493087,C,06.00,04.00,B,E,C,Y,Y,,,20250212
Cabrillo,CCC000366522,ESL254L     ,493087,C,02.00,00.50,B,E,C,Y,Y,,,20250212
Cabrillo,CCC000569343,ESL255      ,493087,C,06.00,04.00,B,E,B,Y,Y,,,20250212
Cabrillo,CCC000371386,ESL255L     ,493087,C,02.00,00.50,B,E,B,Y,Y,,,20250212
Cabrillo,CCC000379377,ETECH130    ,092400,D,03.00,03.00,N,D,Y,Y,Y,,,20250212
Cabrillo,CCC000446204,ETECH131    ,092400,D,03.00,03.00,N,D,Y,Y,Y,,,20250212
Cabrillo,CCC000352823,ETECH24     ,092400,D,03.00,03.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000589713,ETECH40     ,092400,D,03.00,03.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000591091,ETECH43     ,092400,D,03.00,03.00,N,D,Y,Y,Y,,,20250212
Cabrillo,CCC000345941,ETECH60     ,092400,D,03.00,03.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000371761,ETECH61     ,092400,D,03.00,03.00,N,D,Y,Y,Y,,,20250212
Cabrillo,CCC000446054,ASTRO3      ,191100,D,03.00,03.00,N,E,Y,Y,Y,,,20251205
Cabrillo,CCC000572753,FT131       ,213300,D,00.50,00.50,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000572389,FT132       ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000572561,FT133       ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000572749,FT134       ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000572751,FT135       ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000572750,FT136       ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000611808,FT151       ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000593354,FT170       ,213350,D,02.00,00.50,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000573025,FT185       ,213300,D,13.50,13.50,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000587782,FT187       ,213350,D,01.00,01.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000361488,CHEM5       ,190500,D,04.00,04.00,N,E,Y,Y,Y,,,20251205
Cabrillo,CCC000562947,GEOG17      ,220600,D,03.00,03.00,N,E,Y,Y,Y,,,20250212
Cabrillo,CCC000572498,HONRS2H     ,499900,D,00.50,00.50,N,E,Y,Y,Y,,,20250212
Cabrillo,CCC000587421,HORT100A    ,010900,D,01.00,01.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000550150,HORT125     ,010900,D,03.00,03.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000619110,HORT160B    ,010900,D,03.00,03.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000625812,HORT164     ,010900,D,02.00,02.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000446154,ECE161AZ    ,130500,D,02.00,00.50,N,C,Y,Y,Y,,,20251205
Cabrillo,CCC000550609,HORT173     ,010900,D,01.00,01.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000364186,ENGL34      ,150100,D,03.00,03.00,N,E,Y,Y,Y,,,20251205
Cabrillo,CCC000596823,HORT54      ,010900,D,03.00,03.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000593158,HORT58      ,010900,D,04.00,04.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000372595,HORT66      ,010900,D,03.00,03.00,N,B,Y,Y,Y,,,20250212
Cabrillo,CCC000583176,HORT70      ,010900,D,04.00,04.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000611810,HS130       ,126100,D,04.00,04.00,N,C,Y,Y,B,,,20250212
Cabrillo,CCC000612542,HS131       ,126100,D,04.00,04.00,N,C,Y,Y,B,,,20250212
Cabrillo,CCC000624169,ART50L      ,100200,D,00.50,00.50,N,E,Y,Y,Y,,,20251208
Cabrillo,CCC000597461,HSERV55A    ,210400,D,02.00,01.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000597532,HSERV56A    ,210440,D,02.00,01.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000576868,JOURN54A    ,060200,D,01.00,01.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000576867,JOURN54B    ,060200,D,01.00,01.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000576866,JOURN54C    ,060200,D,01.00,01.00,N,C,Y,Y,Y,,,20250212
Cabrillo,CCC000567474,KIN10A      ,122800,D,03.00,03.00,N,D,Y,Y,Y,,,20250212
Cabrillo,CCC000567475,KIN10AL     ,122800,D,02.00,01.00,N,D,Y,Y,Y,,,20250212
Cabrillo,CCC000567476,KIN10B      ,122800,D,03.00,03.00,N,D,Y,Y,Y,,,20250212
Cabrillo,CCC000601015,KIN10BL     ,122800,D,02.00,01.00,N,D,Y,Y,Y,,,20250212
Cabrillo,CCC000567477,KIN10CL     ,122800,D,02.00,01.00,N,D,Y,Y,Y,,,20250212
Cabrillo,CCC000568700,KIN10DL     ,122800,D,02.00,01.00,N,D,Y,Y,Y,,,20250212
Cabrillo,CCC000567478,KIN4        ,083520,D,03.00,03.00,N,D,Y,Y,Y,,,20250212
Cabrillo,CCC000572095,KIN4LA      ,083520,D,01.00,01.00,N,D,Y,Y,Y,,,20250212
Cabrillo,CCC000572348,KIN4LB      ,083520,D,01.00,01.00,N,D,Y,Y,Y,,,20250212
Cabrillo,CCC000582932,KIN4LC      ,083520,D,01.00,01.00,N,D,Y,Y,Y,,,20250212
Cabrillo,CCC000582930,KIN4LD      ,083520,D,01.00,01.00,N,D,Y,Y,Y,,,20250212
Cabrillo,CCC000587213,KIN5        ,083560,D,03.00,03.00,N,D,Y,Y,Y,,,20250212
Cabrillo,CCC000567127,KIN56A      ,083500,D,02.00,00.50,N,E,Y,Y,Y,,,20250212
Cabrillo,CCC000567059,KIN56B      ,083500,D,02.00,00.50,N,E,Y,Y,Y,,,20250212
Cabrillo,CCC000567124,KIN63C      ,083500,D,02.00,00.50,N,E,Y,Y,Y,,,20250212
Cabrillo,CCC000599585,KIN6A       ,083560,D,03.00,03.00,N,D,Y,Y,Y,,,20250212
Cabrillo,CCC000535656,KIN80S      ,127000,D,04.00,01.00,N,E,Y,Y,Y,,,20250212
Cabrillo,CCC000547411,KIN80SB     ,127000,D,04.00,01.00,N,E,Y,Y,Y,,,20250212
Cabrillo,CCC000547410,KIN80SC     ,127000,D,04.00,01.00,N,E,Y,Y,Y,,,20250212
Cabrillo,CCC000521252,MATH12H     ,170100,D,05.00,05.00,N,E,Y,Y,Y,,,20250212
Cabrillo,CCC000591628,NUTR120     ,130600,D,03.00,03.00,N,D,Y,Y,Y,,,20250212
Cabrillo,CCC000594791,RT190C      ,122500,D,06.00,06.00,N,B,Y,Y,A,,,20250213
Cabrillo,CCC000609066,RT191A      ,122500,D,03.00,03.00,N,B,Y,Y,Y,,,20250213
Cabrillo,CCC000609067,RT191B      ,122500,D,03.00,03.00,N,B,Y,Y,Y,,,20250213
Cabrillo,CCC000609068,RT191C      ,122500,D,06.00,06.00,N,B,Y,Y,Y,,,20250213
Cabrillo,CCC000619353,RT52        ,122500,D,02.00,02.00,N,C,Y,Y,Y,,,20250213
Cabrillo,CCC000438705,HSERV163    ,210400,D,01.00,01.00,N,B,Y,Y,Y,,,20251205
Cabrillo,CCC000618931,RT72        ,122500,D,02.00,02.00,N,B,Y,Y,Y,,,20250213
Cabrillo,CCC000374756,SPAN16      ,110500,D,04.00,04.00,N,E,Y,Y,Y,,,20250213
Cabrillo,CCC000362881,SPAN17      ,110500,D,04.00,04.00,N,E,Y,Y,Y,,,20250213
Cabrillo,CCC000361940,TA10C       ,100700,D,03.00,03.00,N,E,Y,Y,Y,,,20250213
Cabrillo,CCC000379840,ACCT1B      ,050200,D,04.00,04.00,N,B,Y,Y,Y,,,20251204
Cabrillo,CCC000370851,AH12        ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20251204
Cabrillo,CCC000346745,AH14        ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20251204
Cabrillo,CCC000370472,ANTHR6      ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20251204
Cabrillo,CCC000358596,ANTHR7      ,220200,D,03.00,03.00,N,E,Y,Y,Y,,,20251204
Cabrillo,CCC000357992,ASTRO8A     ,191100,D,01.00,01.00,N,E,Y,Y,Y,,,20251204
Cabrillo,CCC000354197,BIO11B      ,040100,D,04.00,04.00,N,E,Y,Y,Y,,,20251204
Cabrillo,CCC000367253,BIO6        ,040100,D,04.00,04.00,N,E,Y,Y,Y,,,20251204
Cabrillo,CCC000530403,CABT31      ,070210,D,03.00,03.00,N,D,Y,Y,Y,,,20251204
Cabrillo,CCC000528146,CEM162PS    ,095700,D,02.00,02.00,N,C,Y,Y,Y,,,20251204
Cabrillo,CCC000359049,CHEM12AL    ,190500,D,02.00,02.00,N,E,Y,Y,Y,,,20251204
Cabrillo,CCC000358950,CJ190PTO    ,210500,D,01.00,01.00,N,C,Y,Y,Y,,,20251204
Cabrillo,CCC000358793,CJ41        ,210500,D,03.00,03.00,N,B,Y,Y,Y,,,20251204
Cabrillo,CCC000379270,DH174       ,124020,D,02.00,02.00,N,C,Y,Y,Y,,,20251204
Cabrillo,CCC000356727,DH180       ,124020,D,02.00,02.00,N,C,Y,Y,Y,,,20251204
Cabrillo,CCC000382776,ECE142      ,130500,D,03.00,03.00,N,C,Y,Y,Y,,,20251204
Cabrillo,CCC000569333,ANTHR26     ,220200,D,05.00,05.00,N,E,Y,Y,Y,,,20250131
