College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
Calbright College,CCC000624288,HC502       ,120100,N,00.00,00.00,N,C,Y,I,Y,15,30,20210430
Calbright College,CCC000640611,HC510       ,120100,N,00.00,00.00,N,C,Y,I,Y,40,80,20231207
Calbright College,CCC000644219,IT501       ,070820,N,00.00,00.00,N,C,Y,I,Y,75,150,20240421
Calbright College,CCC000653196,BUS570      ,059900,N,00.00,00.00,N,C,Y,I,Y,,,20250615
Calbright College,CCC000622827,IT520       ,079900,N,00.00,00.00,N,C,Y,I,Y,15,15,20210305
Calbright College,CCC000637315,BUS510      ,050600,N,00.00,00.00,N,C,Y,I,Y,50,100,20231006
Calbright College,CCC000639674,BUS551      ,050640,N,00.00,00.00,N,C,Y,I,Y,40,80,20231006
Calbright College,CCC000657520,BUS520      ,050600,C,02.00,02.00,N,C,Y,Y,Y,,,20260118
Calbright College,CCC000657526,CHW504      ,126100,C,02.00,02.00,N,C,Y,Y,Y,,,20260118
Calbright College,CCC000636896,BUS522      ,050600,N,00.00,00.00,N,C,Y,I,Y,40,80,20230305
Calbright College,CCC000636902,CIS514      ,070700,N,00.00,00.00,N,C,Y,I,Y,25,50,20230305
Calbright College,CCC000657316,BUS530      ,050500,N,00.00,00.00,N,C,Y,I,Y,,,20260113
Calbright College,CCC000626034,IT532       ,070810,N,00.00,00.00,N,C,Y,I,Y,70,140,20210716
Calbright College,CCC000644190,IT502       ,070820,N,00.00,00.00,N,C,Y,I,Y,75,150,20240421
Calbright College,CCC000624289,IT530       ,070820,N,00.00,00.00,N,C,Y,I,Y,70,140,20210430
Calbright College,CCC000640612,HC511       ,123000,N,00.00,00.00,N,C,Y,I,Y,40,80,20231207
Calbright College,CCC000644220,IT510       ,079900,N,00.00,00.00,N,C,Y,I,Y,80,160,20240421
Calbright College,CCC000653197,BUS571      ,059900,N,00.00,00.00,N,C,Y,I,Y,,,20250615
Calbright College,CCC000622828,IT525       ,079900,N,00.00,00.00,N,C,Y,I,Y,30,30,20210305
Calbright College,CCC000637316,BUS511      ,050600,N,00.00,00.00,N,C,Y,I,Y,40,80,20231006
Calbright College,CCC000639675,DM550       ,061440,N,00.00,00.00,N,C,Y,I,Y,40,80,20231006
Calbright College,CCC000657521,BUS521      ,050600,C,02.00,02.00,N,C,Y,Y,Y,,,20260118
Calbright College,CCC000657527,CHW505      ,126100,C,02.00,02.00,N,C,Y,Y,Y,,,20260118
Calbright College,CCC000636897,CIS500      ,070700,N,00.00,00.00,N,C,Y,I,Y,40,80,20230305
Calbright College,CCC000636903,DM512       ,061430,N,00.00,00.00,N,C,Y,I,Y,40,80,20230305
Calbright College,CCC000651407,BUS500      ,059900,N,00.00,00.00,N,C,Y,I,Y,,,20250820
Calbright College,CCC000626035,IT533       ,070810,N,00.00,00.00,N,C,Y,I,Y,70,140,20210716
Calbright College,CCC000626142,WF510       ,493012,N,00.00,00.00,N,E,Y,J,Y,24,72,20210723
Calbright College,CCC000640614,LVN505      ,123020,N,00.00,00.00,N,C,Y,I,Y,40,80,20231207
Calbright College,CCC000644222,IT512       ,079900,N,00.00,00.00,N,C,Y,I,Y,80,160,20240421
Calbright College,CCC000608418,IT510       ,079900,N,00.00,00.00,N,C,Y,I,Y,120,360,20210305
Calbright College,CCC000635419,LVN502      ,123020,N,00.00,00.00,N,C,Y,I,Y,320,640,20230228
Calbright College,CCC000637318,BUS516      ,050600,N,00.00,00.00,N,C,Y,I,Y,50,100,20231006
Calbright College,CCC000639677,DM552       ,061440,N,00.00,00.00,N,C,Y,I,Y,50,100,20231006
Calbright College,CCC000657523,CHW501      ,126100,C,02.00,02.00,N,C,Y,Y,Y,,,20260118
Calbright College,CCC000657529,IT501       ,070820,C,03.00,03.00,N,C,Y,Y,Y,,,20260118
Calbright College,CCC000644223,MC500       ,122310,N,00.00,00.00,N,C,Y,I,Y,,,20260116
Calbright College,CCC000636899,CIS511      ,070700,N,00.00,00.00,N,C,Y,I,Y,40,80,20230305
Calbright College,CCC000636905,DM514       ,061430,N,00.00,00.00,N,C,Y,I,Y,40,80,20230305
Calbright College,CCC000619153,WF550       ,493012,N,00.00,00.00,N,E,Y,J,Y,70,90,20230305
Calbright College,CCC000644187,CHW504      ,126100,N,00.00,00.00,N,C,Y,I,Y,50,100,20240421
Calbright College,CCC000632666,BUS501      ,059900,N,00.00,00.00,N,C,Y,I,Y,50,100,20220703
Calbright College,CCC000644218,CHW502      ,126100,N,00.00,00.00,N,C,Y,I,Y,50,100,20240421
Calbright College,CCC000653195,BUS561      ,050100,N,00.00,00.00,N,C,Y,I,Y,,,20250615
Calbright College,CCC000608420,WF500       ,493013,N,00.00,00.00,N,E,Y,J,Y,50,150,20210305
Calbright College,CCC000635421,LVN504      ,123020,N,00.00,00.00,N,C,Y,I,Y,380,760,20230228
Calbright College,CCC000639673,BUS550      ,050640,N,00.00,00.00,N,C,Y,I,Y,40,80,20231006
Calbright College,CCC000657519,BUS501      ,059900,C,02.00,02.00,N,C,Y,Y,Y,,,20260118
Calbright College,CCC000657525,CHW503      ,126100,C,02.00,02.00,N,C,Y,Y,Y,,,20260118
Calbright College,CCC000636895,BUS521      ,050600,N,00.00,00.00,N,C,Y,I,Y,50,100,20230305
Calbright College,CCC000636901,CIS513      ,070700,N,00.00,00.00,N,C,Y,I,Y,40,80,20230305
Calbright College,CCC000657518,BUS500      ,059900,C,01.00,01.00,N,C,Y,Y,Y,,,20260118
Calbright College,CCC000623672,HC501       ,120100,N,00.00,00.00,N,C,Y,I,Y,30,60,20210328
Calbright College,CCC000644189,CHW506      ,126100,N,00.00,00.00,N,C,Y,I,Y,50,100,20240421
Calbright College,CCC000657317,BUS531      ,050500,N,00.00,00.00,N,C,Y,I,Y,,,20260113
Calbright College,CCC000632665,BUS500      ,059900,N,00.00,00.00,N,C,Y,I,Y,30,60,20220703
Calbright College,CCC000644217,CHW501      ,126100,N,00.00,00.00,N,C,Y,I,Y,50,100,20240421
Calbright College,CCC000653194,BUS560      ,050100,N,00.00,00.00,N,C,Y,I,Y,,,20250615
Calbright College,CCC000608419,MC500       ,122310,N,00.00,00.00,N,C,Y,I,Y,180,540,20210305
Calbright College,CCC000635420,LVN503      ,123020,N,00.00,00.00,N,C,Y,I,Y,360,720,20230228
Calbright College,CCC000637319,MB500       ,122310,N,00.00,00.00,N,C,Y,I,Y,80,160,20230406
Calbright College,CCC000639678,DM553       ,061440,N,00.00,00.00,N,C,Y,I,Y,50,100,20231006
Calbright College,CCC000657524,CHW502      ,126100,C,02.00,02.00,N,C,Y,Y,Y,,,20260118
Calbright College,CCC000657530,IT502       ,070820,C,03.00,03.00,N,C,Y,Y,Y,,,20260118
Calbright College,CCC000636894,BUS520      ,050600,N,00.00,00.00,N,C,Y,I,Y,40,80,20230305
Calbright College,CCC000636900,CIS512      ,070900,N,00.00,00.00,N,C,Y,I,Y,40,80,20230305
Calbright College,CCC000636906,DM515       ,061430,N,00.00,00.00,N,C,Y,I,Y,40,80,20230305
Calbright College,CCC000623671,HC500       ,120100,N,00.00,00.00,N,C,Y,I,Y,30,60,20210328
Calbright College,CCC000644188,CHW505      ,126100,N,00.00,00.00,N,C,Y,I,Y,50,100,20240421
Calbright College,CCC000624290,IT531       ,070820,N,00.00,00.00,N,C,Y,I,Y,70,140,20210430
Calbright College,CCC000640613,ITF500      ,070100,N,00.00,00.00,N,C,Y,I,Y,12,25,20231208
Calbright College,CCC000644221,IT511       ,079900,N,00.00,00.00,N,C,Y,I,Y,80,160,20240421
Calbright College,CCC000608417,IT500       ,070820,N,00.00,00.00,N,C,Y,I,Y,120,360,20210305
Calbright College,CCC000635418,LVN501      ,123020,N,00.00,00.00,N,C,Y,I,Y,440,880,20230228
Calbright College,CCC000637317,BUS515      ,050600,N,00.00,00.00,N,C,Y,I,Y,50,100,20231006
Calbright College,CCC000639676,DM551       ,061440,N,00.00,00.00,N,C,Y,I,Y,40,80,20231006
Calbright College,CCC000657522,BUS522      ,050600,C,02.00,02.00,N,C,Y,Y,Y,,,20260118
Calbright College,CCC000657528,CHW506      ,126100,C,02.00,02.00,N,C,Y,Y,Y,,,20260118
Calbright College,CCC000636898,CIS510      ,070700,N,00.00,00.00,N,C,Y,I,Y,40,80,20230305
Calbright College,CCC000636904,DM513       ,061430,N,00.00,00.00,N,C,Y,I,Y,40,80,20230305
Calbright College,CCC000651408,BUS501      ,059900,N,00.00,00.00,N,C,Y,I,Y,,,20250820
Calbright College,CCC000644186,CHW503      ,126100,N,00.00,00.00,N,C,Y,I,Y,50,100,20240421
Calbright College,CCC000659476,ITF500      ,070100,C,02.00,02.00,N,C,Y,Y,Y,,,20260328
