College,Control Number,Course ID,TOP Code,Credit Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,Funding Category,Non-Credit Minimum Hours,Non-Credit Maximum Hours,Issue/Update Date
San Francisco,CCC000004507,MABS 101    ,051400,D,03.00,03.00,N,C,Y,Y,Y,,,20130418
San Francisco,CCC000012143,ITAL 4A     ,110400,D,03.00,03.00,N,E,Y,Y,Y,,,20080124
San Francisco,CCC000576040,MATH90      ,170100,D,05.00,05.00,N,E,Y,Y,Y,,,20250227
San Francisco,CCC000620173,MATH98      ,170100,D,07.00,07.00,N,E,Y,Y,Y,,,20250227
San Francisco,CCC000372263,CDEV76      ,130500,D,03.00,03.00,N,C,Y,Y,Y,,,20250712
San Francisco,CCC000625419,LIBR58      ,160200,D,03.00,03.00,N,C,Y,Y,Y,,,20250712
San Francisco,CCC000372795,SOC35       ,220800,D,03.00,03.00,N,E,Y,Y,Y,,,20250712
San Francisco,CCC000349921,ART130A     ,100210,D,03.00,03.00,N,E,Y,Y,Y,,,20250108
San Francisco,CCC000370976,FREN10A     ,110200,D,03.00,03.00,N,E,Y,Y,Y,,,20250108
San Francisco,CCC000365178,FREN10B     ,110200,D,03.00,03.00,N,E,Y,Y,Y,,,20250108
San Francisco,CCC000371401,FREN3A      ,110200,D,03.00,03.00,N,E,Y,Y,Y,,,20250108
San Francisco,CCC000365643,FREN3B      ,110200,D,03.00,03.00,N,E,Y,Y,Y,,,20250108
San Francisco,CCC000376617,RUSS1A      ,110600,D,03.00,03.00,N,E,Y,Y,Y,,,20250108
San Francisco,CCC000370279,RUSS1B      ,110600,D,03.00,03.00,N,E,Y,Y,Y,,,20250108
San Francisco,CCC000648617,DSPS4014    ,493031,N,00.00,00.00,B,E,Y,E,Y,,,20250110
San Francisco,CCC000648618,DSPS4023    ,493031,N,00.00,00.00,B,E,Y,E,Y,,,20250110
San Francisco,CCC000648619,DSPS4044    ,493031,N,00.00,00.00,N,E,Y,E,Y,,,20250110
San Francisco,CCC000648707,TRST3421    ,493062,N,00.00,00.00,B,E,Y,C,Y,,,20250110
San Francisco,CCC000648709,TRST3535    ,493062,N,00.00,00.00,B,E,Y,C,Y,,,20250110
San Francisco,CCC000648978,ART114      ,100200,D,03.00,03.00,N,E,Y,Y,Y,,,20250111
San Francisco,CCC000648979,ESLN6621    ,493087,N,00.00,00.00,B,E,C,A,Y,,,20250111
San Francisco,CCC000648980,ESLN6623    ,493087,N,00.00,00.00,B,E,C,A,Y,,,20250111
San Francisco,CCC000648981,ESLN6625    ,493100,N,00.00,00.00,B,D,C,A,Y,,,20250111
San Francisco,CCC000648982,ESLN6627    ,493100,N,00.00,00.00,B,C,C,A,Y,,,20250111
San Francisco,CCC000648983,FSC33A      ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20250111
San Francisco,CCC000648984,FSC33B      ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20250111
San Francisco,CCC000648985,FSC33C      ,213300,D,01.00,01.00,N,C,Y,Y,Y,,,20250111
San Francisco,CCC000648986,FSC33D      ,213300,D,00.50,00.50,N,C,Y,Y,Y,,,20250111
San Francisco,CCC000648987,FSC34A      ,213300,D,02.00,02.00,N,C,Y,Y,Y,,,20250111
San Francisco,CCC000648988,FSC34B      ,213300,D,02.00,02.00,N,C,Y,Y,Y,,,20250111
San Francisco,CCC000648989,FSC34C      ,213300,D,02.00,02.00,N,C,Y,Y,Y,,,20250111
San Francisco,CCC000011006,WKEX 302    ,050100,D,02.00,02.00,N,D,Y,Y,Y,,,20080104
San Francisco,CCC000649086,APPR9714    ,095230,N,00.00,00.00,N,A,Y,I,Y,,,20250117
San Francisco,CCC000649212,BIO14       ,040100,D,04.00,04.00,N,E,Y,Y,Y,,,20250117
San Francisco,CCC000649213,CINE40      ,061220,D,02.00,02.00,N,C,Y,Y,Y,,,20250117
San Francisco,CCC000649214,EMT15       ,125000,D,00.50,00.50,N,C,Y,Y,Y,,,20250117
San Francisco,CCC000649215,ESLF5006    ,493087,N,00.00,00.00,B,E,C,A,Y,,,20250117
San Francisco,CCC000649217,ESLV3801    ,493100,N,00.00,00.00,B,D,C,A,Y,,,20250117
San Francisco,CCC000649218,ESLV3823    ,493100,N,00.00,00.00,B,C,C,A,Y,,,20250117
San Francisco,CCC000649219,ESLV3923    ,493100,N,00.00,00.00,B,C,C,A,Y,,,20250117
San Francisco,CCC000361181,PEA67       ,083550,D,03.00,03.00,N,E,Y,Y,Y,,,20250117
